,i,g,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,Cereal Grain,Ahtanum,2019.5,72.0,2.0,160.0,2.21,70.0,180.0,345.0,0.74,15.0,0.17,0.74,296.9457013574661,31.25,0.9523809523809523,1,2.0,1,1,-4.88235294117647,31.25,0.0,0.24899540606255005,0.5855591414041941,0.11912072582394422,0.046324726709311634,1.8629598000331873,0.01876876876876877,5189.867733414044
1,Hay/Silage,Ahtanum,2019.5,1297.0,2.0,174.0,5.42,120.0,260.0,345.0,0.51,15.0,0.17,0.51,174.0,188.08000000000004,0.8005683505110913,1,2.0,1,1,-4.88235294117647,31.25,156.83,0.2965011349909669,0.49214141153757024,0.1446129944804746,0.06674445899098827,4.7490346901204274,0.0015117843590790208,49630.05238236989
2,Orchard,Ahtanum,2019.5,156.0,2.0,1269.0,3.96,1700.0,3200.0,345.0,0.13,15.0,0.17,0.13,1398.6742424242425,263.75,0.9523809523809523,1,2.0,1,1,-4.88235294117647,31.25,232.5,0.0952128160493733,0.13839244285505528,0.500502688062414,0.26589205303315744,3.845284094089726,0.049309664694280074,5.633523898428094
0,Cereal Grain,BLALOCK IRRIGATION DISTRICT NO. 3,2019.5,29.0,1.855503829,160.0,2.213139293,70.0,180.0,222.0,0.74,15.0,0.17,0.74,237.14015062980044,24.991627871749984,0.9523809523809524,1,1.855503829,1,1,-4.88235294117647,24.99162787175,0.0,0.2316539042948827,0.5338706336307828,0.1688223326935209,0.06565312938081368,1.9140773457550067,0.046598322460391424,1372.231912791994
1,Hay/Silage,BLALOCK IRRIGATION DISTRICT NO. 3,2019.5,37.0,1.852347341,174.0,5.418390805,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,313.01478995499997,0.667994495193297,1,1.852347341,1,1,-4.88235294117647,24.99162787175,288.02316208325,0.36184845397488197,0.38114479575935367,0.1758467238660494,0.08116002639971512,4.941338963284623,0.05299417064122946,1420.9535466315606
2,Seed,BLALOCK IRRIGATION DISTRICT NO. 3,2019.5,10.0,2.316699845,0.3747,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.3747,2592.879502325,0.46357509732333674,1,2.316699845,1,1,-4.88235294117647,24.99162787175,2567.88787445325,0.41333526803866183,0.3044775756613649,0.07406144677415835,0.20812570952581488,11993.164882957737,0.13513513513513511,5463.594466113483
3,Vegetable,BLALOCK IRRIGATION DISTRICT NO. 3,2019.5,37.0,2.562335685,255.0,26.88743272,5300.0,3800.0,222.0,0.3,15.0,0.17,0.3,365.54091606254144,468.0217517637502,0.9523809523809523,1,2.562335685,1,1,-4.88235294117647,24.99162787175,443.030123892,0.05077254483086554,0.2796396388721975,0.27960809911300666,0.38997971718393026,25.16061933347101,0.0900900900900901,273.235728338862
0,Cereal Grain,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2019.5,18.0,1.832013574,160.0,2.213139293,70.0,180.0,222.0,0.74,15.0,0.17,0.74,236.97298016862786,24.974010180500045,0.9523809523809523,1,1.832013574,1,1,-4.88235294117647,24.9740101805,0.0,0.24092873367387022,0.5151906111331113,0.17559407173897332,0.06828658345404517,1.9292790953437793,0.07507507507507508,851.6693996196999
1,Hay/Silage,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2019.5,6.0,1.8,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,310.6,0.6694338016177096,1,1.8,1,1,-4.88235294117647,24.9740101805,285.6259898195,0.3835253555552774,0.34283657626784425,0.1872260466473378,0.08641202152954053,4.984748910180772,0.32679738562091504,229.3848763683679
2,Seed,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2019.5,7.0,2.0,0.4,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.4,2924.0,0.43333333333333335,1,2.0,1,1,-4.88235294117647,24.9740101805,2899.0259898195,0.5291927127243222,0.1471069380220631,0.08495679428279254,0.2387435549708221,12501.273589552346,0.19305019305019305,4268.565631901008
0,Hay/Silage,BRADEN IRRIGATION DISTRICT NO. 20,2019.5,15.0,2.0,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,307.6,0.6726266496381439,1,2.0,1,1,-4.88235294117647,307.6,0.0,0.2951368093335799,0.49309584257963707,0.14489344869095688,0.06687389939582626,4.729805844464807,0.13071895424836602,570.2320246183235
0,Cereal Grain,Buena,2019.5,109.0,2.0,160.0,2.21,70.0,180.0,345.0,0.74,15.0,0.17,0.74,296.9457013574661,31.25,0.9523809523809523,1,2.0,1,1,-4.88235294117647,31.25,0.0,0.24899540606255005,0.585559141404194,0.11912072582394422,0.04632472670931164,1.8629598000331873,0.012397718819737169,7856.883096418482
1,Hay/Silage,Buena,2019.5,119.0,2.0,174.0,5.42,120.0,260.0,345.0,0.51,15.0,0.17,0.51,174.0,188.08000000000004,0.8005683505110913,1,2.0,1,1,-4.88235294117647,31.25,156.83,0.29650113499096686,0.4921414115375701,0.14461299448047457,0.06674445899098826,4.7490346901204274,0.01647717910693689,4553.566872399394
2,Orchard,Buena,2019.5,40.0,2.0,1269.0,0.06,1700.0,3200.0,345.0,0.13,15.0,0.17,0.13,92312.5,263.75,0.9523809523809523,1,2.0,1,1,-4.88235294117647,31.25,232.5,0.0952128160493733,0.13839244285505525,0.500502688062414,0.26589205303315744,0.058261880213480687,0.1923076923076923,1.444493307289255
3,Vegetable,Buena,2019.5,2.0,2.687,255.0,16.16,5300.0,3800.0,345.0,0.3,15.0,0.17,0.3,616.3100402227723,474.2652500000004,0.9523809523809523,1,2.687,1,1,-4.88235294117647,31.25,443.01525,0.054818871277915474,0.33627976420182587,0.25426650386560257,0.3546348606546562,14.871034157379455,1.6666666666666667,17.53587784688104
0,Cereal Grain,Bull Ditch,2019.5,116.0,2.0,160.0,26.89,70.0,180.0,345.0,0.74,15.0,0.17,0.74,160.0,3677.3999999999996,0.14526775753068055,1,2.0,1,1,-4.88235294117647,252.46,3424.94,0.7799547812496692,0.17156950889740302,0.03490251109410811,0.01357319875881982,25.91018366545569,0.011649580615097856,89390.32781921813
1,Hay/Silage,Bull Ditch,2019.5,773.0,2.0,174.0,5.79,120.0,260.0,345.0,0.51,15.0,0.17,0.51,174.0,252.46000000000004,0.7494094058324896,1,2.0,1,1,-4.88235294117647,252.46,0.0,0.32082143427125337,0.4751278426291646,0.13961365264708242,0.06443707045249958,5.105392855131922,0.002536590315298176,33151.31017827322
0,Cereal Grain,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2019.5,2.0,2.4,160.0,2.2,70.0,180.0,222.0,0.74,15.0,0.17,0.74,242.4545454545454,25.399999999999977,0.9523809523809524,1,2.4,1,1,-4.88235294117647,25.4,0.0,0.08023618753289563,0.83868439903451,0.05837717767146811,0.022702235761126493,1.535872716446779,0.6756756756756757,94.79315446634436
1,Hay/Silage,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2019.5,7.0,2.6,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,298.6,0.6822051936994465,1,2.6,1,1,-4.88235294117647,25.4,273.2,0.10325975200168988,0.8213681662452519,0.051570371725776734,0.02380171002728157,3.827819536715045,0.2801120448179272,261.5860453315829
2,Seed,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2019.5,3.0,2.4,0.4,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.4,2918.0,0.43449612403100774,1,2.4,1,1,-4.88235294117647,25.4,2892.6,0.41206243042049967,0.3354082803038589,0.06627758953253866,0.1862516997431028,11881.418901969204,0.4504504504504505,1825.9368537161029
3,Vegetable,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2019.5,24.0,2.2,255.0,26.9,5300.0,3800.0,222.0,0.3,15.0,0.17,0.3,365.1579925650558,467.75,0.9523809523809523,1,2.2,1,1,-4.88235294117647,25.4,442.35,0.060825652551357225,0.13669020360326284,0.3351032688585103,0.46738087498686953,26.12024971290559,0.1388888888888889,177.1641857611248
0,Cereal Grain,Cascade,2019.5,567.0,2.0,160.0,2.21,70.0,180.0,345.0,0.74,15.0,0.17,0.74,296.9457013574661,31.25,0.9523809523809523,1,2.0,1,1,-4.88235294117647,31.25,0.0,0.24899540606255005,0.585559141404194,0.11912072582394422,0.046324726709311634,1.8629598000331873,0.00238333571666905,40870.208400635594
1,Hay/Silage,Cascade,2019.5,6255.0,2.0,174.0,5.42,120.0,260.0,345.0,0.51,15.0,0.17,0.51,174.0,188.08000000000004,0.8005683505110913,1,2.0,1,1,-4.88235294117647,31.25,156.83,0.296501134990967,0.4921414115375703,0.14461299448047463,0.06674445899098828,4.7490346901204274,0.0003134747104277362,239349.2503097329
2,Orchard,Cascade,2019.5,66.0,2.0,1269.0,0.06,1700.0,3200.0,345.0,0.13,15.0,0.17,0.13,92312.5,263.75,0.9523809523809523,1,2.0,1,1,-4.88235294117647,31.25,232.5,0.09521281604937328,0.13839244285505523,0.5005026880624139,0.2658920530331574,0.05826188021348069,0.11655011655011654,2.3834139570272708
3,Vegetable,Cascade,2019.5,89.0,1.0,255.0,16.16,5300.0,3800.0,345.0,0.3,15.0,0.17,0.3,614.6658415841584,473.0,0.9523809523809523,1,1.0,1,1,-4.88235294117647,31.25,441.75,0.08235175677036141,0.0015101177891875565,0.38256317326084766,0.5335749521796033,16.16,0.03745318352059925,779.1414191000006
0,Cereal Grain,EAST SIDE IRRIGATION DISTRICT NO. 6,2019.5,178.0,2.8,160.0,2.2,70.0,180.0,222.0,0.74,15.0,0.17,0.74,245.3181818181818,25.700000000000045,0.9523809523809523,1,2.8,1,1,-4.88235294117647,25.7,0.0,0.03589114252832109,0.9278844503982827,0.026081573092845364,0.010142833980550974,1.3053636350748437,0.007591861524445794,8446.82105156387
1,Hay/Silage,EAST SIDE IRRIGATION DISTRICT NO. 6,2019.5,265.0,2.8,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,295.6,0.6853980417198808,1,2.8,1,1,-4.88235294117647,25.7,269.9,0.07089125000515327,0.8770633964361948,0.03560997875065659,0.01643537480799535,3.5482210487473202,0.007399186089530151,9845.83401620692
2,Seed,EAST SIDE IRRIGATION DISTRICT NO. 6,2019.5,168.0,2.1,0.4,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.4,2922.5,0.43362403100775193,1,2.1,1,1,-4.88235294117647,25.7,2896.8,0.5044027655382097,0.18691510826254645,0.08101518566400287,0.227666940535241,12380.223725704995,0.008043758043758044,102397.29732624358
