g,i,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc
Okanogan,Berry,2015,15,1.6,2273,3.96,5400,7600,208,0.25
Okanogan,Cereal Grain,2015,4,2.5,160,2.21,70,180,208,0.74
Okanogan,Hay/Silage,2015,3559,2.2,174,5.42,120,260,208,0.51
Okanogan,Orchard,2015,11348,2.4,1269,16.16,1700,3200,208,0.13
Okanogan,Vegetable,2015,42,2,255,26.89,5300,3800,208,0.3
Okanogan,Vineyard,2015,119,1.5,679,5.79,2200,2900,208,0.13
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2015,1,2.562,678.6666667,5.788732394,2200,2900,222,0.13
BLALOCK IRRIGATION DISTRICT NO. 3,Berry,2015,1,1.811,2273,3.962566845,5400,7600,222,0.25
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2015,29,1.855503829,160,2.213139293,70,180,222,0.74
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2015,37,1.852347341,174,5.418390805,120,260,222,0.51
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2015,10,2.316699845,0.3747,12900,1436,511,259,0.74
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2015,37,2.562335685,255,26.88743272,5300,3800,222,0.3
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2015,1,2.562,678.6666667,5.788732394,2200,2900,222,0.13
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Berry,2015,1,1.811,2273,3.962566845,5400,7600,222,0.25
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2015,18,1.832013574,160,2.213139293,70,180,222,0.74
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2015,6,1.8,174,5.4,120,260,222,0.51
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Seed,2015,7,2,0.4,12900,1436,511,259,0.74
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2015,1,1.9,255,26.9,5300,3800,222,0.3
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2015,15,2,174,5.4,120,260,222,0.51
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2015,2,2.4,160,2.2,70,180,222,0.74
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2015,7,2.6,174,5.4,120,260,222,0.51
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2015,3,2.4,0.4,12900,1436,511,259,0.74
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2015,24,2.2,255,26.9,5300,3800,222,0.3
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2015,178,2.8,160,2.2,70,180,222,0.74
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2015,265,2.8,174,5.4,120,260,222,0.51
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2015,168,2.1,0.4,12900,1436,511,259,0.74
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2015,121,2.4,255,26.9,5300,3800,222,0.3
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2015,1432,2.8,160,2.2,70,180,222,0.74
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2015,755,3,174,5.4,120,260,222,0.51
GARDENA FARMS DISTRICT NO. 13,Orchard,2015,7,3,4446,16.2,1700,3200,222,0.13
GARDENA FARMS DISTRICT NO. 13,Seed,2015,3656,2.3,0.4,12900,1436,511,259,0.74
GARDENA FARMS DISTRICT NO. 13,Vegetable,2015,160,3.1,255,26.9,5300,3800,222,0.3
GARDENA FARMS DISTRICT NO. 13,Vineyard,2015,4,2.6,678.7,5.8,2200,2900,222,0.13
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2015,62,1.7,174,5.4,120,260,222,0.51
HUDSON BAY IRRIGATION DISTRICT NO.,Vegetable,2015,16,1.9,255,26.9,5300,3800,222,0.3
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2015,27,1.6,174,5.4,120,260,222,0.51
HYDRO-IRRIGATION DISTRICT NO. 9,Vegetable,2015,15,1.7,255,26.9,5300,3800,222,0.3
Irrigated area outside irrigation districts,Berry,2015,29,1.9,2273,4,5400,7600,222,0.25
Irrigated area outside irrigation districts,Cereal Grain,2015,14089,2.5,160,2.2,70,180,222,0.74
Irrigated area outside irrigation districts,Hay/Silage,2015,7689,2.3,174,5.4,120,260,222,0.51
Irrigated area outside irrigation districts,Herb,2015,711,2.1,424,0.1,305,549,294,0.41
Irrigated area outside irrigation districts,Oilseed,2015,165,2.4,385,0.8,881.5,705,287.5,0.74
Irrigated area outside irrigation districts,Orchard,2015,1287,2.6,1269,16.2,1700,3200,222,0.13
Irrigated area outside irrigation districts,Seed,2015,9371,2.3,0.4,12900,1436,511,259,0.74
Irrigated area outside irrigation districts,Vegetable,2015,3601,2.4,255,26.9,5300,3800,222,0.3
Irrigated area outside irrigation districts,Vineyard,2015,1777,2.1,678.7,5.8,2200,2900,222,0.13
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2015,55,2.9,160,2.2,70,180,222,0.74
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2015,46,3,174,5.4,120,260,222,0.51
LOWDEN IRRIGATION DISTRICT NO. 2,Seed,2015,72,2.5,0.4,12900,1436,511,259,0.74
LOWDEN IRRIGATION DISTRICT NO. 2,Vegetable,2015,18,2.7,255,26.9,5300,3800,222,0.3
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2015,30,3,160,2.2,70,180,222,0.74
MUD CREEK IRRIGATION DISTRICT NO. 7,Seed,2015,22,2.4,0.4,12900,1436,511,259,0.74
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2015,2,1.9,174,5.4,120,260,222,0.51
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2015,665,2.1,160,2.2,70,180,222,0.74
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2015,621,2.1,174,5.4,120,260,222,0.51
TOUCHET IRRIGATION DISTRICT NO. 16,Orchard,2015,1,2.1,1269,16.2,1700,3200,222,0.13
TOUCHET IRRIGATION DISTRICT NO. 16,Seed,2015,554,1.9,0.4,12900,1436,511,259,0.74
TOUCHET IRRIGATION DISTRICT NO. 16,Vegetable,2015,107,2.3,255,26.9,5300,3800,222,0.3
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2015,1124,2.8,160,2.2,70,180,222,0.74
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2015,2,2.5,174,5.4,120,260,222,0.51
TWO RIVERS IRRIGATION DISTRICT NO. 19,Orchard,2015,455,2.6,1269,16.2,1700,3200,222,0.13
TWO RIVERS IRRIGATION DISTRICT NO. 19,Vegetable,2015,2032,2.7,255,26.9,5300,3800,222,0.3
WALLA WALLA WATER & POWER DISTRICT NO. 18,Vegetable,2015,34,0.9,255,26.9,5300,3800,222,0.3
WATER DISTRIBUTION DISTRICT NO. 1,Hay/Silage,2015,8,1.8,174,5.4,120,260,222,0.51
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2015,236,2.1,160,2.2,70,180,222,0.74
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2015,258,2.6,174,5.4,120,260,222,0.51
WEST SIDE IRRIGATION DISTRICT NO. 5,Seed,2015,697,2.6,0.4,12900,1436,511,259,0.74
WEST SIDE IRRIGATION DISTRICT NO. 5,Vegetable,2015,113,2.5,255,26.9,5300,3800,222,0.3
Ahtanum,Cereal Grain,2015,72,2,160,2.21,70,180,345,0.74
Ahtanum,Hay/Silage,2015,1297,2,174,5.42,120,260,345,0.51
Ahtanum,Orchard,2015,156,2,1269,3.96,1700,3200,345,0.13
Buena,Cereal Grain,2015,109,2,160,2.21,70,180,345,0.74
Buena,Hay/Silage,2015,119,2,174,5.42,120,260,345,0.51
Buena,Orchard,2015,40,2,1269,0.06,1700,3200,345,0.13
Buena,Vegetable,2015,2,2.687,255,16.16,5300,3800,345,0.3
Bull Ditch,Cereal Grain,2015,116,2,160,26.89,70,180,345,0.74
Bull Ditch,Hay/Silage,2015,773,2,174,5.79,120,260,345,0.51
Cascade,Berry,2015,1,1.765,2273,3.96,5400,7600,345,0.25
Cascade,Cereal Grain,2015,567,2,160,2.21,70,180,345,0.74
Cascade,Hay/Silage,2015,6255,2,174,5.42,120,260,345,0.51
Cascade,Orchard,2015,66,2,1269,0.06,1700,3200,345,0.13
Cascade,Vegetable,2015,89,1,255,16.16,5300,3800,345,0.3
Ellensburg Wat,Cereal Grain,2015,401,2,160,26.89,70,180,345,0.74
Ellensburg Wat,Hay/Silage,2015,7529,2,174,5.79,120,260,345,0.51
Ellensburg Wat,Seed,2015,2,3.245,7980,5.42,250,450,345,0.74
Ellensburg Wat,Vegetable,2015,307,1,255,16.16,5300,3800,345,0.3
Ellensburg Wat,Vineyard,2015,3,2,679,5.79,2200,2900,345,0.13
FGP,Cereal Grain,2015,75,2.825,160,5.42,70,180,345,0.74
