,i,g,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,Berry,Ahtanum,2020.0,3.0,1.0,2200.0,3.88,5832.0,8208.0,390.0,0.25,15.0,0.17,0.25,3909.0850515463917,722.25,0.9523809523809523,1,1.0,1,1,-4.88235294117647,34.5,687.75,0.07333234436038173,0.0009889729515897738,0.5411659991099242,0.38451268357810403,3.8800000000000003,1.3333333333333333,15.278677015495948
1,Cereal Grain,Ahtanum,2020.0,3.0,2.0,194.0,3.13,76.0,194.0,390.0,0.74,15.0,0.17,0.74,231.46964856230034,34.5,0.9523809523809523,1,2.0,1,1,-4.88235294117647,34.5,0.0,0.2687862165760079,0.5602543523862487,0.12283751711600831,0.04812191392173521,2.6682522010516387,0.4504504504504505,243.97550972693915
2,Hay/Silage,Ahtanum,2020.0,1421.0,2.0,191.0,4.81,130.0,281.0,390.0,0.51,15.0,0.17,0.51,191.0,87.70999999999992,0.9045291767804857,1,2.0,1,1,-4.88235294117647,34.5,53.2099999999999,0.26935515406758365,0.4989038978221049,0.15844089153040763,0.07330005657990388,4.203744179760128,0.0013798622897434835,48727.12399580514
3,Herb,Ahtanum,2020.0,36.0,2.0,386.0,0.06,810.0,648.0,390.0,0.41,15.0,0.17,0.41,32865.0,93.89999999999986,0.9523809523809524,1,2.0,1,1,-4.88235294117647,34.5,59.3999999999999,0.17118768330694284,0.3130205368593671,0.22924079103719566,0.28655098879649454,0.05573370055843264,0.06775067750677508,623.1421748151593
4,Orchard,Ahtanum,2020.0,167.0,2.0,1676.0,16.88,1836.0,3456.0,390.0,0.13,15.0,0.17,0.13,1676.0,22578.879999999997,0.20190252123652572,1,2.0,1,1,-4.88235294117647,34.5,22544.38,0.788070912013618,0.03035857752283005,0.11857665989456447,0.06299385056898738,16.77739484501408,0.046061722708429294,227.54791391377057
0,Cereal Grain,BLALOCK IRRIGATION DISTRICT NO. 3,2020.0,27.0,1.9,193.6,3.1,76.0,194.0,270.0,0.74,15.0,0.17,0.74,193.6,31.659999999999968,0.9472474006931485,1,1.9,1,1,-4.88235294117647,31.66,0.0,0.24604771076034762,0.5337279243742613,0.15823528438476242,0.06198908048062858,2.6780601843981153,0.050050050050050046,1560.374252951841
1,Hay/Silage,BLALOCK IRRIGATION DISTRICT NO. 3,2020.0,34.0,1.9,191.0,4.8,130.0,281.0,270.0,0.51,15.0,0.17,0.51,191.0,207.29999999999995,0.7738874345549739,1,1.9,1,1,-4.88235294117647,31.66,175.64,0.3094001682497061,0.42417731100730366,0.18215262367099816,0.08426989707199202,4.314722225549294,0.05767012687427912,1164.884106484275
2,Seed,BLALOCK IRRIGATION DISTRICT NO. 3,2020.0,9.0,2.3,0.4,12900.0,1625.0,578.0,294.0,0.74,15.0,0.17,0.74,0.4,2628.5,0.49060077519379847,1,2.3,1,1,-4.88235294117647,31.66,2596.84,0.4093842398171177,0.28201918864580433,0.0809663269852161,0.22763024455186182,12070.230931484155,0.15015015015015015,5038.999485349682
3,Vegetable,BLALOCK IRRIGATION DISTRICT NO. 3,2020.0,30.0,2.5,780.0,16.5,5724.0,4104.0,270.0,0.3,15.0,0.17,0.3,780.0,2734.5,0.7875291375291376,1,2.5,1,1,-4.88235294117647,31.66,2702.84,0.1863790790801988,0.20395755290509215,0.2545847031270214,0.3550786648876878,15.756267152229325,0.1111111111111111,964.6426171063788
0,Cereal Grain,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2020.0,16.0,1.7,193.6,3.1,76.0,194.0,270.0,0.74,15.0,0.17,0.74,193.6,34.65999999999997,0.9422487336710211,1,1.7,1,1,-4.88235294117647,34.66,0.0,0.3330301400964548,0.3718272818623098,0.2120654079259248,0.08307717011531074,2.8435867597926237,0.08445945945945946,933.8620029010984
1,Hay/Silage,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2020.0,6.0,1.9,191.0,4.8,130.0,281.0,270.0,0.51,15.0,0.17,0.51,191.0,207.29999999999995,0.7738874345549739,1,1.9,1,1,-4.88235294117647,34.66,172.64,0.3094001682497062,0.4241773110073036,0.18215262367099821,0.08426989707199206,4.314722225549294,0.32679738562091504,205.56778349722492
2,Vegetable,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2020.0,2.0,1.4,780.0,16.5,5724.0,4104.0,270.0,0.3,15.0,0.17,0.3,780.0,2751.0,0.7862470862470863,1,1.4,1,1,-4.88235294117647,34.66,2716.34,0.23314575509946447,0.008378084318762224,0.3167263088143668,0.44174985176740644,16.47710161054735,1.6666666666666667,64.66268034122967
