g,county
Ahtanum,Yakima
ARTESIA IRRIGATION DISTRICT NO. 8,Walla
BLALOCK IRRIGATION DISTRICT NO. 3,Walla
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Walla
BRADEN IRRIGATION DISTRICT NO. 20,Walla
Buena,Yakima
Bull Ditch,Kittitas
Cascade,Kittitas
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Walla
EAST SIDE IRRIGATION DISTRICT NO. 6,Walla
Ellensburg Wat,Kittitas
FGP,Benton
Fowler Ditch,Yakima
GARDENA FARMS DISTRICT NO. 13,Walla
HUDSON BAY IRRIGATION DISTRICT NO.,Walla
HYDRO-IRRIGATION DISTRICT NO. 9,Walla
Irrigated area outside irrigation districts,
KID,Benton
KRD,Kittitas
LOWDEN IRRIGATION DISTRICT NO. 2,Walla
Moxee-Selah,Yakima
MUD CREEK IRRIGATION DISTRICT NO. 7,Walla
Naches-Selah,Yakima
Not In I.D.,Yakima
Okanogan,Okanogan
Olsen,Kittitas
ORCHARD IRRIGATION DISTRICT NO. 10,Walla
Packwood,Kittitas
Roza,Yakima
SVID,Yakima
Terrace Heights,Yakima
Throp Mill,Kittitas
TOUCHET IRRIGATION DISTRICT NO. 16,Walla
TWO RIVERS IRRIGATION DISTRICT NO. 19,Walla
Union Gap,Yakima
WALLA WALLA WATER & POWER DISTRICT NO. 18,Walla
WATER DISTRIBUTION DISTRICT NO. 1,Walla
Wenas,Yakima
West Side,Kittitas
WEST SIDE IRRIGATION DISTRICT NO. 5,Walla
Yakima-Tieton,Yakima
Yakima-Wapato,Yakima
