g,i,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc
Ahtanum,Berry,2023,3,2,1900,3.53,6858,9652,236,0.25
Ahtanum,Cereal Grain,2023,14,2,255,2.26,89,229,236,0.74
Ahtanum,Hay/Silage,2023,1532,2,258,5.11,152,330,236,0.51
Ahtanum,Herb,2023,35,2,438,0.06,953,762,236,0.41
Ahtanum,Orchard,2023,111,2,1173,18.67,2159,4064,236,0.13
Buena,Cereal Grain,2023,109,2,255,2.26,89,229,236,0.74
Buena,Hay/Silage,2023,62,2,258,5.11,152,330,236,0.51
Buena,Herb,2023,72,2,438,0.06,953,762,236,0.41
Buena,Orchard,2023,39,2,1173,18.67,2159,4064,236,0.13
Buena,Vegetable,2023,4,2,860,16.63,6731,4826,236,0.3
Bull Ditch,Hay/Silage,2023,832,2,258,5.11,152,330,236,0.51
Bull Ditch,Oilseed,2023,5,2.283,470,0.82,635.5,667,209,0.74
Bull Ditch,Vegetable,2023,28,2,860,16.63,6731,4826,236,0.3
Cascade,Cereal Grain,2023,190,2,255,2.26,89,229,236,0.74
Cascade,Hay/Silage,2023,6268,2,258,5.11,152,330,236,0.51
Cascade,Herb,2023,3,2,438,0.06,953,762,236,0.41
Cascade,Orchard,2023,76,2,1173,18.67,2159,4064,236,0.13
Cascade,Seed,2023,113,2,9750,0.39,318,572,236,0.74
Cascade,Vegetable,2023,220,2,860,16.63,6731,4826,236,0.3
Ellensburg Wat,Cereal Grain,2023,277,2,255,2.26,89,229,236,0.74
Ellensburg Wat,Hay/Silage,2023,6884,2,258,5.11,152,330,236,0.51
Ellensburg Wat,Oilseed,2023,172,2.5,470,0.82,635.5,667,209,0.74
Ellensburg Wat,Seed,2023,91,2,9750,0.39,318,572,236,0.74
Ellensburg Wat,Vegetable,2023,607,2,860,16.63,6731,4826,236,0.3
Ellensburg Wat,Vineyard,2023,8,2,935,4.78,2794,3683,236,0.13
FGP,Cereal Grain,2023,4,1.913,255,2.26,89,229,236,0.74
FGP,Hay/Silage,2023,1,2.782,258,5.11,152,330,236,0.51
FGP,Vegetable,2023,155,2,860,16.63,6731,4826,236,0.3
Fowler Ditch,Hay/Silage,2023,11,2,258,5.11,152,330,236,0.51
Fowler Ditch,Herb,2023,665,2,438,0.06,953,762,236,0.41
Fowler Ditch,Vineyard,2023,18,2,935,4.78,2794,3683,236,0.13
Yakima Irrigated area outside irrigation districts,Berry,2023,169,2,1900,3.53,6858,9652,236,0.25
Yakima Irrigated area outside irrigation districts,Cereal Grain,2023,9874,2,255,2.26,89,229,236,0.74
Yakima Irrigated area outside irrigation districts,Hay/Silage,2023,9348,2,258,5.11,152,330,236,0.51
Yakima Irrigated area outside irrigation districts,Herb,2023,3914,2,438,0.06,953,762,236,0.41
Yakima Irrigated area outside irrigation districts,Orchard,2023,9197,2,1173,18.67,2159,4064,236,0.13
Yakima Irrigated area outside irrigation districts,Vegetable,2023,4188,2,860,16.63,6731,4826,236,0.3
Yakima Irrigated area outside irrigation districts,Vineyard,2023,5012,2,935,4.78,2794,3683,236,0.13
KID,Berry,2023,4,2,1900,3.53,6858,9652,236,0.25
KID,Cereal Grain,2023,1199,2,255,2.26,89,229,236,0.74
KID,Hay/Silage,2023,1321,2,258,5.11,152,330,236,0.51
KID,Herb,2023,12,2,438,0.06,953,762,236,0.41
KID,Orchard,2023,1926,2,1173,18.67,2159,4064,236,0.13
KID,Vegetable,2023,1231,2,860,16.63,6731,4826,236,0.3
KID,Vineyard,2023,5176,2,935,4.78,2794,3683,236,0.13
KRD,Berry,2023,33,2,1900,3.53,6858,9652,236,0.25
KRD,Cereal Grain,2023,879,2,255,2.26,89,229,236,0.74
KRD,Hay/Silage,2023,25065,2,258,5.11,152,330,236,0.51
KRD,Herb,2023,13,2,438,0.06,953,762,236,0.41
KRD,Oilseed,2023,107,2.5,470,0.82,635.5,667,209,0.74
KRD,Orchard,2023,1699,2,1173,18.67,2159,4064,236,0.13
KRD,Seed,2023,325,2,9750,0.39,318,572,236,0.74
KRD,Vegetable,2023,543,2,860,16.63,6731,4826,236,0.3
KRD,Vineyard,2023,13,2,935,4.78,2794,3683,236,0.13
Moxee-Selah,Hay/Silage,2023,167,2,258,5.11,152,330,236,0.51
Moxee-Selah,Herb,2023,3403,2,438,0.06,953,762,236,0.41
Moxee-Selah,Orchard,2023,103,2,1173,18.67,2159,4064,236,0.13
Moxee-Selah,Vegetable,2023,5,2,860,16.63,6731,4826,236,0.3
Moxee-Selah,Vineyard,2023,5,1.575,935,4.78,2794,3683,236,0.13
Naches-Selah,Berry,2023,24,2,1900,3.53,6858,9652,236,0.25
Naches-Selah,Hay/Silage,2023,591,2,258,5.11,152,330,236,0.51
Naches-Selah,Orchard,2023,4248,2,1173,18.67,2159,4064,236,0.13
Naches-Selah,Vineyard,2023,13,2,935,4.78,2794,3683,236,0.13
Not In I.D.,Berry,2023,1,2.133,1900,3.53,6858,9652,236,0.25
Not In I.D.,Cereal Grain,2023,58,2,255,2.26,89,229,236,0.74
Not In I.D.,Hay/Silage,2023,1106,2,258,5.11,152,330,236,0.51
Not In I.D.,Herb,2023,399,2,438,0.06,953,762,236,0.41
Not In I.D.,Orchard,2023,2459,2,1173,18.67,2159,4064,236,0.13
Not In I.D.,Vegetable,2023,13,2,860,16.63,6731,4826,236,0.3
Not In I.D.,Vineyard,2023,1,2.182,935,4.78,2794,3683,236,0.13
Olsen,Hay/Silage,2023,363,2,258,5.11,152,330,236,0.51
Olsen,Vineyard,2023,29,2.333,935,4.78,2794,3683,236,0.13
Packwood,Hay/Silage,2023,409,2,258,5.11,152,330,236,0.51
Roza,Berry,2023,1379,2,1900,3.53,6858,9652,236,0.25
Roza,Cereal Grain,2023,6414,2,255,2.26,89,229,236,0.74
Roza,Hay/Silage,2023,3936,2,258,5.11,152,330,236,0.51
Roza,Herb,2023,8746,2,438,0.06,953,762,236,0.41
Roza,Orchard,2023,27526,2,1173,18.67,2159,4064,236,0.13
Roza,Vegetable,2023,268,2,860,16.63,6731,4826,236,0.3
Roza,Vineyard,2023,14889,2,935,4.78,2794,3683,236,0.13
SVID,Berry,2023,40,2,1900,3.53,6858,9652,236,0.25
SVID,Cereal Grain,2023,13817,2,255,2.26,89,229,236,0.74
SVID,Hay/Silage,2023,11171,2,258,5.11,152,330,236,0.51
SVID,Herb,2023,9034,2,438,0.06,953,762,236,0.41
SVID,Oilseed,2023,1,2.815,470,0.82,635.5,667,209,0.74
