g,basin,i,p,y,xland,xlandsc,difflandsc,xwater,xwatersc,grev,gross_revenue,revdiff,iterations,statussc,lambdawater,HR_Region,IMPLAN_category,crop_class
ANT01-IDs,ANT,Orchards,2061.666385,2.066393172,230.6169292,229.23049368445464,1.3864355155453438,662.8889632586987,657.2565050942937,982477.3184165967,976570.8073369646,5906.511079632095,2,Good,94.33003595012323,Sacramento River,Trees and Vine,Trees and vines
ANT01-IDs,ANT,Pasture,215.0,3.5,417.254489,417.254484880187,4.119812956560054e-06,1763.595640312418,1759.186616346927,313984.0029725,313983.99987234076,0.0031001592869870365,2,Good,94.33003595012323,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
ANT01-IDs,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1842.8788485378395,11.541254462160396,6536.722008614954,6479.799599995956,7366666.799564798,7320819.272386796,45847.52717800345,2,Good,94.33003595012323,Sacramento River,Trees and Vine,Trees and vines
ANT02-WAs,ANT,Field and Grain,173.2298426,2.485487486,610.495454,608.8240367696395,1.6714172303604755,647.1251812400001,643.740088987348,262855.29262474756,262135.64620919133,719.6464155561989,2,Good,62.45599984741406,Sacramento River,Other field and grain,Field and grain
ANT02-WAs,ANT,Orchards,2061.666385,2.066393172,752.5419621,741.839845639571,10.70211646042901,2151.904185154842,2115.9980602514966,3205989.3065299396,3160396.007209291,45593.299320648424,2,Good,62.45599984741406,Sacramento River,Trees and Vine,Trees and vines
ANT02-WAs,ANT,Pasture,215.0,3.5,1220.895677,1172.8989053690636,47.99677163093634,5160.3190618602985,4945.059026012208,918723.9969425,882606.4262902203,36117.57065227942,2,Good,62.45599984741406,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
ANT02-WAs,ANT,Almonds,5165.974452,0.856578131,183.9848881,179.21119750240058,4.773690597599426,657.3511614181565,638.6947165098895,814144.3052479652,793020.4343953822,21123.87085258297,2,Good,62.45599984741406,Sacramento River,Trees and Vine,Trees and vines
ANT02-WAs,ANT,Walnuts,1949.323208,2.037882063,2919.768044,2894.21313111053,25.55491288946996,10261.959243363643,10146.712241449712,11598751.694596492,11497235.038233632,101516.65636285767,2,Good,62.45599984741406,Sacramento River,Trees and Vine,Trees and vines
BND01-FULL,BND,Field and Grain,173.2298426,2.485487486,131.04541,131.045413729955,3.7299549831004697e-06,126.24041158965153,126.23843013461848,56422.991141028244,56422.992746999924,-0.0016059716726886109,2,Good,0.002212168540686693,Sacramento River,Other field and grain,Field and grain
BND01-FULL,BND,Pasture,215.0,3.5,255.415207,255.41520699787753,2.1224764168437105e-09,931.839813453195,931.8238912765255,192199.9432675,192199.94326590284,1.597189111635089e-06,2,Good,0.002212168540686693,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
BTE01-IDs,BTE,Alfalfa,187.2098036,5.87624882,427.562673,375.5944287406534,51.96824425934659,1514.5220015983195,1327.1128214635755,470358.0141824669,413188.19624942285,57169.81793304405,2,Good,76.08113634946955,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
BTE01-IDs,BTE,Beans Dry,1054.225767,1.083582552,236.478384,113.95011535939605,122.52826864060395,507.90301813255076,244.12767443429388,270138.87017771375,130169.84850423958,139969.02167347417,2,Good,76.08113634946955,Sacramento River,Other field and grain,Field and grain
BTE01-IDs,BTE,Corn,166.7194068,5.454093572,935.383313,652.7819261039116,282.60138689608846,2027.7031598334186,1411.5484239094326,850547.0817881571,593576.7236546098,256970.35813354736,2,Good,76.08113634946955,Sacramento River,Corn,Corn
BTE01-IDs,BTE,Field and Grain,173.2298426,2.485487486,912.973112,904.0230426562835,8.950069343716564,876.45418752,865.6924567274683,393090.25634986366,389236.7090696338,3853.547280229919,2,Good,76.08113634946955,Sacramento River,Other field and grain,Field and grain
BTE01-IDs,BTE,Orchards,2061.666385,2.066393172,5141.725886,5031.833143397266,109.89274260273396,15705.676682862206,15331.578262092622,21904849.21481853,21436682.68671362,468166.52810490876,2,Good,76.08113634946955,Sacramento River,Trees and Vine,Trees and vines
BTE01-IDs,BTE,Pasture,215.0,3.5,2085.238983,2025.5966633019534,59.64231969804678,8420.89009231992,8159.5843568384435,1569142.3347075002,1524261.4891347198,44880.84557278035,2,Good,76.08113634946955,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
BTE01-IDs,BTE,Rice,370.9204663,4.450435008,101766.3145,78797.03163280604,22969.28286719395,457948.41524999996,353700.17220487643,167991499.62229526,130074785.30413444,37916714.31816082,2,Good,76.08113634946955,Sacramento River,Corn,Field and grain
BTE01-IDs,BTE,Safflower,429.9064999,1.059039203,712.990372,1.9986996824400673e-07,712.99037180013,1589.96852956,5.611280496141869e-07,324615.8442829781,9.09983655267932e-05,324615.8441919797,2,Good,76.08113634946955,Sacramento River,Other field and grain,Field and grain
BTE01-IDs,BTE,Subtropical,942.1801854,4.535541375,567.2561944,561.8583312693484,5.397863130651672,1345.6335689257771,1329.4967828107488,2424054.3149194126,2400987.6414438756,23066.673475536983,2,Good,76.08113634946955,Sacramento River,Trees and Vine,Trees and vines
BTE01-IDs,BTE,Sunflowers,3239.762235,0.609912532,230.893158,201.06101815953872,29.83213984046128,557.4787024907141,484.23702683246705,456238.3200316109,397290.8593027826,58947.46072882833,2,Good,76.08113634946955,Sacramento River,Other field and grain,Field and grain
BTE01-IDs,BTE,Tomatoes Processing,77.35725946,46.64298896,774.191738,666.604568555703,107.58716944429693,1614.6198805951963,1386.7652457047277,2793418.34442959,2405225.138535479,388193.2058941107,2,Good,76.08113634946955,Sacramento River,Vegetables and non-tree fruits,Vegetables
BTE01-IDs,BTE,Truck,742.4217034,17.44810947,55.63443,55.101322653698446,0.5331073463015557,142.4241408,140.70673624148898,720680.3477857313,713774.5524402999,6905.795345431543,2,Good,76.08113634946955,Sacramento River,Vegetables and non-tree fruits,Vegetables
BTE01-IDs,BTE,Almonds,5165.974452,0.856578131,2552.898447,2469.650564649294,83.24788235070582,8866.486306076551,8555.914126755415,11296730.693293413,10928353.75734125,368376.93595216237,2,Good,76.08113634946955,Sacramento River,Trees and Vine,Trees and vines
BTE01-IDs,BTE,Walnuts,1949.323208,2.037882063,16765.31941,16577.220380398245,188.09902960175532,58010.78924107186,57216.53495209708,66600077.12488991,65852855.460200265,747221.6646896526,2,Good,76.08113634946955,Sacramento River,Trees and Vine,Trees and vines
BTE02-WAs,BTE,Alfalfa,187.2098036,5.87624882,844.261016,774.9968292246608,69.26418677533923,2952.099352894754,2703.1307889501795,928764.2725010093,852567.3371674798,76196.9353335296,2,Good,60.79529452426437,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
