g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
ANT01-IDs,Sacramento River,1.0,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,230.61696497578055,662.8889632586987,662.8846125485176,982477.3184165967,982477.4708290544,2,Good,0.0009768497469231766
ANT01-IDs,Sacramento River,1.0,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,417.2544253550897,1763.595640312418,1763.581771718532,313984.0029725,313983.955079705,2,Good,0.0009768497469231766
ANT01-IDs,Sacramento River,1.0,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1854.4201558521959,6536.722008614954,6536.67781472016,7366666.799564798,7366667.00951966,2,Good,0.0009768497469231766
ANT02-WAs,Sacramento River,1.0,Other field and grain,Field and grain,ANT,Field and Grain,173.22984259999996,2.485487486,610.495454,610.4960129751395,647.1251812400001,647.1233047674389,262855.29262474744,262855.5332974222,2,Good,0.0005321860805729355
ANT02-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,752.5419621,752.5419367783841,2151.904185154842,2151.8962176606,3205989.3065299396,3205989.1986544537,2,Good,0.0005321860805729355
ANT02-WAs,Sacramento River,1.0,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,1220.895677,1220.895320512809,5160.3190618602985,5160.295858885433,918723.9969425,918723.7286858887,2,Good,0.0005321860805729355
ANT02-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,ANT,Almonds,5165.974452,0.8565781309999999,183.9848881,183.98486861633108,657.3511614181565,657.3486892768682,814144.305247965,814144.2190315466,2,Good,0.0005321860805729355
ANT02-WAs,Sacramento River,1.0,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,2919.768044,2919.767943052264,10261.959243363643,10261.920937416513,11598751.694596492,11598751.29358254,2,Good,0.0005321860805729355
BND01-FULL,Sacramento River,1.0,Other field and grain,Field and grain,BND,Field and Grain,173.22984259999996,2.485487486,131.04541,131.04574397610466,126.24041158965153,126.23853810422317,56422.99114102823,56423.134937982235,2,Good,0.002443325852575016
BND01-FULL,Sacramento River,1.0,Alfalfa and Pasture,Alfalfa and pasture,BND,Pasture,215.0,3.5,255.415207,255.41487675172357,931.839813453195,931.8210197033546,192199.9432675,192199.69475567198,2,Good,0.002443325852575016
