g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
ANT01-IDs,Sacramento River,0.7,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,132.510838622799,662.8889632586987,379.9390267540013,982477.3184165967,564524.4425154802,4,Good,393.8393897411705
ANT01-IDs,Sacramento River,0.7,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,1.4891854255831324e-09,1763.595640312418,1.8617379836288687e-08,313984.0029725,1.1206120327513071e-06,4,Good,393.8393897411705
ANT01-IDs,Sacramento River,0.7,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1676.36221898094,6536.722008614954,5894.305664476992,7366666.799564798,6659333.493329621,4,Good,393.8393897411705
ANT02-WAs,Sacramento River,0.7,Other field and grain,Field and grain,ANT,Field and Grain,173.22984259999996,2.485487486,610.495454,497.66142954184215,647.1251812400001,526.2023073381096,262855.29262474744,214273.40667842395,2,Good,123.08834668999715
ANT02-WAs,Sacramento River,0.7,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,752.5419621,722.9929156195886,2151.904185154842,2062.239735392986,3205989.3065299396,3080104.064503042,2,Good,123.08834668999715
ANT02-WAs,Sacramento River,0.7,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,1220.895677,1.7684116315958417e-18,5160.3190618602985,5.138841642160637e-08,918723.9969425,1.3307297527758708e-15,2,Good,123.08834668999715
ANT02-WAs,Sacramento River,0.7,Trees and Vine,Trees and vines,ANT,Almonds,5165.974452,0.8565781309999999,183.9848881,172.16183484112335,657.3511614181565,613.5713382768404,814144.305247965,761826.576434683,2,Good,123.08834668999715
ANT02-WAs,Sacramento River,0.7,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,2919.768044,2856.0871769089613,10261.959243363643,10013.047901992677,11598751.694596492,11345780.03590484,2,Good,123.08834668999715
BND01-FULL,Sacramento River,0.7,Other field and grain,Field and grain,BND,Field and Grain,173.22984259999996,2.485487486,131.04541,126.13755131613841,126.24041158965153,121.20872529277757,56422.99114102823,54309.860532020706,2,Good,93.46525252310568
BND01-FULL,Sacramento River,0.7,Alfalfa and Pasture,Alfalfa and pasture,BND,Pasture,215.0,3.5,255.415207,170.2146949924106,931.839813453195,619.4474395465618,192199.9432675,128086.55798178898,2,Good,93.46525252310568
BTE01-IDs,Sacramento River,0.7,Alfalfa and Pasture,Alfalfa and pasture,BTE,Alfalfa,187.2098036,5.87624882,427.562673,360.7148764797542,1514.5220015983195,1274.537908002227,470358.0141824669,396819.32895739714,3,Good,88.41618104963133
BTE01-IDs,Sacramento River,0.7,Other field and grain,Field and grain,BTE,Beans Dry,1054.225767,1.083582552,236.478384,72.82626820495281,507.90301813255076,156.02360244699827,270138.87017771375,83192.40633911431,3,Good,88.41618104963133
BTE01-IDs,Sacramento River,0.7,Corn,Corn,BTE,Corn,166.71940680000003,5.454093572000001,935.383313,526.6900113891893,2027.7031598334186,1138.8925240418926,850547.0817881573,478920.93644185667,3,Good,88.41618104963133
BTE01-IDs,Sacramento River,0.7,Other field and grain,Field and grain,BTE,Field and Grain,173.22984259999996,2.485487486,912.973112,886.709645648285,876.45418752,849.1131479089294,393090.25634986354,381782.24236222747,3,Good,88.41618104963133
BTE01-IDs,Sacramento River,0.7,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,5141.725886,5004.211675814216,15705.676682862206,15247.417941196367,21904849.21481853,21319009.34202091,3,Good,88.41618104963133
