i,g,year,xland,p,y,xwater,omegaland,theta,sigma,patch_economics,patch_water,omegaother,omegaland_init,omegaother_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betaother,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,omegasupply,omegalabor
Orchards,ANT01-IDs,2022,230.6169292,2061.666385,2.066393172,2.874415879,607.0648734,0.13,0.17,No,No,3023.605103,607.0648734,3023.605103,25,71.86039698,557.6829675309230,1.0958305887601900,557.6829675309230,228.1399897,329.5429778,-4.882352941,0.069989169,0.7483237718489570,0.18168705883394100,1.5631732352503000,0.033355347,12.813434327870900,230.61694339788900,662.8873834,-1.42E-05,0.001579838,6.15648149079144E-08,2.38326248181201E-06,GOOD,0,0
Pasture,ANT01-IDs,2022,417.254489,215,3.5,4.226666667,101.0837153,0.0765,0.17,No,No,317.6096283,101.0837153,317.6096283,25,105.6666667,228.13998972500000,1.366745466136540,228.13998972500000,228.1399897,0,-4.882352941,0.002721956,0.9946521105336540,0.002625933,1.236560949186180,0.031328352,0.006787215,417.2544767892240,1763.5906299896000,1.22107763900203E-05,0.005010323,2.92645776424956E-08,2.84097028782178E-06,GOOD,0,0
Walnuts,ANT01-IDs,2022,1854.420103,1949.323208,2.037882063,3.5249413,1016.733954,0.13,0.17,No,No,1441.331846,1016.733954,1441.331846,25,88.1235325,1426.3014684728200,1.4858771593602500,1426.3014684728200,228.1399897,1198.161479,-4.882352941,0.054007821,0.9141288700607040,0.031863308914290500,1.2382429717491000,0.004148093,243.65645578215100,1854.4201260267100,6536.7058937866500,-2.3E-05,0.016114828304125700,1.24172034429433E-08,2.4652766758151E-06,GOOD,0,0
Field and Grain,ANT02-WAs,2022,610.495454,173.2298426,2.485487486,1.06,81.51658446,0.11100000000000000,0.17,No,No,258.4917158,81.51658446,258.4917158,25,26.5,64.05230569404970,1.1188224650310800,64.05230569404970,64.05230569,0,-4.882352941,0.331379657,0.080178017,0.5884423252577610,2.4753004772953900,0.014756881398512400,0.675598206,610.4956769949310,647.1245213208150,-0.000222995,0.000659919,3.65268781502888E-07,1.01977052455057E-06,GOOD,0,0
Orchards,ANT02-WAs,2022,752.5419621,2061.666385,2.066393172,2.859513879,607.0648734,0.13,0.17,No,No,3023.605103,607.0648734,3023.605103,25,71.48784698,558.0555175309230,1.0959408627423700,558.0555175309230,64.05230569,494.0032118,-4.882352941,0.071623937,0.7425047107360480,0.18587135197687600,1.5704801745933100,0.010221765801394000,49.154294201502700,752.5419551471030,2151.9013058704900,6.95289736540872E-06,0.002879284,9.23921550634381E-09,1.33801698698167E-06,GOOD,0,0
Pasture,ANT02-WAs,2022,1220.895677,215,3.5,4.226666667,101.0837153,0.0765,0.17,No,No,317.6096283,101.0837153,317.6096283,25,105.6666667,228.13998972500000,1.366745466136540,228.13998972500000,64.05230569,164.087684,-4.882352941,0.002721956,0.9946521105336530,0.002625933,1.2365609491861800,0.010706808,0.052097229,1220.8955567158300,5160.310700188800,0.000120284,0.008361671,9.85212521657989E-08,1.62037877835296E-06,GOOD,0,0
Almonds,ANT02-WAs,2022,183.9848881,5165.974452,0.856578131,3.572854098,962.6735903,0.4,0.17,No,No,1747.454374,962.6735903,1747.454374,25,89.32135245,1625.6114241379100,1.5054187755908400,1625.6114241379100,64.05230569,1561.559118,-4.882352941,0.052710174,0.9117030873670190,0.035586739046783200,0.5232270624838040,0.013588072508657300,15248.78810380400,183.98488181413100,657.3502668371950,6.28586855100366E-06,0.000894581,3.41651350603705E-08,1.36088747450654E-06,GOOD,0,0
Walnuts,ANT02-WAs,2022,2919.768044,1949.323208,2.037882063,3.514648797,1016.733954,0.13,0.17,No,No,1441.331846,1016.733954,1441.331846,25,87.86621993,1426.5587810478200,1.486027334178380,1426.5587810478200,64.05230569,1362.506475,-4.882352941,0.054868571761120900,0.9127637063251380,0.032367722,1.2422328142559400,0.002634561,412.10060345435700,2919.768011390670,10261.945394600300,3.2609326808597E-05,0.013848763293935900,1.11684648633674E-08,1.34952429312091E-06,GOOD,0,0
Field and Grain,BND01-FULL,2022,131.04541,173.2298426,2.485487486,0.963333333,81.51658446,0.11100000000000000,0.17,No,No,258.4917158,81.51658446,258.4917158,25,24.08333333,66.46897236904970,1.1262486751299900,66.46897236904970,66.46897237,0,-4.882352941,0.3469397058184560,0.047048182,0.6060121120479760,2.490261668217050,0.068747231,0.14501998877087600,131.04551970477700,126.23980703238600,-0.000109705,0.000604557,8.37150855264295E-07,4.78893610685236E-06,GOOD,0,0
Pasture,BND01-FULL,2022,255.415207,215,3.5,3.648333333,101.0837153,0.0765,0.17,No,No,317.6096283,101.0837153,317.6096283,25,91.20833333,242.5983231,1.4054997249441900,242.5983231,66.46897237,176.1293507,-4.882352941,0.006701043,0.9871062676771400,0.006192689,1.4741113244997900,0.051179002,0.011393833,255.41510114615200,931.8337503112550,0.000105854,0.006063142,4.144383143796E-07,6.50663542454618E-06,GOOD,0,0
Alfalfa,BTE01-IDs,2022,427.562673,187.2098036,5.87624882,3.542222222,310.085831,0.2790000000000000,0.17,No,No,371.05012470000000,310.085831,371.05012470000000,25,88.55555555,330.39987624693200,1.3612025961270000,330.39987624693200,65.91093717,264.4889391,-4.882352941,0.014700544132678300,0.976783046,0.00851641,2.7659908339157000,0.008382933,1902.5649533606900,427.5626762554760,1514.5216856578000,-3.26E-06,0.000315941,7.61403316428588E-09,2.08607411930647E-07,GOOD,0,0
Beans Dry,BTE01-IDs,2022,236.478384,1054.225767,1.083582552,2.147777778,97.28999715,1.68,0.17,No,No,656.9076288,97.28999715,656.9076288,25,53.69444445,334.44857656001700,1.3466445743733700,334.44857656001700,65.91093717,268.5376394,-4.882352941,0.1295893242135370,0.6732352995876850,0.19717537619877800,0.870263029,0.002517093,80143.55847356430,236.47844621827700,507.90305011955600,-6.22E-05,-3.2E-05,2.63103441006046E-07,6.29785694742777E-08,GOOD,0,0
Corn,BTE01-IDs,2022,935.383313,166.7194068,5.454093572,2.167777778,80.14758921,0.45000000000000000,0.17,No,No,587.5523218,80.14758921,587.5523218,25,54.19444445,187.40888949553300,1.1996257954974800,187.40888949553300,65.91093717,121.4979523,-4.882352941,0.082995679,0.7347463391129160,0.1822579819410330,4.2086558407824200,0.002375734,9197.968270009400,935.3834313357020,2027.702985439580,-0.000118336,0.000174394,1.26510383313264E-07,8.6005606741195E-08,GOOD,0,0
Field and Grain,BTE01-IDs,2022,912.973112,173.2298426,2.485487486,0.96,81.51658446,0.11100000000000000,0.17,No,No,258.4917158,81.51658446,258.4917158,25,24,66.55230569404970,1.1265065100387100,66.55230569404970,65.91093717,0.641368525,-4.882352941,0.34739708253681800,0.046133403,0.6064695146012890,2.4906465282426300,0.00986777,1.0182810836798900,912.9732263776560,876.4541155439130,-0.000114378,7.19760871561448E-05,1.25280420704939E-07,8.21219045798698E-08,GOOD,0,0
Orchards,BTE01-IDs,2022,5141.725886,2061.666385,2.066393172,3.054553477,607.0648734,0.13,0.17,No,No,3023.605103,607.0648734,3023.605103,25,76.36383693,553.1795275809230,1.0944993337729500,553.1795275809230,65.91093717,487.2685904,-4.882352941,0.052762001585095300,0.8097398496608040,0.1374981487541010,1.4764488923697300,0.001496056,333.7914193068220,5141.725904463300,15705.673500686200,-1.85E-05,0.003182176,3.59087491605623E-09,2.02613111347122E-07,GOOD,0,0
Pasture,BTE01-IDs,2022,2085.238983,215,3.5,4.038333333,101.0837153,0.0765,0.17,No,No,317.6096283,101.0837153,317.6096283,25,100.9583333,232.8483231,1.3791289405770600,232.8483231,65.91093717,166.9373859,-4.882352941,0.003603782,0.9929685868855070,0.003427631,1.305916008685680,0.006268776,0.089936132,2085.2389835200700,8420.888128198440,-5.2E-07,0.001964121,2.49406114758959E-10,2.33243927324829E-07,GOOD,0,0
Rice,BTE01-IDs,2022,101766.3145,370.9204663,4.450435008,4.5,205.9918082,0.2,0.17,No,No,1064.950264,205.9918082,1064.950264,25,112.5,267.31535650520400,1.1364045981739700,267.31535650520400,65.91093717,201.4044193,-4.882352941,0.002697444,0.9912332559963690,0.0060693,1.711333591540680,4.91321713335703E-05,55869.99545,101766.3138553990,457948.3126418060,0.000644601,0.10260819405084500,6.33412529038382E-09,2.24060594237082E-07,GOOD,0,0
Safflower,BTE01-IDs,2022,712.990372,429.9064999,1.059039203,2.23,89.05078906,0.74,0.17,No,No,244.5761108,89.05078906,244.5761108,25,55.75,65.91093716861560,1.11359319,65.91093716861560,65.91093717,0,-4.882352941,0.048468254076907500,0.8750342947949140,0.076497451,0.7104547234461080,0.001895329,12163.784631540200,712.9906968801010,1589.968893471220,-0.00032488,-0.000363911,4.55658468322178E-07,2.28879509355693E-07,GOOD,0,0
Subtropical,BTE01-IDs,2022,567.2561944,942.1801854,4.535541375,2.372179594,863.7792973,0.13,0.17,No,No,2531.308496,863.7792973,2531.308496,25,59.304489850000000,818.9049305368720,1.1781542270264000,818.9049305368720,65.91093717,752.9939934,-4.882352941,0.20425155992655600,0.4884871605120600,0.30726127956138500,3.964975000040740,0.013560553,54.405767523694700,567.2561967075580,1345.633303800970,-2.31E-06,0.000265125,4.06792836861609E-09,1.97026009348655E-07,GOOD,0,0
Sunflowers,BTE01-IDs,2022,230.893158,3239.762235,0.609912532,2.414444444,409.0470283,0.74,0.17,No,No,1117.364886,409.0470283,1117.364886,25,60.361111100000000,389.1985629,1.1859778765843400,389.1985629,65.91093717,323.2876258,-4.882352941,0.12510801219754400,0.6997688161111540,0.17512317169130200,0.47973351750247800,0.005852713,32394.25032972030,230.8931695103970,557.4786199873420,-1.15E-05,8.25033720275314E-05,4.98516153002261E-08,1.4799376488989E-07,GOOD,0,0
Tomatoes Processing,BTE01-IDs,2022,774.191738,77.35725946,46.64298896,2.085555556,307.3158515,1.1100000000000000,0.17,No,No,2705.214338,307.3158515,2705.214338,25,52.138888900000000,543.5047203686350,1.121281257742690,543.5047203686350,65.91093717,477.5937832,-4.882352941,0.15632072394240200,0.3466519617814200,0.49702731427617800,42.876484826092000,0.001163666,273990.1064778460,774.1918027525740,1614.6196895063600,-6.48E-05,0.000191089,8.36389366569935E-08,1.1834911593279E-07,GOOD,0,0
Truck,BTE01-IDs,2022,55.63443,742.4217034,17.44810947,2.56,723.4419324,0.41,0.17,Yes,No,7266.8845680000000,723.4419324,7266.8845680000000,25,64,4899.528653427070,1.5317239632381500,4899.528653427070,65.91093717,4833.617716,-4.882352941,0.29301543442877800,0.32830406099890400,0.3786805045723190,16.09869177577750,0.043840197,11059.047518357800,55.634430184781200,142.4241184502560,-1.85E-07,2.23497437161768E-05,3.32134640958184E-09,1.56923844445455E-07,GOOD,0,0
Almonds,BTE01-IDs,2022,2552.898447,5165.974452,0.856578131,3.473105762,962.6735903,0.4,0.17,No,No,1747.454374,962.6735903,1747.454374,25,86.82764405,1628.1051325379100,1.506760976173140,1628.1051325379100,65.91093717,1562.194195,-4.882352941,0.061337927,0.8972902535125240,0.041371819,0.5396208771507250,0.000979279,211639.1297120990,2552.8984541744500,8866.484502273390,-7.17E-06,0.001803803,2.8103168249497E-09,2.03440584616202E-07,GOOD,0,0
Walnuts,BTE01-IDs,2022,16765.31941,1949.323208,2.037882063,3.460166062,1016.733954,0.13,0.17,No,No,1441.331846,1016.733954,1441.331846,25,86.50415155,1427.9208494228200,1.486822781297200,1427.9208494228200,65.91093717,1362.009912,-4.882352941,0.059680362,0.9051329912692230,0.035186647,1.263661988917390,0.000458823,2365.7894012720500,16765.319426606500,58010.77727234750,-1.66E-05,0.011968724,9.90526699513753E-10,2.06318936509521E-07,GOOD,0,0
Alfalfa,BTE02-WAs,2022,844.261016,187.2098036,5.87624882,3.496666667,310.085831,0.2790000000000000,0.17,No,No,371.05012470000000,310.085831,371.05012470000000,25,87.41666668,331.53876512193200,1.3632197104380000,331.53876512193200,65.19813902,266.3406261,-4.882352941,0.015862214124595400,0.9749647015445930,0.009173084,2.8083935582692300,0.004245404,3768.892924254270,844.2612419364690,2952.098645795230,-0.000225936,0.0007071,2.67614475867034E-07,2.39524296190459E-07,GOOD,0,0
Beans Dry,BTE02-WAs,2022,340.32974,1054.225767,1.083582552,2.111666667,97.28999715,1.68,0.17,No,No,656.9076288,97.28999715,656.9076288,25,52.79166668,335.35135433501700,1.3481510637452000,335.35135433501700,65.19813902,270.1532153,-4.882352941,0.13868612180745800,0.6507376789562540,0.2105761992362880,0.8820627402346470,0.001749004,115848.60080596400,340.33074895957000,718.6647514843610,-0.00100896,-0.001783738,2.96465295573998E-06,2.48202240030772E-06,GOOD,0,0
Corn,BTE02-WAs,2022,2042.59385,166.7194068,5.454093572,2.165,80.14758921,0.45000000000000000,0.17,No,No,587.5523218,80.14758921,587.5523218,25,54.125,187.4783339455330,1.1997412076317800,187.4783339455330,65.19813902,122.2801949,-4.882352941,0.08347629,0.7332578767834090,0.1832658334589870,4.213412165573910,0.001087941,20163.49474,2042.5967775580500,4422.219825005090,-0.002927558,-0.004139755,1.43325509989842E-06,9.36126907355573E-07,GOOD,0,0
