g,i,net_fallow_2020,net_fallow_2021,net_fallow_2022,year
Butte Valley Polygon,Alfalfa,34.13465514,77.64638664,619.7677702,2022
Butte Valley Polygon,Berries,897.4732375,1011.962429,1233.380553,2022
Butte Valley Polygon,Field and Grain,640.9947824,232.1992869,349.497885,2022
Butte Valley Polygon,N/A,338.9040278,451.1558267,81.76560335,2022
Butte Valley Polygon,Onions and Garlic,-24.58452676,-24.58452676,74.68109463,2022
Butte Valley Polygon,Pasture,408.1124232,-207.6641111,455.8827011,2022
Butte Valley Polygon,Potatoes,0,0,0,2022
Butte Valley Polygon,Truck,-25.05614185,-25.05614185,-25.05614185,2022
Coachella Polygon,Alfalfa,9.957105116,7.033922554,7.033922554,2022
Coachella Polygon,Beans Dry,-3.609012348,-3.609012348,3.35005886,2022
Coachella Polygon,Berries,4.837503769,4.837503769,4.837503769,2022
Coachella Polygon,Corn,236.7343403,253.3336308,390.3173194,2022
Coachella Polygon,Cucurbits,6.157624383,-2.547688601,-2.547688601,2022
Coachella Polygon,Field and Grain,-6.875449017,-6.875449017,-6.875449017,2022
Coachella Polygon,Grapes,267.157193,374.9175181,730.945526,2022
Coachella Polygon,Lettuce,7.175680191,41.35392833,131.848343,2022
Coachella Polygon,N/A,-74.47791069,30.46613904,109.6767714,2022
Coachella Polygon,Onions and Garlic,14.21814561,64.25368916,-18.68248087,2022
Coachella Polygon,Orchards,-75.02417824,-104.0133672,11.13618046,2022
Coachella Polygon,Pasture,11.19525658,113.0655202,190.8185692,2022
Coachella Polygon,Potatoes,22.23371301,58.36903803,73.65463667,2022
Coachella Polygon,Subtropical,93.45837713,146.7418912,200.6798429,2022
Coachella Polygon,Tomatoes,37.51151326,39.99834113,37.49754811,2022
Coachella Polygon,Truck,266.8666782,169.2714893,258.169827,2022
Coachella Polygon,Young Perennial,-28.86518884,-28.86518884,4.706237527,2022
Imperial Polygon,Alfalfa,4357.102702,3390.245961,7645.909009,2022
Imperial Polygon,Beans Dry,0,0,0,2022
Imperial Polygon,Corn,3175.232485,1543.333234,1612.207235,2022
Imperial Polygon,Cotton,45.04418013,10.2893757,109.4905884,2022
Imperial Polygon,Cucurbits,-108.6820372,-108.6820372,55.92003658,2022
Imperial Polygon,Field and Grain,1209.739927,-285.5000314,-317.8336181,2022
Imperial Polygon,Lettuce,1843.224421,291.3514139,3480.002199,2022
Imperial Polygon,N/A,-66.76784108,-542.7542247,265.7682344,2022
Imperial Polygon,Onions and Garlic,399.8091068,92.09043939,79.6849452,2022
Imperial Polygon,Orchards,-66.00396959,-90.41587303,-94.34636668,2022
Imperial Polygon,Pasture,1508.227305,1117.867636,1820.334027,2022
Imperial Polygon,Potatoes,-38.09697368,-38.09697368,-38.09697368,2022
Imperial Polygon,Safflower,0,115.8646159,0,2022
Imperial Polygon,Subtropical,287.2869222,329.3098557,446.8966134,2022
Imperial Polygon,Sunflowers,606.8327616,279.4803421,74.99061902,2022
Imperial Polygon,Truck,23.93170619,-50.69466628,160.6582139,2022
Imperial Polygon,Young Perennial,0,55.07000292,55.07000292,2022
Oxnard Ventura Polygon,Alfalfa,-1.358590122,0,-1.358590122,2022
Oxnard Ventura Polygon,Beans Dry,-37.73126261,-37.73126261,-37.73126261,2022
Oxnard Ventura Polygon,Berries,-13.01548157,55.05910014,267.1226796,2022
Oxnard Ventura Polygon,Corn,-13.18318299,-13.18318299,-13.18318299,2022
Oxnard Ventura Polygon,Cucurbits,27.83567145,31.75509594,2.225306308,2022
Oxnard Ventura Polygon,Field and Grain,-40.81191961,-7.649798605,-65.15024631,2022
Oxnard Ventura Polygon,Grapes,-2.090441881,22.88648727,8.901084408,2022
Oxnard Ventura Polygon,Lettuce,150.9635684,-43.7316164,31.09442338,2022
Oxnard Ventura Polygon,N/A,-104.2336204,214.5286067,-67.79333709,2022
Oxnard Ventura Polygon,Onions and Garlic,55.36986609,55.36986609,55.36986609,2022
Oxnard Ventura Polygon,Orchards,-90.27302709,104.3567119,-73.67528788,2022
Oxnard Ventura Polygon,Pasture,26.04970826,-13.31276271,10.05623186,2022
Oxnard Ventura Polygon,Subtropical,-58.74927315,287.5716474,160.7326692,2022
Oxnard Ventura Polygon,Tomatoes,0,0,0,2022
Oxnard Ventura Polygon,Truck,6.356082155,-115.1007387,-126.0080599,2022
Oxnard Ventura Polygon,Walnuts,15.44392366,29.97610657,13.66602001,2022
Oxnard Ventura Polygon,Young Perennial,-25.01945657,-15.75264223,-22.61168342,2022
Palo Verde Polygon,Alfalfa,719.0020974,1492.999621,5759.167411,2022
Palo Verde Polygon,Almonds,0,0,0,2022
Palo Verde Polygon,Corn,104.0827532,212.5351811,234.7702471,2022
Palo Verde Polygon,Cotton,477.766125,448.2378352,1139.10242,2022
Palo Verde Polygon,Cucurbits,1451.712624,736.4568644,467.4710063,2022
Palo Verde Polygon,Field and Grain,372.4260148,483.7989791,652.7958478,2022
Palo Verde Polygon,Lettuce,-57.5914292,207.1492814,303.4874014,2022
Palo Verde Polygon,N/A,156.7414539,651.0886777,1062.600302,2022
Palo Verde Polygon,Onions and Garlic,211.955261,100.6564627,168.1722864,2022
Palo Verde Polygon,Orchards,-24.71086622,-24.71086622,-20.0808811,2022
Palo Verde Polygon,Pasture,335.4977402,347.8803379,776.9270679,2022
Palo Verde Polygon,Potatoes,-24.74176428,0,0,2022
Palo Verde Polygon,Subtropical,-54.64062128,-54.64062128,-27.34579602,2022
Palo Verde Polygon,Truck,0,0,0,2022
Palo Verde Polygon,Young Perennial,0,0,0,2022
Pitt River Central Polygon,Alfalfa,406.1934718,860.4465649,883.7329,2022
Pitt River Central Polygon,Field and Grain,1115.706993,1858.683041,830.7027119,2022
Pitt River Central Polygon,N/A,1082.089988,2939.215467,1268.988272,2022
Pitt River Central Polygon,Orchards,0,0,0,2022
Pitt River Central Polygon,Pasture,836.4018588,1626.242277,1277.751034,2022
