g,i,applied_water_unit,fallow_2018,fallow_2021,fallow_net_2021,applied_shortage_2021,fallow_2022,fallow_net_2022,applied_shortage_2022,year
ANT01-IDs,Fallow,2.5,0,0,0,0,0,0,0,2022
ANT01-IDs,Field and Grain,2.5,0,0,0,0,0,0,0,2022
ANT01-IDs,Orchards,2.874415879,0,0,0,0,0,0,0,2022
ANT01-IDs,Pasture,4.226666667,0,50.65354,50.65354,214.0956290835512,0,0,0,2022
ANT01-IDs,Pistachios,2.5,0,0,0,0,0,0,0,2022
ANT01-IDs,Truck,2.5,0,0,0,0,0,0,0,2022
ANT01-IDs,Walnuts,3.5249413,0,0,0,0,60.77668,60.77668,214.2342294,2022
ANT01-IDs,Young Perennial,2.5,0,0,0,0,0,0,0,2022
ANT02-WAs,Almonds,3.572854098,0,0,0,0,0,0,0,2022
ANT02-WAs,Corn,2.5,0,0,0,0,0,0,0,2022
ANT02-WAs,Fallow,2.5,0,0,0,0,0,0,0,2022
ANT02-WAs,Field and Grain,1.06,0,0,0,0,0,0,0,2022
ANT02-WAs,Orchards,2.859513879,0,0,0,0,8.08633,8.08633,23.12297286517407,2022
ANT02-WAs,Pasture,4.226666667,0,195.64543,195.64543,826.9280175318818,7.15613,7.15613,30.24657613571871,2022
ANT02-WAs,Truck,2.5,0,0,0,0,0,0,0,2022
ANT02-WAs,Walnuts,3.514648797,0,147.71001,147.71001,519.148809,79.1305,79.1305,278.1159166310085,2022
ANT02-WAs,Young Perennial,2.5,0,0,0,0,0,0,0,2022
BND01-FULL,Berries,2.5,0,0,0,0,0,0,0,2022
BND01-FULL,Fallow,2.5,0,12.02632,12.02632,30.0658,0,0,0,2022
BND01-FULL,Field and Grain,0.963333333,0,0,0,0,0,0,0,2022
BND01-FULL,Pasture,3.648333333,0,0,0,0,0,0,0,2022
BND01-FULL,Pistachios,2.5,0,0,0,0,0,0,0,2022
BND01-FULL,Walnuts,2.5,0,0,0,0,0,0,0,2022
BTE01-IDs,Alfalfa,3.542222222,27.43758,21.30633,-6.13125,-21.71825,6.78202,-20.65556,-73.16658364,2022
BTE01-IDs,Almonds,3.473105762,0,0,0,0,0,0,0,2022
BTE01-IDs,Beans Dry,2.147777778,0,0,0,0,10.93666,10.93666,23.48951531354148,2022
BTE01-IDs,Berries,2.5,0,0,0,0,0,0,0,2022
BTE01-IDs,Corn,2.167777778,23.65392,33.11961,9.465690000000002,20.519512435436827,12.50624,-11.14768,-24.16569298,2022
BTE01-IDs,Cucurbits,2.198333333,0,141.16806,141.16806,310.33445185294397,69.46941,69.46941,152.71691962684352,2022
BTE01-IDs,Fallow,2.5,3108.81549,407.99595,-2700.81954,-6752.04885,2666.2616199999998,-442.55387,-1106.384675,2022
BTE01-IDs,Field and Grain,0.96,0,0,0,0,65.61382,65.61382,62.9892672,2022
BTE01-IDs,Orchards,3.054553477,149.56468,601.84998,452.28529999999995,1381.5296357109878,735.86748,586.3027999999999,1790.8932563148353,2022
BTE01-IDs,Pasture,4.038333333,13.60212,109.48319,95.88107,387.1997209847063,80.51599,66.91387,270.2205116610287,2022
BTE01-IDs,Pistachios,2.5,0,0,0,0,0,0,0,2022
BTE01-IDs,Rice,4.5,512.61165,23218.4299,22705.81825,102176.1821,22010.85192,21498.240270000002,96742.08121500001,2022
BTE01-IDs,Safflower,2.23,0,0,0,0,17.90344,17.90344,39.9246712,2022
BTE01-IDs,Subtropical,2.372179594,0,18.23699,18.23699,43.26141553398205,31.86634,31.86634,75.59268148346595,2022
BTE01-IDs,Sunflowers,2.414444444,0,10.00596,10.00596,24.15883452888624,0,0,0,2022
BTE01-IDs,Tomatoes,2.085555556,0,312.08578,312.08578,650.8722324275938,0,0,0,2022
BTE01-IDs,Truck,2.56,0,0,0,0,3.22783,3.22783,8.2632448,2022
BTE01-IDs,Walnuts,3.460166062,312.64939,150.01993,-162.62946,-562.7249382,125.36221,-187.28718,-648.0447441,2022
BTE01-IDs,Young Perennial,2.5,248.2839,44.24622,-204.03768,-510.0942,0,-248.2839,-620.70975,2022
BTE02-WAs,Alfalfa,3.496666667,0,0,0,0,0,0,0,2022
BTE02-WAs,Almonds,3.591365635,0,0,0,0,0,0,0,2022
BTE02-WAs,Beans Dry,2.111666667,0,0,0,0,0,0,0,2022
BTE02-WAs,Corn,2.165,0,40.38967,40.38967,87.44363555000001,195.3166,195.3166,422.860439,2022
BTE02-WAs,Cotton,3.524713805,0,394.22916,394.22916,1389.5449625855538,379.697,379.697,1338.3232576170851,2022
BTE02-WAs,Cucurbits,2.205,0,80.00638,80.00638,176.4140679,80.00638,80.00638,176.4140679,2022
BTE02-WAs,Fallow,2.5,277.12545,9.43156,-267.69389,-669.234725,25.90005,-251.2254,-628.0635,2022
BTE02-WAs,Field and Grain,1.014166667,0,0,0,0,0,0,0,2022
BTE02-WAs,Orchards,3.166342251,0,0,0,0,0,0,0,2022
BTE02-WAs,Pasture,4.010833333,0,256.49824,256.49824,1028.771690847834,5.75832,5.75832,23.09566179808056,2022
BTE02-WAs,Rice,4.5,38.884,1385.06066,1346.17666,6057.794970000001,886.96857,848.08457,3816.380565,2022
BTE02-WAs,Subtropical,2.476100882,45.17817,0,-45.17817,-111.8657066,0,-45.17817,-111.8657066,2022
BTE02-WAs,Sunflowers,2.406666667,0,228.01309,228.01309,548.7515033426711,0,0,0,2022
BTE02-WAs,Tomatoes,2.073333333,0,0,0,0,0,0,0,2022
BTE02-WAs,Walnuts,3.524759835,208.66805,604.14978,395.48172999999997,1393.9781173803144,511.95774,303.28969,1069.0233176816012,2022
BTE02-WAs,Young Perennial,2.5,0,0,0,0,0,0,0,2022
CHW01-E-ChID&WA,Alfalfa,5.092222222,3.86588,607.91047,604.0445900000001,3075.9292842768796,408.74914,404.88326,2061.7555338878037,2022
CHW01-E-ChID&WA,Almonds,4.077885812,464.02945,2805.45549,2341.42604,9548.068028363343,2262.2523,1798.22285,7332.947446829205,2022
CHW01-E-ChID&WA,Corn,2.464444444,23.60839,714.20321,690.59482,1701.9325672041803,759.31906,735.71067,1813.1180730730177,2022
CHW01-E-ChID&WA,Cotton,3.613333333,0,56.42616,56.42616,203.8865247811913,0,0,0,2022
CHW01-E-ChID&WA,Fallow,2.5,105.24191,421.43377,316.19185999999996,790.4796499999999,565.88856,460.64664999999997,1151.6166249999999,2022
CHW01-E-ChID&WA,Field and Grain,0.483333333,15.50202,162.63229,147.13027000000002,71.11296378428992,69.38822,53.8862,26.04499665,2022
CHW01-E-ChID&WA,Grapes,3.285555556,4.84481,349.28726,344.44245,1131.684805319752,651.26318,646.41837,2123.8434670539636,2022
CHW01-E-ChID&WA,Onions and Garlic,2.5,0,8.63158,8.63158,21.57895,8.63158,8.63158,21.57895,2022
CHW01-E-ChID&WA,Orchards,4.008678539,3.52841,3.16465,-0.36376,-1.458196905,74.35007,70.82166000000001,283.90126853835477,2022
CHW01-E-ChID&WA,Pasture,5.831111111,193.70086,356.1056,162.40473999999998,947.0000838930661,408.96073,215.25987,1255.2042197094156,2022
CHW01-E-ChID&WA,Pistachios,3.841655074,0,0,0,0,0,0,0,2022
CHW01-E-ChID&WA,Subtropical,3.663698403,0.37192,3.85107,3.47915,12.74655629879745,3.3366,2.96468,10.86169338140604,2022
CHW01-E-ChID&WA,Tomatoes,2.596666667,0,135.11285,135.11285,350.8430339,105.41747,105.41747,273.7340304684725,2022
CHW01-E-ChID&WA,Truck,1.025555556,0,2.42902,2.42902,2.491094957,19.45588,19.45588,19.95308583086928,2022
CHW01-E-ChID&WA,Walnuts,3.72017398,2.59608,0,-2.59608,-9.657869266,284.45727,281.86119,1048.5726650098363,2022
CHW01-E-ChID&WA,Young Perennial,2.5,0,141.78612,141.78612,354.4653,0,0,0,2022
CHW02-W-WA,Alfalfa,5.256666667,33.61101,549.66425,516.0532400000001,2712.7198651053513,500.26173,466.65072,2453.0272849555504,2022
CHW02-W-WA,Almonds,4.108378066,0,545.09335,545.09335,2239.449563062461,419.96655,419.96655,1725.3813624736924,2022
CHW02-W-WA,Corn,2.573333333,57.54949,1408.7255,1351.17601,3477.026265282941,734.45557,676.90608,1741.9049789743644,2022
CHW02-W-WA,Cotton,3.606666667,0,387.99025,387.99025,1399.3515017959967,373.64585,373.64585,1347.6160324578818,2022
CHW02-W-WA,Fallow,2.5,0,0,0,0,0,0,0,2022
CHW02-W-WA,Field and Grain,0.45,31.49709,220.30843,188.81133999999997,84.96510299999998,124.77683,93.27974,41.975883,2022
CHW02-W-WA,Grapes,3.44,0,0,0,0,0,0,0,2022
CHW02-W-WA,Orchards,2.5,0,0,0,0,0,0,0,2022
CHW02-W-WA,Pasture,2.5,0,0,0,0,0,0,0,2022
CHW02-W-WA,Pistachios,3.876094254,237.79905,130.79414,-107.00491,-414.7611168,0,-237.79905,-921.7315313,2022
CHW02-W-WA,Tomatoes,2.573333333,0,574.11213,574.11213,1477.381881008629,243.69608,243.69608,627.1112457854346,2022
CHW02-W-WA,Young Perennial,2.5,0,0,0,0,0,0,0,2022
CLS01-SC-ColusaCountyWD,Alfalfa,3.45,147.14755,81.81178,-65.33577,-225.4084065,81.81178,-65.33577,-225.4084065,2022
CLS01-SC-ColusaCountyWD,Almonds,3.611552492,84.32404,820.60797,736.28393,2659.128062211054,1275.86466,1191.54062,4303.311495480225,2022
CLS01-SC-ColusaCountyWD,Cucurbits,1.906666667,0,0,0,0,54.49928,54.49928,103.91196055149976,2022
CLS01-SC-ColusaCountyWD,Fallow,2.5,23.24944,80.8116,57.56216,143.9054,16.41711,-6.83233,-17.080825,2022
CLS01-SC-ColusaCountyWD,Field and Grain,0.963333333,0,9.97247,9.97247,9.606812763342509,15.11596,15.11596,14.56170812829468,2022
CLS01-SC-ColusaCountyWD,Grapes,2.436666667,27.22298,518.19468,490.97169999999994,1196.3343758303238,43.91432,16.691339999999997,40.67123180556377,2022
CLS01-SC-ColusaCountyWD,Onions and Garlic,2.5,38.24293,0,-38.24293,-95.607325,0,-38.24293,-95.607325,2022
CLS01-SC-ColusaCountyWD,Orchards,3.138409144,19.01115,106.81746,87.80631,275.57212620489867,22.23315,3.2219999999999978,10.111954261967993,2022
CLS01-SC-ColusaCountyWD,Pasture,4.046666667,7.78648,28.81089,21.02441,85.07877914034147,52.19865,44.41217,179.7212479481374,2022
CLS01-SC-ColusaCountyWD,Pistachios,4.127228006,0,0,0,0,0,0,0,2022
CLS01-SC-ColusaCountyWD,Rice,4.5,0,297.74169,297.74169,1339.837605,261.81572,261.81572,1178.17074,2022
CLS01-SC-ColusaCountyWD,Subtropical,2.494621475,0,0,0,0,7.01216,7.01216,17.49268492,2022
CLS01-SC-ColusaCountyWD,Sunflowers,2.15,6.66775,107.41675,100.749,216.61034999999998,41.54893,34.88118,74.994537,2022
CLS01-SC-ColusaCountyWD,Tomatoes,2.55,0,136.77433,136.77433,348.77454149999994,146.55632,146.55632,373.718616,2022
CLS01-SC-ColusaCountyWD,Truck,2.5,0,0,0,0,0,0,0,2022
CLS01-SC-ColusaCountyWD,Walnuts,3.535785935,0,42.47186,42.47186,150.1714052212891,67.54574,67.54574,238.82727746116686,2022
CLS01-SC-ColusaCountyWD,Young Perennial,2.5,0,0,0,0,0,0,0,2022
CLS02-North-WAs,Alfalfa,3.568333333,0,2159.51419,2159.51419,7705.866467263495,2057.07315,2057.07315,7340.322689564309,2022
