g,HR,cvp_2021_wrt_2018,swp_2021_wrt_2018,curtailed_2021_wrt_2018,fallow_net_2021,applied_shortage_2021,net_local_gw_2021,cvp_2022_wrt_2018,swp_2022_wrt_2018,curtailed_2022_wrt_2018,fallow_net_2022,applied_shortage_2022,net_local_gw_2022
ANT01-IDs,Sacramento River,0.0,0.0,0.0,50.65354,214.0956290835512,214.0956290835512,0.0,0.0,0.0,60.77668,214.234229408884,214.234229408884
ANT02-WAs,Sacramento River,0.0,0.0,184.5,343.35544000000004,1346.0768264832398,1161.5768264832398,0.0,0.0,204.0,94.37296,331.48546563190126,127.48546563190126
BND01-FULL,Sacramento River,0.0,0.0,0.25,12.02632,30.0658,29.8158,0.0,0.0,0.0,0.0,0.0,0.0
BTE01-IDs,Sacramento River,28271.64802,0.0,635.2499999,20671.32917,97147.47169030251,68240.57367030252,49443.83001,0.0,6278.0,21440.546250000003,96693.69983689593,40971.869826895934
BTE02-WAs,Sacramento River,0.0,0.0,27093.08333,2427.9228700000003,9901.598516022228,-17191.484813977775,0.0,0.0,18809.08333,1515.7489900000003,6106.16810241262,-12702.915227587382
CHW01-E-ChID&WA,San Joaquin River,62605.71533,0.0,491.5,4951.13981,18201.10277658516,-44896.11255341484,76580.49312,0.0,13452.0,4804.18033,17423.132055431048,-72609.36106456895
CHW02-W-WA,San Joaquin River,0.0,0.0,1432.749999,3456.2314099999994,10976.13306245459,9543.38306345459,0.0,0.0,6254.500001,2036.3459699999996,7015.285256335264,760.7852553352641
CLS01-SC-ColusaCountyWD,Sacramento River,26239.76185,0.0,0.0,1877.7791600000003,6104.003726371249,-20135.75812362875,57155.41327,0.0,0.0,1732.8814600000005,6197.396897058989,-50958.016372941005
CLS02-North-WAs,Sacramento River,33658.93377,0.0,109.75,8207.73908,24940.679229704143,-8828.00454029586,57215.04215,0.0,539.0,8735.666350000001,29172.052761093688,-28581.989388906313
CLS03-IDs,Sacramento River,268733.1393,0.0,4792.041665,57425.90073,240902.3942536013,-32622.78674639869,726162.4915,0.0,40156.04167,173762.56704999998,759827.6514510058,-6490.881748994114
CRN01-IDs,Sacramento River,0.0,0.0,0.0,204.96636,796.9813306642272,796.9813306642272,0.0,0.0,0.0,278.83516,1074.4061410336842,1074.4061410336842
CRN02-WAs,Sacramento River,698.714257,0.0,37.75,1435.42951,4336.985724169339,3600.521467169339,2103.122382,0.0,410.5,2162.95935,6115.16590818476,3601.54352618476
CSM01-IDs,San Joaquin River,0.0,0.0,84.0,0.0,0.0,-84.0,0.0,0.0,2778.0,0.0,0.0,-2778.0
CSM02-WAs,San Joaquin River,0.0,0.0,438.5,203.53573999999998,624.7903609625026,186.29036096250263,0.0,0.0,1049.125,564.98385,1518.1120997328892,468.9870997328892
DLM01-CC-IDs,San Joaquin River,233888.7861,0.0,2620.75,22449.345590000004,64764.44533112071,-171745.09076887928,265676.763,0.0,9131.0,19364.370400000003,58193.35174441977,-216614.4112555802
DLM02-NE-WAs,San Joaquin River,0.0,0.0,11648.25,1266.80622,3847.192011562714,-7801.0579884372855,0.0,0.0,47305.0,1542.29321,4490.026548607399,-42814.9734513926
DLM03-NW,San Joaquin River,18466.9728,1467.0,0.0,1001.0670100000001,1059.377339718295,-18874.595460281704,54537.58038,1007.0,0.0,967.1858800000003,1947.2552429734865,-53597.32513702651
DLM04-SW-IDs,San Joaquin River,63387.36139,0.0,0.0,5788.2416299999995,11076.718143761169,-52310.64324623883,148695.0829,0.0,0.0,7924.21596,18330.77267044791,-130364.3102295521
DLM05-S-WAs,San Joaquin River,5088.91976,0.0,0.0,1447.7457900000002,5018.100158722744,-70.81960127725597,8710.844445,0.0,0.0,1369.42394,5092.73046443113,-3618.113980568871
DLM06-S-IDs,San Joaquin River,964.33544,0.0,0.0,2760.92218,9652.985063083297,8688.649623083296,24206.19812,0.0,0.0,2101.89144,7757.151226446891,-16449.04689355311
ESJ01-NW-IDs,San Joaquin River,0.0,0.0,3731.916665,1713.1479600000002,3913.997742120071,182.08107712007086,0.0,0.0,37066.45833,2538.8924099999995,5611.25230767901,-31455.206022320992
ESJ02-SW-IDs,San Joaquin River,0.0,0.0,2915.64375,2521.20807,7790.295568457621,4874.651818457621,0.0,0.0,15726.45625,2396.022670000001,7413.253179219842,-8313.203070780157
ESJ03-CE-WAs,San Joaquin River,0.0,0.0,18077.40833,5940.96141,13590.049834992707,-4487.358495007291,0.0,0.0,64795.49167,5769.061419999999,13436.943717429078,-51358.54795257092
KAW01-CC-TID,Tulare Lake,64822.25041,0.0,0.0,3359.9657500000008,10959.476170601905,-53862.774239398095,14413.63171,0.0,0.0,4566.9847899999995,14972.12080842421,558.4890984242102
KAW02-CC,Tulare Lake,48685.45078,0.0,0.0,10910.54922,34900.73353539495,-13784.717244605046,35815.12728,0.0,0.0,10851.06063,37239.568493832914,1424.4412138329135
KAW03-SE-LindsayStrat,Tulare Lake,5009.31102,0.0,0.0,367.736,1665.4443576798776,-3343.8666623201225,18541.19418,0.0,0.0,172.26842,685.545812088271,-17855.648367911726
KGS01-NE-FID,Tulare Lake,2723.249422,0.0,0.0,3587.3303200000005,14242.358279565067,11519.108857565068,-20479.93148,0.0,0.0,2600.5285300000005,10768.132602083537,31248.064082083536
KGS02-SE,Tulare Lake,22868.0,0.0,0.0,7668.6264599999995,30641.925248901174,7773.925248901174,30891.6,0.0,0.0,6439.560220000001,25456.777064691534,-5434.822935308464
KGS03-CC-WA,Tulare Lake,0.0,0.0,0.0,4735.23858,19957.82869614399,19957.82869614399,0.0,0.0,0.0,5521.917559999999,23887.59524647291,23887.59524647291
