Subregion,CV_Ag_Code,applied_water_unit,fallow_2019,fallow_2021,fallow_net_2021,applied_shortage_2021,fallow_2022,fallow_net_2022,applied_shortage_2022
ANT01-IDs,Field and Grain,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT01-IDs,Fallow,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT01-IDs,Orchards,2.874415879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT01-IDs,Pasture,4.226666667,0.0,50.65354,50.65354,214.0956290835512,0.0,0.0,0.0
ANT01-IDs,Pistachios,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT01-IDs,Truck,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT01-IDs,Walnuts,3.5249413,160.89047,8.6307,-152.25977,-536.706751601501,179.88766,18.997190000000018,66.96397961494706
ANT01-IDs,Young Perennial,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT02-WAs,Almonds,3.572854098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT02-WAs,Field and Grain,1.06,0.0,0.0,0.0,0.0,15.49951,15.49951,16.4294806
ANT02-WAs,Fallow,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT02-WAs,Orchards,2.859513879,0.0,0.0,0.0,0.0,8.08633,8.08633,23.12297286517407
ANT02-WAs,Pasture,4.226666667,0.0,95.3856,95.3856,403.1631360317952,45.7112,45.7112,193.2060053485704
ANT02-WAs,Truck,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANT02-WAs,Walnuts,3.514648797,36.47361,108.67233,72.19872000000001,253.75314439293987,80.77287,44.29926,155.6963408669902
ANT02-WAs,Young Perennial,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND01-FULL,Berries,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND01-FULL,Field and Grain,0.963333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND01-FULL,Fallow,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND01-FULL,Pasture,3.648333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND01-FULL,Pistachios,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND01-FULL,Walnuts,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTE01-IDs,Alfalfa,3.542222222,37.03714,0.0,-37.03714,-131.1937803473251,26.2133,-10.82384,-38.34044657537248
BTE01-IDs,Almonds,3.473105762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTE01-IDs,Beans Dry,2.147777778,0.0,10.93666,10.93666,23.48951531354148,10.93666,10.93666,23.48951531354148
