Subregion,HR,cvp_2021_wrt_2019,swp_2021_wrt_2019,curtailed_2021_wrt_2019,fallow_net_2021,applied_shortage_2021,net_local_gw_2021,cvp_2022_wrt_2019,swp_2022_wrt_2019,curtailed_2022_wrt_2019,fallow_net_2022,applied_shortage_2022,net_local_gw_2022
ANT01-IDs,Sacramento River,0.0,0.0,0.0,-101.60623000000001,-322.61112251794975,-322.61112251794975,0.0,0.0,0.0,18.997190000000018,66.96397961494706,66.96397961494706
ANT02-WAs,Sacramento River,0.0,0.0,184.5,167.58432,656.9162804247351,472.4162804247351,0.0,0.0,204.0,113.59629999999999,388.45479968073465,184.45479968073465
BND01-FULL,Sacramento River,0.0,0.0,0.25,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
BTE01-IDs,Sacramento River,8632.81526,0.0,635.2499999,25738.552740000003,118477.92561196622,109209.86035196621,29804.99725,0.0,6278.0,23598.076800000006,108975.49379032174,72892.49654032174
BTE02-WAs,Sacramento River,0.0,0.0,27093.08333,2512.6508999999996,9718.525988136751,-17374.55734186325,0.0,0.0,18809.08333,2070.9375400000004,7646.867763541542,-11162.215566458459
CHW01-E-ChID&WA,San Joaquin River,136072.6721,0.0,491.5,4008.3196700000008,13732.634484720327,-122831.53761527967,150047.4499,0.0,13452.0,4687.860420000002,16453.81843667681,-147045.6314633232
CHW02-W-WA,San Joaquin River,0.0,0.0,1432.749999,1752.90094,5810.180136510525,4377.430137510525,532.0894024,0.0,6254.500001,719.6739400000002,2925.742486290396,-3860.846916709604
CLS01-SC-ColusaCountyWD,Sacramento River,18401.2884,0.0,0.0,1459.4107699999997,5252.760193879003,-13148.528206120998,49316.93982,0.0,0.0,1454.35857,5486.10549530402,-43830.83432469598
CLS02-North-WAs,Sacramento River,21253.18619,0.0,109.75,7679.80692,21225.35174438303,-137.58444561696888,44809.29457,0.0,539.0,8595.056549999998,25707.696414547143,-19640.598155452855
CLS03-IDs,Sacramento River,201412.2771,0.0,4792.041665,55606.311120000006,235493.88030645117,29289.561506451166,658841.6293,0.0,40156.04167,172773.63123999996,759095.465745057,60097.79474505701
CRN01-IDs,Sacramento River,0.0,0.0,0.0,355.36854,1234.3873545423276,1234.3873545423276,0.0,0.0,0.0,360.1467,1295.2212586154872,1295.2212586154872
CRN02-WAs,Sacramento River,527.071214,0.0,37.75,2398.97849,7940.948720650576,7376.127506650577,1931.479339,0.0,410.5,2874.7602600000005,9034.873905713745,6692.894566713745
CSM01-IDs,San Joaquin River,0.0,0.0,84.0,0.0,0.0,-84.0,0.0,0.0,2778.0,0.0,0.0,-2778.0
