g,HR_Region,shortage_pct%,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
ANT01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,230.6169292,662.8889632586987,662.8889632586987,982477.3184165967,982477.3184165967,10,Infeasible,N/A
ANT01-IDs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,417.254489,1763.595640312418,1763.595640312418,313984.0029725,313984.0029725,10,Infeasible,N/A
ANT01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1854.420103,6536.722008614954,6536.722008614954,7366666.799564798,7366666.799564798,10,Infeasible,N/A
ANT02-WAs,Sacramento River,0.8,Other field and grain,Field and grain,ANT,Field and Grain,173.2298426,2.485487486,610.495454,616.6004146741531,647.1251812400001,651.9624419866971,262855.29262474756,265483.8481921197,2,Good,179.98931867398787
ANT02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,752.5419621,760.0673893181284,2151.904185154842,2167.9896689793723,3205989.3065299396,3238049.2319606273,2,Good,179.98931867398787
ANT02-WAs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,1220.895677,304.08263987132517,5160.3190618602985,1282.0428052927707,918723.9969425,228822.18650317218,2,Good,179.98931867398787
ANT02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Almonds,5165.974452,0.856578131,183.9848881,185.82473883475825,657.3511614181565,662.2648613843685,814144.3052479652,822285.7565034376,2,Good,179.98931867398787
ANT02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,2919.768044,2948.9657539232226,10261.959243363643,10338.667388735836,11598751.694596492,11714739.328664288,2,Good,179.98931867398787
BND01-FULL,Sacramento River,0.8,Other field and grain,Field and grain,BND,Field and Grain,173.2298426,2.485487486,131.04541,132.35586539082888,126.24041158965153,127.18405862678195,56422.991141028244,56987.22160821859,2,Good,208.53710880911956
BND01-FULL,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,BND,Pasture,215.0,3.5,255.415207,197.64719346380596,931.839813453195,719.2801298285436,192199.9432675,148729.513081514,2,Good,208.53710880911956
BTE01-IDs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,BTE,Alfalfa,187.2098036,5.87624882,427.562673,3.9352342919037754e-18,1514.5220015983195,7.417709855623444e-09,470358.0141824669,4.32911735230593e-15,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Beans Dry,1054.225767,1.083582552,236.478384,238.84317016805844,507.90301813255076,511.6995930820544,270138.87017771375,272840.2615389266,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Corn,Corn,BTE,Corn,166.7194068,5.454093572,935.383313,944.7371523620653,2027.7031598334186,2042.8602340188365,850547.0817881571,859052.5582728758,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Field and Grain,173.2298426,2.485487486,912.973112,922.1028468806411,876.45418752,883.0056769701803,393090.25634986366,397021.16053254623,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,5141.725886,5193.143196785625,15705.676682862206,15823.076616067216,21904849.21481853,22123897.928180955,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,BTE,Pasture,215.0,3.5,2085.238983,3.44855809609396e-18,8420.89009231992,7.417709847173054e-09,1569142.3347075002,2.5950399673107046e-15,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Corn,Field and grain,BTE,Rice,370.9204663,4.450435008,101766.3145,79527.22566779116,457948.41524999996,356977.83064653765,167991499.62229526,131280158.5315633,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Safflower,429.9064999,1.059039203,712.990372,6.268323934695863e-18,1589.96852956,7.417709861477155e-09,324615.8442829781,2.853891645959697e-15,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Subtropical,942.1801854,4.535541375,567.2561944,572.9287620031222,1345.6335689257771,1355.6921797057755,2424054.3149194126,2448294.8822517176,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Sunflowers,3239.762235,0.609912532,230.893158,233.202091888911,557.4787024907141,561.6458557544814,456238.3200316109,460800.70779426955,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,BTE,Tomatoes Processing,77.35725946,46.64298896,774.191738,781.9336631962508,1614.6198805951963,1626.6891642145333,2793418.34442959,2821352.556076277,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,BTE,Truck,742.4217034,17.44810947,55.63443,56.19077486014909,142.4241408,143.48876126629668,720680.3477857313,727887.1585196789,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Almonds,5165.974452,0.856578131,2552.898447,2578.4274572446725,8866.486306076551,8932.763291199515,11296730.693293413,11409698.114280839,4,Good,496.93481147739175
BTE01-IDs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Walnuts,1949.323208,2.037882063,16765.31941,16932.972773402234,58010.78924107186,58444.41989057228,66600077.12488991,67266078.56869037,4,Good,496.93481147739175
BTE02-WAs,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,BTE,Alfalfa,187.2098036,5.87624882,844.261016,2.2293514154407904e-19,2952.099352894754,6.881491517577854e-09,928764.2725010093,2.452490291830508e-16,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Beans Dry,1054.225767,1.083582552,340.32974,343.7330407688928,718.6629677467766,724.0349733042432,388772.49538154434,392660.22418378294,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Corn,Corn,BTE,Corn,166.7194068,5.454093572,2042.59385,1906.9128294705667,4422.21568525,4118.145068950533,1857337.2159312153,1733962.0236849233,9,Good,513.5133820469099
BTE02-WAs,Sacramento River,0.8,Other field and grain,Field and grain,BTE,Cotton,1657.32655,0.8275,891.312038,1.4899841378378737e-19,3188.7087493982385,6.881491519005079e-09,1222378.9493146874,2.043420449018787e-16,9,Good,513.5133820469099
