internal_id,crop_code,hr,direct_jobs_unfilitered,direct_value_add,total_jobs_unfiltered,total_revenue,total_value_add,total_jobs,direct_jobs
1,Alfalfa,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
1,Almonds,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
1,Berries,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
1,Cucurbits,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
1,Field and Grain,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
1,Grapes,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
1,Orchards,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
1,Pasture,Sacramento River,1,1,1.746634,1,1.760549,0.000002,0.000001
1,Pistachios,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
1,Subtropical,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
1,Truck,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
1,Walnuts,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
10,Alfalfa,San Joaquin River,1,1,1.974478,1,2.989137,0.000002,0.000001
10,Almonds,San Joaquin River,1,1,1.395582,1,1.214135,0.000001,0.000001
10,Beans Dry,San Joaquin River,1,1,1.974478,1,2.989137,0.000002,0.000001
10,Corn,San Joaquin River,1,1,2.197284,1,1.680125,0.000002,0.000001
10,Cotton,San Joaquin River,1,1,1.698209,1,1.431111,0.000002,0.000001
10,Cucurbits,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
10,Field and Grain,San Joaquin River,1,1,2.197284,1,1.680125,0.000002,0.000001
10,Grapes,San Joaquin River,1,1,2.164433,1,1.781283,0.000002,0.000001
10,Lettuce,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
10,Onions and Garlic,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
10,Orchards,San Joaquin River,1,1,2.164433,1,1.781283,0.000002,0.000001
10,Pasture,San Joaquin River,1,1,2.2786443,1,2.445792,0.0000023,0.000001
10,Pistachios,San Joaquin River,1,1,1.395582,1,1.214135,0.000001,0.000001
10,Potatoes,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
10,Rice,San Joaquin River,1,1,2.197284,1,1.680125,0.000002,0.000001
10,Safflower,San Joaquin River,1,1,1.292013,1,1.132276,0.000001,0.000001
10,Subtropical,San Joaquin River,1,1,2.164433,1,1.781283,0.000002,0.000001
10,Tomatoes,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
10,Truck,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
10,Walnuts,San Joaquin River,1,1,1.395582,1,1.214135,0.000001,0.000001
11,Alfalfa,San Joaquin River,1,1,1.974478,1,2.989137,0.000002,0.000001
11,Almonds,San Joaquin River,1,1,1.395582,1,1.214135,0.000001,0.000001
11,Beans Dry,San Joaquin River,1,1,1.974478,1,2.989137,0.000002,0.000001
11,Berries,San Joaquin River,1,1,2.164433,1,1.781283,0.000002,0.000001
11,Corn,San Joaquin River,1,1,2.197284,1,1.680125,0.000002,0.000001
11,Cucurbits,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
11,Field and Grain,San Joaquin River,1,1,2.197284,1,1.680125,0.000002,0.000001
11,Grapes,San Joaquin River,1,1,2.164433,1,1.781283,0.000002,0.000001
11,Lettuce,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
11,Onions and Garlic,San Joaquin River,1,1,2.365597,1,1.970829,0.000002,0.000001
11,Orchards,San Joaquin River,1,1,2.164433,1,1.781283,0.000002,0.000001
11,Pasture,San Joaquin River,1,1,2.2786443,1,2.445792,0.0000023,0.000001
