g,i,year,xland,p,y,MarginRevenue,pc,pimarginal,xwater,omegaland,omegalabor,omegasupply,theta,sigma,pe,NonIrrigatedAcres,patch_water,omegaland_init,omegasupply,omegalabor,omegawater,omegawater,mprof_init,price_yield_corrections_factor,mprof,MarginalProfit,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status
ANT01-IDs,Orchards,2019,230.6169292,2061.666385,2.066393172,4260.21334090592,2061.666385,2061.666385,2.874415879,607.0648734,1550.82325,1472.781853,0.13,0.17,No,0,No,607.0648734,1472.781853,1550.82325,25,71.860396975,557.6829675309230,1.0958305887601900,557.6829675309230,557.6829675309230,228.139989725,329.542977805923,-4.88235294117647,0.0699891693171024,0.7483237718489570,0.08849879334774060,0.09318826548619990,1.5631732352503000,0.03335534697730980,12.813434327870900,230.6169433978890,662.8873834203030,-1.4197888617673E-05,0.0015798383956280300,6.15648151543985E-08,2.38326248164051E-06,GOOD
ANT01-IDs,Pasture,2019,417.254489,215.0,3.5,752.5,215.0,215.0,4.226666667,101.0837153,214.8226999,102.7869284,0.07650000000000000,0.17,No,0,No,101.0837153,102.7869284,214.8226999,25,105.666666675,228.13998972500000,1.366745466136540,228.13998972500000,228.13998972500000,228.139989725,0.0,-4.88235294117647,0.0027219561724258500,0.9946521105336540,0.0008498218990088460,0.001776111394911820,1.236560949186180,0.03132835180794570,0.006787214860652530,417.25447678922400,1763.590629989600,1.22107764468637E-05,0.005010322814086980,2.92645777787276E-08,2.8409702879507E-06,GOOD
ANT01-IDs,Walnuts,2019,1854.420103,1949.323208,2.037882063,3972.49080057282,1949.323208,1949.323208,3.5249413,1016.733954,1085.072261,356.2595846,0.13,0.17,No,0,No,1016.733954,356.2595846,1085.072261,25,88.1235325,1426.3014684728200,1.4858771593602500,1426.3014684728200,1426.3014684728200,228.139989725,1198.16147874782,-4.88235294117647,0.05400782102500560,0.9141288700607040,0.007875777692999740,0.023987531221290800,1.2382429717491000,0.004148093347275200,243.65645578215100,1854.4201260267100,6536.7058937866500,-2.30267116876348E-05,0.016114828304125700,1.24172034429433E-08,2.4652766758151E-06,GOOD
ANT02-WAs,Field and Grain,2019,610.495454,173.2298426,2.485487486,430.56060598405,173.2298426,173.2298426,1.06,81.51658446,209.6822022,48.80951363,0.11100000000000000,0.17,No,0,No,81.51658446,48.80951363,209.6822022,25,26.5,64.05230569404970,1.1188224650310800,64.05230569404970,64.05230569404970,64.0523056940497,0.0,-4.88235294117647,0.331379657303119,0.0801780174391198,0.11111220180853600,0.47733012344922600,2.4753004772953900,0.014756881398512400,0.675598205871923,610.4956769949310,647.1245213208140,-0.00022299493048194600,0.0006599191856366820,3.65268781316667E-07,1.01977052472625E-06,GOOD
ANT02-WAs,Orchards,2019,752.5419621,2061.666385,2.066393172,4260.21334090592,2061.666385,2061.666385,2.859513879,607.0648734,1550.82325,1472.781853,0.13,0.17,No,0,No,607.0648734,1472.781853,1550.82325,25,71.487846975,558.0555175309230,1.0959408627423700,558.0555175309230,558.0555175309230,64.0523056940497,494.003211836874,-4.88235294117647,0.07162393728707660,0.7425047107360480,0.09053694012902260,0.09533441184785310,1.5704801745933100,0.010221765801394000,49.154294201502700,752.5419551471030,2151.9013058704900,6.95289747909555E-06,0.002879284354548870,9.23921565741424E-09,1.33801698719299E-06,GOOD
ANT02-WAs,Pasture,2019,1220.895677,215.0,3.5,752.5,215.0,215.0,4.226666667,101.0837153,214.8226999,102.7869284,0.07650000000000000,0.17,No,0,No,101.0837153,102.7869284,214.8226999,25,105.666666675,228.13998972500000,1.366745466136540,228.13998972500000,228.13998972500000,64.0523056940497,164.08768403095,-4.88235294117647,0.0027219561724258400,0.9946521105336530,0.0008498218990088460,0.0017761113949118200,1.2365609491861800,0.01070680785516170,0.05209722855745040,1220.8955567158300,5160.310700188800,0.00012028417086185100,0.008361671496459170,9.85212521657989E-08,1.62037877817671E-06,GOOD
ANT02-WAs,Almonds,2019,183.9848881,5165.974452,0.856578131,4425.06074088791,5165.974452,5165.974452,3.572854098,962.6735903,1333.209787,414.244587,0.4,0.17,No,0,No,962.6735903,414.244587,1333.209787,25,89.32135245,1625.6114241379100,1.5054187755908400,1625.6114241379100,1625.6114241379100,64.0523056940497,1561.55911844386,-4.88235294117647,0.05271017358619820,0.9117030873670190,0.008436050885475930,0.02715068816130730,0.5232270624838040,0.013588072508657300,15248.78810380400,183.98488181413100,657.3502668371950,6.28586852258195E-06,0.0008945809618126080,3.4165134905892E-08,1.36088747433359E-06,GOOD
ANT02-WAs,Walnuts,2019,2919.768044,1949.323208,2.037882063,3972.49080057282,1949.323208,1949.323208,3.514648797,1016.733954,1085.072261,356.2595846,0.13,0.17,No,0,No,1016.733954,356.2595846,1085.072261,25,87.866219925,1426.5587810478200,1.486027334178380,1426.5587810478200,1426.5587810478200,64.0523056940497,1362.50647535377,-4.88235294117647,0.054868571761120900,0.9127637063251380,0.008000455411180870,0.024367266502560500,1.2422328142559400,0.0026345612310248600,412.10060345435700,2919.768011390670,10261.945394600300,3.2609326808597E-05,0.013848763295754900,1.11684648633674E-08,1.34952429329817E-06,GOOD
BND01-FULL,Field and Grain,2019,131.04541,173.2298426,2.485487486,430.56060598405,173.2298426,173.2298426,0.963333333,81.51658446,209.6822022,48.80951363,0.11100000000000000,0.17,No,0,No,81.51658446,48.80951363,209.6822022,25,24.083333325,66.46897236904970,1.1262486751299900,66.46897236904970,66.46897236904970,66.4689723690497,0.0,-4.88235294117647,0.34693970581845600,0.047048182133567400,0.11442980425107300,0.49158230779690400,2.490261668217050,0.06874723051352210,0.14501998877087600,131.04551970477700,126.23980703238600,-0.00010970477705996000,0.0006045572651913740,8.37150855264295E-07,4.78893610673979E-06,GOOD
BND01-FULL,Pasture,2019,255.415207,215.0,3.5,752.5,215.0,215.0,3.648333333,101.0837153,214.8226999,102.7869284,0.07650000000000000,0.17,No,0,No,101.0837153,102.7869284,214.8226999,25,91.208333325,242.59832307500000,1.4054997249441900,242.59832307500000,242.59832307500000,66.4689723690497,176.12935070595,-4.88235294117647,0.006701043473393360,0.9871062676771400,0.0020041189203883500,0.004188569929077660,1.4741113244997900,0.05117900213684850,0.01139383251543720,255.41510114615200,931.8337503112550,0.00010585384785599700,0.006063141940217070,4.144383143796E-07,6.50663542454618E-06,GOOD
