g,i,hr,xland,p,y,xwater_unit,omegaland,omegasupplies,omegalabor,theta,sigma,omegaland_init,omegasupplies_init,omegalabor_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupplies,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,year
SACRAMENTO VALLEY - ANTELOPE - ANT01-IDs,Alfalfa,Sacramento River,13.23026016,277.1509501,6.028,3.537610105,0.306290873,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.88050525,1493.1206922148000,8.961718443006090,1493.1206922148000,462.56443572204,1030.55625649276,-4.88235294117647,0.017373799502949300,0.9826220305945080,2.33230366675487E-06,1.83759887625322E-06,2.6893394354296000,0.04063672233956660,14818.028745247300,13.230242366003300,46.80336048552350,1.7793996702764E-05,0.0001415482714008930,1.34494684817778E-06,3.02430940528097E-06,GOOD,1
SACRAMENTO VALLEY - ANTELOPE - ANT01-IDs,Almonds & Pistachios,Sacramento River,193.0952096,4881.664415,0.979,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,4597.785035694000,25.096271644969700,4597.785035694000,462.56443572204,4135.22059997196,-4.88235294117647,0.04583282893256560,0.9541632502693820,2.98134504105531E-06,9.39453011104212E-07,0.5248094737942620,0.012946980948822000,26219.484973141700,193.0951947686890,697.7813186545840,1.48313112049436E-05,0.0015629848572871200,7.68082814465825E-08,2.23993006766644E-06,GOOD,1
SACRAMENTO VALLEY - ANTELOPE - ANT01-IDs,Corn,Sacramento River,739.6999328,221.2238144,5.648,2.826875063,0.234536008,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.34375315,1107.2485896242000,8.366924693125580,1107.2485896242000,462.56443572204,644.68415390216,-4.88235294117647,0.0467536028176207,0.9532191583104770,2.34954539055232E-05,3.74341799723846E-06,3.0915590315509400,0.004506331805000450,5105.4440837765800,739.6998285856080,2091.0340267182700,0.00010421439253605100,0.005267416825518010,1.40887389487202E-07,2.51904248776766E-06,GOOD,1
SACRAMENTO VALLEY - ANTELOPE - ANT01-IDs,Grain,Sacramento River,215.5182395,216.1013467,2.562,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000000,513.2477201224,13.050395947691300,513.2477201224,462.56443572204,50.68328440036,-4.88235294117647,0.9752975434140980,0.023564390524625600,0.0009235717359955920,0.0002144943252812760,2.588414471050150,0.006270241231027460,2107.1597487241500,215.52126966120500,170.05942460913900,-0.003030161205060720,-0.0020335811167626600,1.40598828762274E-05,1.19582048417264E-05,GOOD,1
SACRAMENTO VALLEY - ANTELOPE - ANT01-IDs,Other Deciduous,Sacramento River,6295.896619,1990.588431,1.931,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,3676.5360362950000,21.882850221291500,3676.5360362950000,462.56443572204,3213.97160057296,-4.88235294117647,0.05871413026462370,0.941274880937799,5.45426763031468E-06,5.53452994704753E-06,1.0903098715703100,0.0012217970144385100,1200.453233560390,6295.89646223093,20951.068857616100,0.0001567690696901990,0.046984142005385400,2.49001975694924E-08,2.24256036577013E-06,GOOD,1
SACRAMENTO VALLEY - ANTELOPE - ANT01-IDs,Pasture,Sacramento River,1205.300285,230.8004703,5.0,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50,198.2796547,955.026710395,5.523539728119070,955.026710395,462.56443572204,492.46227467296,-4.88235294117647,0.0057443713328953900,0.9942535538125540,1.14249183254202E-06,9.32362718423327E-07,1.8064308181146300,0.001626801501773050,42637.324283926500,1205.2990202938400,4779.713253331580,0.0012647061582811100,0.01723306065559880,1.04928719757261E-06,3.60544610300955E-06,GOOD,1
SACRAMENTO VALLEY - ANTELOPE - ANT01-IDs,Safflower,Sacramento River,79.96256966,563.5408044,1.0316,2.357007476,0.396694215,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,50,117.85037380000000,462.56443572204000,4.661100987242550,462.56443572204000,462.56443572204,0.0,-4.88235294117647,0.05636259545710410,0.9435720050410430,5.16488373935519E-05,1.37506644597725E-05,0.599715443680115,0.016899798957153100,6.077009202222060,79.96118532564410,188.46864624523700,0.0013843343559187800,0.003728243554007800,1.73122795053355E-05,1.97813794415241E-05,GOOD,1
SACRAMENTO VALLEY - ANTELOPE - ANT01-IDs,Truck Crops,Sacramento River,7.60891266,3330.752699,6.979854167,2.662234731,0.139554281,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50,133.11173655,23114.10086214670,165.14930828994300,23114.10086214670,462.56443572204,22651.5364264246,-4.88235294117647,0.5929877258319730,0.4069913411959790,1.01627705628969E-05,1.0770201486293E-05,6.278785524067740,0.3205483489205810,6165.2680378137,7.608912632752400,20.256697437708700,2.72476050611203E-08,1.41108889373243E-05,3.58101167389669E-09,6.9660314328271E-07,GOOD,1
SACRAMENTO VALLEY - BEND - BND01-FULL,Almonds & Pistachios,Sacramento River,7.36966412,4863.442201,1.22,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,5752.035058629,31.15746984569300,5752.035058629,513.2477201224,5238.7873385066,-4.88235294117647,0.05668600924516080,0.9433101145539290,2.94743371368441E-06,9.2876719709395E-07,0.6820317680411220,0.3392284857617090,1267.7279907185500,7.369660214390300,26.631343498550400,3.90560970409126E-06,0.00021031897320966700,5.29957626358047E-07,7.89736020101375E-06,GOOD,1
SACRAMENTO VALLEY - BEND - BND01-FULL,Grain,Sacramento River,202.7816928,216.1013467,2.562,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000000,513.2477201224,13.050395947691300,513.2477201224,513.2477201224,0.0,-4.88235294117647,0.9752975434140980,0.023564390524625600,0.0009235717359955920,0.00021449432528127600,2.588414471050150,0.006664069782098950,13.654672750061800,202.78316794947400,160.00721615911500,-0.0014751494737481600,0.000241705322451935,7.27456928374237E-06,1.51058785432811E-06,GOOD,1
SACRAMENTO VALLEY - BEND - BND01-FULL,Other Deciduous,Sacramento River,30.95347589,1630.911783,1.886,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,2908.6093987720000,17.511054398055000,2908.6093987720000,513.2477201224,2395.3616786496,-4.88235294117647,0.04702779415832950,0.9529610806149950,5.52198393923946E-06,5.60324273583053E-06,1.0199576489623000,0.2485119189729780,4.398818811702950,30.95346540852990,103.00425211487400,1.04814701415989E-05,0.0009111400880215120,3.38620133611074E-07,8.84557685488277E-06,GOOD,1
SACRAMENTO VALLEY - BEND - BND01-FULL,Pasture,Sacramento River,161.2648525,230.8004703,5.0,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50,198.2796547,955.026710395,5.523539728119070,955.026710395,513.2477201224,441.7789902726,-4.88235294117647,0.005744371332895390,0.9942535538125540,1.14249183254202E-06,9.32362718423327E-07,1.8064308181146300,0.012158782793203400,5118.019951427410,161.26339982457300,639.49860673135,0.0014526754268331400,0.012178647578593900,9.008010141783E-06,1.90436938000626E-05,GOOD,1
