g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
ANT01-IDs,Sacramento River,0.5,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,230.6169292,3.712617305931496e-22,662.8889632586987,3.7126173059322324e-09,982477.3184165967,1.5816541776407567e-18,2,Good,637.9594400609413
ANT01-IDs,Sacramento River,0.5,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,417.254489,3.712617305929237e-22,1763.595640312418,3.7126173059305946e-09,313984.0029725,2.793744522711751e-19,2,Good,637.9594400609413
ANT01-IDs,Sacramento River,0.5,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,1854.420103,1274.5844829813673,6536.722008614954,4481.6033508873925,7366666.799564798,5063275.133196344,2,Good,637.9594400609413
ANT02-WAs,Sacramento River,0.5,Other field and grain,Field and grain,ANT,Field and Grain,173.22984259999996,2.485487486,610.495454,5.082713778556714e-20,647.1251812400001,5.206148079304988e-08,262855.29262474744,2.188416324538857e-17,6,Good,426.9653595421971
ANT02-WAs,Sacramento River,0.5,Trees and Vine,Trees and vines,ANT,Orchards,2061.666385,2.066393172,752.5419621,4.923249322975846e-07,2151.904185154842,1.4720862077718508e-06,3205989.3065299396,0.0020974092446347757,6,Good,426.9653595421971
ANT02-WAs,Sacramento River,0.5,Alfalfa and Pasture,Alfalfa and pasture,ANT,Pasture,215.0,3.5,1220.895677,8.75025291061065e-21,5160.3190618602985,5.206148079272536e-08,918723.9969425,6.5845653152345136e-18,6,Good,426.9653595421971
ANT02-WAs,Sacramento River,0.5,Trees and Vine,Trees and vines,ANT,Almonds,5165.974452,0.8565781309999999,183.9848881,120.5873980714475,657.3511614181565,429.7640721864222,814144.305247965,533606.5610517847,6,Good,426.9653595421971
ANT02-WAs,Sacramento River,0.5,Trees and Vine,Trees and vines,ANT,Walnuts,1949.323208,2.037882063,2919.768044,2569.857306810433,10261.959243363643,9009.565437083436,11598751.694596492,10208734.510089284,6,Good,426.9653595421971
BND01-FULL,Sacramento River,0.5,Other field and grain,Field and grain,BND,Field and Grain,173.22984259999996,2.485487486,131.04541,125.9140269606294,126.24041158965153,120.99393515280848,56422.99114102823,54213.61975006055,2,Good,94.38840274454776
BND01-FULL,Sacramento River,0.5,Alfalfa and Pasture,Alfalfa and pasture,BND,Pasture,215.0,3.5,255.415207,112.12485849171993,931.839813453195,408.046182562702,192199.9432675,84373.95601501926,2,Good,94.38840274454776
BTE01-IDs,Sacramento River,0.5,Alfalfa and Pasture,Alfalfa and pasture,BTE,Alfalfa,187.2098036,5.87624882,427.562673,344.25372240710226,1514.5220015983195,1216.3746154799885,470358.0141824669,378710.5551338127,2,Good,100.38423959551655
BTE01-IDs,Sacramento River,0.5,Other field and grain,Field and grain,BTE,Beans Dry,1054.225767,1.083582552,236.478384,28.393022852977374,507.90301813255076,60.829448257622666,270138.87017771375,32434.504095872515,2,Good,100.38423959551655
BTE01-IDs,Sacramento River,0.5,Corn,Corn,BTE,Corn,166.71940680000003,5.454093572000001,935.383313,352.5070853033347,2027.7031598334186,762.2466260112594,850547.0817881573,320535.83653613925,2,Good,100.38423959551655
BTE01-IDs,Sacramento River,0.5,Other field and grain,Field and grain,BTE,Field and Grain,173.22984259999996,2.485487486,912.973112,866.5042206886446,876.45418752,829.7644331572817,393090.25634986354,373082.5823474395,2,Good,100.38423959551655
BTE01-IDs,Sacramento River,0.5,Trees and Vine,Trees and vines,BTE,Orchards,2061.666385,2.066393172,5141.725886,4976.274793113436,15705.676682862206,15162.296576600496,21904849.21481853,21199992.261635724,2,Good,100.38423959551655
BTE01-IDs,Sacramento River,0.5,Alfalfa and Pasture,Alfalfa and pasture,BTE,Pasture,215.0,3.5,2085.238983,1.0017925865397952e-07,8420.89009231992,4.954141948484179e-07,1569142.3347075002,7.538489213711959e-05,2,Good,100.38423959551655
BTE01-IDs,Sacramento River,0.5,Corn,Field and grain,BTE,Rice,370.9204663,4.450435008,101766.3145,43002.7792222637,457948.41524999996,193028.72330373983,167991499.62229526,70987157.24322078,2,Good,100.38423959551655
BTE01-IDs,Sacramento River,0.5,Other field and grain,Field and grain,BTE,Safflower,429.9064999,1.059039203,712.990372,6.2504400235959606e-21,1589.96852956,6.250440023592586e-08,324615.8442829781,2.845749318757589e-18,2,Good,100.38423959551655
