g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland,omegasupply,omegalabor,omegawater,omegawater,mprof,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,pc,pimarginal
SACRAMENTO VALLEY - ANTELOPE,Alfalfa,Sacramento River,13.23026016,277,6,3.537610105,0.306290873,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.8805053,1484.454765,8.915233027595054,1484.454765,521.1960699,963.2586951,-4.882352941,0.017274725896230404,0.9827211037807947,0.026391917025358307,0.033496954,2.6740528791230656,0.040636722,13850.666800405492,13.23023118107587,46.80336201231075,2.897892412967451e-05,0.000140021,2.190351798015929e-06,2.9916881875593815e-06,GOOD,1.939072961544676,1.5277763122781245,277,1484.600519
SACRAMENTO VALLEY - ANTELOPE,Almonds & Pistachios,Sacramento River,193.0952096,4899.322714,0.70915252,3.61367267,0.287448101,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,3293.0026223353393,18.244597693016757,3293.0026223353393,521.1960699,2771.806552,-4.882352941,0.033259542,0.9667364859094174,0.031964234855132126,0.10143819004259322,0.3570760955985539,0.012946980948822047,17575.319923671814,193.09517706387064,697.7817565037076,3.253612936759964e-05,0.001125136,1.6849785882828882e-07,1.612443875786222e-06,GOOD,3.0498974152879694,0.9610545813701002,4899.322714,3293.053848
SACRAMENTO VALLEY - ANTELOPE,Corn,Sacramento River,739.6999328,221,5.6,2.826875063,0.234536008,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.3437532,1095.3764858929999,8.287424721,1095.3764858929999,521.1960699,574.180416,-4.882352941,0.046275602108744866,0.9536971453605544,0.019500948,0.12239713392995533,3.059611193206422,0.004506332,4547.307225,739.6996082239446,2091.035071354796,0.000324576,0.00422278,4.387942206186202e-07,2.019464823994889e-06,GOOD,2.644960375498291,0.4214088525991567,221,1094.667492
SACRAMENTO VALLEY - ANTELOPE,Grain,Sacramento River,215.5182395,216,2.6,0.78906264,0.351483763,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000004,521.1960699,13.23775041756828,521.1960699,521.1960699,0,-4.882352941,0.9756648458923328,0.023214010026730666,0.705095721,3.0360079618087554,2.6264153765872544,0.006270241,14.512311202295821,215.52208686282788,170.06020311766457,-0.003847363,-0.00281209,1.785168084524777e-05,1.6536121278097966e-05,GOOD,3.1117324505343373,0.7226823065494933,216,521.0860919
SACRAMENTO VALLEY - ANTELOPE,Other Deciduous,Sacramento River,6295.896619,1749.09923,1.916425484,3.327741402,0.215021845,0.54254216,0.5586272122329681,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,3184.728114450777,19.08299446229811,3184.728114450777,521.1960699,2663.532045,-4.882352941,0.051263041365953776,0.9487258828506656,0.032272225431995684,0.03180421,1.0538600756034682,0.001221797,994.8718462600831,6295.896296756791,20951.083591569353,0.000322243,0.032250189,5.118305274968572e-08,1.5393064985765352e-06,GOOD,0.6204120841421951,0.6295417628777134,1749.09923,3184.315077
SACRAMENTO VALLEY - ANTELOPE,Pasture,Sacramento River,1205.300285,272,5,3.965593094,0.350906068,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,10,39.65593094,1319.648083,32.09855145578573,1319.648083,521.1960699,798.4520128,-4.882352941,0.03838067,0.9616092966462007,0.07087903,0.086853229,2.580028512217204,0.001626802,69111.01492572788,1205.299273561285,4779.691792945525,0.001011439,0.038693446706929535,8.391591105181933e-07,8.095319771080979e-06,GOOD,2.262942000342034,1.8467377139832826,272,1319.821747
SACRAMENTO VALLEY - ANTELOPE,Safflower,Sacramento River,79.96256966,564,1,2.357007476,0.396694215,0.4537037030434028,0.032158708,0.74,0.17,212.2655769,227.006242,60.43672676,10,23.57007476,539.4960409429999,21.92065600066421,539.4960409429999,521.1960699,18.29997107,-4.882352941,0.2582568985367486,0.7414861373748913,0.2414869702737936,0.9070486227644502,0.7646499335776759,0.016899798957153114,286.41659663098943,79.96053056,188.46634781350477,0.002039096,0.006026675,2.5500629222789476e-05,3.1976438469402286e-05,GOOD,3.5121951355556216,0.9350649358914657,564,539.5473686
SACRAMENTO VALLEY - ANTELOPE,Truck Crops,Sacramento River,7.60891266,133,22.8,2.662234731,0.139554281,1.1244727167916924,1.262909809962677,0.41,0.17,7441.94487,27484.23099,27982.75263,50,133.1117366,2898.332757,21.54142899297626,2898.332757,521.1960699,2377.136687,-4.882352941,0.15447379001425285,0.8454827238855881,0.054419171120304234,0.051349973,15.696928559557932,0.3205483489205806,647.0402119181241,7.608911650715878,20.256713083330634,1.009284122055476e-06,-1.53E-06,1.326449871558226e-07,7.576417511872882e-08,GOOD,0.332418674,0.35228740820875265,133,2896.761327
SACRAMENTO VALLEY - BEND,Almonds & Pistachios,Sacramento River,7.36966412,4863,1.2,3.61367267,0.287448101,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,5654.235573,30.643905148211022,5654.235573,521.1960699,5133.039504,-4.882352941,0.055776003,0.9442201168205457,0.053603783443555944,0.1701110881143588,0.6687031796828201,0.3392284857617093,1242.139600436762,7.369662277,26.63145754371602,1.843407500423666e-06,9.627380758203685e-05,2.5013453400419907e-07,3.6150278065521113e-06,GOOD,3.0498974152879694,0.9610545813701002,4863,5654.286799
SACRAMENTO VALLEY - BEND,Grain,Sacramento River,202.7816928,216,2.6,0.78906264,0.351483763,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000004,521.1960699,13.23775041756828,521.1960699,521.1960699,0,-4.882352941,0.9756648458923328,0.023214010026730666,0.705095721,3.0360079618087554,2.626415376587254,0.00666407,13.654672750061831,202.7820775559243,160.0071133919743,-0.000384756,0.000344472,1.8973898431787652e-06,2.1528525440386963e-06,GOOD,3.1117324505343373,0.7226823065494933,216,521.0860919
