g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland,omegasupply,omegalabor,omegawater,omegawater,mprof,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
SACRAMENTO VALLEY - ANTELOPE,Alfalfa,Sacramento River,13.23026016,277.0,6.0,3.537610105,0.306290873,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,10,35.37610105,1625.959169212,43.91844217376266,1625.959169212,539.496040943,1086.463128269,-4.88235294117647,0.0878132963039851,0.91216734910783,1.0825379376702474e-05,8.529208808097302e-06,3.6618912181248007,0.04063672233956664,15621.656382272371,13.23025511145325,46.80334412253744,5.048546750430205e-06,0.00015791125748165769,3.815908900789299e-07,3.3739196987361403e-06,GOOD,0,0
SACRAMENTO VALLEY - ANTELOPE,Almonds & Pistachios,Sacramento River,193.0952096,4899.322714,0.70915252,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,10,36.136726700000004,3437.549529135339,89.87354438215927,3437.549529135339,539.496040943,2898.05348819234,-4.88235294117647,0.15223069000193631,0.847751892307919,1.324427921251377e-05,4.1734109318982866e-06,0.4833264378801681,0.012946980948822047,18375.73660667772,193.09520328585145,697.7807665782059,6.314148549790843e-06,0.0021150612358269427,3.269966439286976e-08,3.0311165428099983e-06,GOOD,0,0
SACRAMENTO VALLEY - ANTELOPE,Corn,Sacramento River,739.6999328,221.0,5.6,2.826875063,0.234536008,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,10,28.26875063,1208.4514884129999,40.43659873159158,1208.4514884129999,539.496040943,668.95544747,-4.88235294117647,0.21111548616174414,0.7887718154401279,9.721034071795824e-05,1.5488057409937682e-05,4.092037067302583,0.004506331805000447,5297.585719753661,739.6998997996169,2091.0328472594447,3.300038315501297e-05,0.006446875651363371,4.4613202856590776e-08,3.083096367172743e-06,GOOD,0,0
SACRAMENTO VALLEY - ANTELOPE,Grain,Sacramento River,215.5182395,216.0,2.6,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,10,7.8906264,552.758575477,60.494453293784325,552.758575477,539.496040943,13.2625345340001,-4.88235294117647,0.9944602643251628,0.004462202719319424,0.0008744474650297714,0.00020308549048796156,2.6051587842417403,0.006270241231027462,562.1052550294189,215.52124472086894,170.0592520282721,-0.003005220868942615,-0.0018610002498178346,1.3944160252583241e-05,1.0943365875295455e-05,GOOD,0,0
SACRAMENTO VALLEY - ANTELOPE,Other Deciduous,Sacramento River,6295.896619,1749.09923,1.916425484,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,10,33.27741402,3317.837770530777,93.39805085120777,3317.837770530777,539.496040943,2778.34172958778,-4.88235294117647,0.21962952117161327,0.7803249297923311,2.260817265968842e-05,2.2940863396145415e-05,1.4078728710175348,0.0012217970144385074,1037.751639442541,6295.896563906827,20951.052811516132,5.5093172704800963e-05,0.0630302419885993,8.750647610467215e-09,3.0084432000978377e-06,GOOD,0,0
SACRAMENTO VALLEY - ANTELOPE,Pasture,Sacramento River,1205.300285,272.0,5.0,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,10,39.65593094,1319.648082655,32.09855145578573,1319.648082655,539.496040943,780.152041712,-4.88235294117647,0.03838066969881396,0.9616092966462007,5.524902391859518e-06,4.508752593562394e-06,2.580028512217204,0.001626801501773054,67527.73381389891,1205.3000499389977,4779.714934040646,0.00023506100228587457,0.015552351585938595,1.9502277167873941e-07,3.2538135006180235e-06,GOOD,0,0
SACRAMENTO VALLEY - ANTELOPE,Safflower,Sacramento River,79.96256966,564.0,1.0,2.357007476,0.396694215,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,10,23.57007476,539.4960409429999,21.92065600066421,539.4960409429999,539.496040943,0.0,-4.88235294117647,0.25825689853674866,0.7414861373748913,0.00020293574170411545,5.402834665580915e-05,0.7646499335776759,0.016899798957153114,6.077009202222055,79.9599865383244,188.46570390039503,0.0025831216755989317,0.0066705883957638434,3.2304135379619964e-05,3.539292383754931e-05,GOOD,0,0
SACRAMENTO VALLEY - ANTELOPE,Truck Crops,Sacramento River,7.60891266,133.0,22.8,2.662234731,0.139554281,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,10,26.62234731,3004.822146025,104.72170904298945,3004.822146025,539.496040943,2465.326105082,-4.88235294117647,0.4863480177649145,0.5135199217084877,6.411420361504883e-05,6.79463229828595e-05,19.707163617017443,0.3205483489205806,671.043354184713,7.608912572089125,20.256652572504628,8.791087502402206e-08,5.897609296567907e-05,1.1553671194856647e-08,2.911434702725087e-06,GOOD,0,0
SACRAMENTO VALLEY - BEND,Almonds & Pistachios,Sacramento River,7.36966412,4863.0,1.2,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,10,36.136726700000004,5798.782480209,150.95297883354058,5798.782480209,552.758575477,5246.023904732,-4.88235294117647,0.23248069705142396,0.7675035340203533,1.1990573177587784e-05,3.778355044930627e-06,0.8911763356890362,0.3392284857617093,1269.479062794115,7.3696615753364485,26.630817642408655,2.5446635518733274e-06,0.0007361751149481677,3.452889453900007e-07,2.7642965183044007e-05,GOOD,0,0
SACRAMENTO VALLEY - BEND,Grain,Sacramento River,202.7816928,216.0,2.6,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,10,7.8906264,552.758575477,60.494453293784325,552.758575477,552.758575477,0.0,-4.88235294117647,0.9944602643251628,0.0044622027193194245,0.0008744474650297714,0.0002030854904879616,2.6051587842417394,0.006664069782098946,13.654672750061831,202.78225502563546,160.00347839225938,-0.0005622256354627098,0.00397947217763317,2.772566042326232e-06,2.487054185314721e-05,GOOD,0,0
