g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegawater
1,Alfalfa,Sacramento River,218.8354054,187.2098036,5.87624882,3.537610105,310.085831,50,166.0095709,205.0405538,1.86,0.17,50
1,Almonds,Sacramento River,32.71585715,5165.974452,0.856578131,3.971676207,962.6735903,50,414.244587,1333.209787,0.4,0.17,50
1,Berries,Sacramento River,220.6292491,5388.84825,4.3725,3.453441036,1065.939344,50,9818.188327,9126.397598,0.25,0.17,50
1,Cucurbits,Sacramento River,17.42837714,161.7514,13.41,1.97136542,101.6320487,50,1417.709564,496.0756788,0.05,0.17,50
1,Field and Grain,Sacramento River,3219.912649,173.2298426,2.485487486,1.383894155,81.51658446,50,48.80951363,209.6822022,0.74,0.17,50
1,Grapes,Sacramento River,38.6108022,730.6198686,7.837965954,2.661751325,3325.975697,50,1208.721228,1105.151244,0.13,0.17,50
1,Orchards,Sacramento River,484.809818,2061.666385,2.066393172,3.327741402,607.0648734,50,1472.781853,1550.82325,0.13,0.17,50
1,Pasture,Sacramento River,10143.3774,173.2298426,2.485487486,3.965593094,81.51658446,50,48.80951363,209.6822022,0.74,0.17,50
1,Pistachios,Sacramento River,7.841825166,3834.493456,1.253131426,3.663925668,1252.751973,50,250.122497,1240.024825,0.4,0.17,50
1,Subtropical,Sacramento River,693.0795889,942.1801854,4.535541375,2.972946835,863.7792973,50,1846.907779,684.4007169,0.13,0.17,50
1,Truck,Sacramento River,39.18946079,750.0942005,17.60330131,2.662234731,736.5300735,50,4084.707976,3313.645347,0.41,0.17,50
1,Walnuts,Sacramento River,2185.280515,1949.323208,2.037882063,4.942462794,1016.733954,50,356.2595846,1085.072261,0.13,0.17,50
10,Alfalfa,San Joaquin River,37418.86257,205.8588937,7.063149253,4.134965358,409.846448,50,219.4180648,271.0060707,1.86,0.17,50
10,Almonds,San Joaquin River,100217.7711,5157.824281,1.067695081,4.125499535,1198.04631,50,515.5269696,1659.178231,0.4,0.17,50
10,Beans Dry,San Joaquin River,7330.340145,1415.3103,1.200351344,2.212101358,144.6880326,50,120.7038647,856.238012,1.68,0.17,50
10,Corn,San Joaquin River,33495.4245,44.88630607,26.76544219,2.415829265,105.8936729,50,105.1073939,671.1863659,0.3,0.17,50
