g,i,hr,xland,p,y,xwater,omegaland,omegawater_x,omegasupply,omegalabor,theta,omegawater,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
1,Alfalfa,Sacramento River,218.8354054,280.6469987,5.962401488,3.537610105,471.6662224,35.37610105,252.5143029,311.8836593,1.86,10,0.281872792,0.186385019,0.150905255,601.889797,1.487388256,601.889797,0.17,62.62442621,539.2653708,-4.882352941,0.057933256,0.911609636,0.013626653,0.016830455,3.643555099,0.002456798,240359.1416,218.8355078,774.1537273,-0.000102423,0.000614165,4.68E-07,7.93E-07,GOOD,280.6469987,512.1190455
1,Almonds,Sacramento River,32.71585715,4683.240486,0.738721068,3.971676207,752.6390797,198.5838104,323.8653982,1042.332314,0.4,50,0.217550367,0.301286212,0.093613311,1142.187811,1.421781248,1142.187811,0.17,62.62442621,1079.563385,-4.882352941,0.011138281,0.980830857,0.001903764,0.006127098,0.332646308,0.076415543,1968.138028,32.71585874,129.9367664,-1.59E-06,2.50E-05,4.86E-08,1.92E-07,GOOD,4683.240486,552.061027
1,Berries,Sacramento River,220.6292491,5808.7562,4.15,3.453441036,1090.53087,172.6720518,10044.6968,9336.946257,0.25,50,0.045238346,0.387323291,0.416682812,3461.492251,1.112065325,3461.492251,0.17,62.62442621,3398.867825,-4.882352941,0.046810867,0.75387742,0.103294943,0.096016769,3.118772009,0.018129962,4535.376484,220.6292523,761.9299242,-3.20E-06,0.000178404,1.45E-08,2.34E-07,GOOD,5808.7562,3037.851554
1,Cucurbits,Sacramento River,17.42837714,202.6283347,12.01,1.97136542,111.9924863,96.81195395,1562.231795,546.6459553,0.05,50,0.046854775,0.228702604,0.653597591,73.83780655,0.98218172,115.8841095,0.17,62.62442621,53.2596833,-4.882352941,0.045157284,0.536935863,0.309580474,0.108326379,10.34510807,1.147553776,2.97E-07,17.41906804,34.3349541,0.0093091,0.022745918,0.000534135,0.000662033,GOOD,202.6283347,21.8443252
1,Field and Grain,Sacramento River,3219.912649,209.6613847,3.03361867,2.845649619,120.4179202,71.14124048,72.10238442,309.7467197,0.74,25,0.189326621,0.486998112,0.113362702,62.62442621,1.056394644,62.62442621,0.17,62.62442621,0,-4.882352941,0.01487795,0.954084795,0.005860587,0.025176667,1.653693583,0.000419686,74281.81332,3219.918693,9162.755231,-0.006043921,-0.012028133,1.88E-06,1.31E-06,GOOD,209.6613847,-68.67737717
1,Grapes,Sacramento River,38.6108022,1768.088912,10.32652959,2.661751325,5707.511085,133.0875663,6066.297444,4560.422484,0.13,50,0.312599493,0.249773629,0.332250166,1790.903888,1.055957181,1790.903888,0.17,62.62442621,1728.279462,-4.882352941,0.220720588,0.466475188,0.178565303,0.134238921,9.09329252,0.199226829,17.03148598,38.61080242,102.7723316,-2.15E-07,2.23E-05,5.58E-09,2.17E-07,GOOD,1768.088912,1569.745449
1,Orchards,Sacramento River,484.809818,2309.334094,2.07088168,3.327741402,681.468536,166.3870701,1653.290347,1740.896727,0.13,50,0.142496355,0.364024786,0.345706127,540.3149882,1.073687064,540.3149882,0.17,62.62442621,477.690562,-4.882352941,0.019222595,0.927375898,0.026011588,0.027389919,1.219081087,0.01586665,33.33734603,484.8098327,1613.321336,-1.47E-05,0.000367404,3.03E-08,2.28E-07,GOOD,2309.334094,153.0089163
1,Pasture,Sacramento River,10143.3774,231.3889922,5,3.965593094,219.0404801,39.65593094,131.1544068,563.4300116,0.51,10,0.189326621,0.486998112,0.113362702,203.6641316,1.155852829,203.6641316,0.17,62.62442621,141.0397054,-4.882352941,0.012363677,0.96732044,0.003836132,0.016479751,2.499007503,0.000193307,262176.7505,10143.3806,40224.46782,-0.003200699,0.039552014,3.16E-07,9.83E-07,GOOD,231.3889922,86.06077663
1,Pistachios,Sacramento River,7.841825166,4908.224613,1.249825398,3.663925668,1599.315875,183.1962834,319.3169032,1583.067859,0.4,50,0.260711671,0.258063009,0.052053284,2449.52686,1.585474028,2449.52686,0.17,62.62442621,2386.902434,-4.882352941,0.036882585,0.945787804,0.00290879,0.014420821,0.692253099,0.318803333,1026.365444,7.841825359,28.73186097,-1.93E-07,3.54E-06,2.46E-08,1.23E-07,GOOD,4908.224613,1961.505578
1,Subtropical,Sacramento River,693.0795889,1426.122657,2.926176068,2.972946835,843.5231851,148.6473418,1803.596752,668.3511361,0.13,50,0.202134149,0.160157528,0.432197361,708.967574,1.14729554,708.967574,0.17,62.62442621,646.3431478,-4.882352941,0.04513977,0.882986591,0.052440855,0.019432784,1.899693199,0.011098736,61.25576725,693.0796068,2060.488291,-1.79E-05,0.000479719,2.58E-08,2.33E-07,GOOD,1426.122657,415.6942716
1,Truck,Sacramento River,39.18946079,742.5153484,22.835,2.662234731,945.7732119,133.1117366,5245.145436,4255.029217,0.41,50,0.055780263,0.25095514,0.309350686,6376.278379,1.526406084,6376.278379,0.17,62.62442621,6313.653953,-4.882352941,0.224008708,0.485345724,0.160468447,0.130177121,19.96250047,0.062236743,10176.55216,39.1894615,104.3315222,-7.06E-07,2.14E-05,1.80E-08,2.05E-07,GOOD,742.5153484,6155.015428
1,Walnuts,Sacramento River,2185.280515,1941.701849,1.718936287,4.942462794,854.2534686,247.1231397,299.3270611,911.6708835,0.13,50,0.25594369,0.273146576,0.089681664,1025.287214,1.374658568,1025.287214,0.17,62.62442621,962.6627877,-4.882352941,0.003096313,0.994908716,0.000493105,0.001501866,0.59212916,0.003520055,235.5367469,2185.280539,10800.66483,-2.36E-05,0.002807232,1.08E-08,2.60E-07,GOOD,1941.701849,51.01343008
10,Alfalfa,San Joaquin River,37356.60955,290.4258221,6.981811447,4.134965358,571.5529894,41.34965358,305.9903334,377.9325916,1.86,10,0.281872792,0.186385019,0.150905255,730.8727613,1.489129543,730.8727613,0.17,68.61215883,662.2606024,-4.882352941,0.02941147,0.955144134,0.006909895,0.008534501,3.712508039,1.44E-05,50076998.53,37356.60853,154468.2275,0.001022027,0.058843312,2.74E-08,3.81E-07,GOOD,290.4258221,601.2430297
10,Almonds,San Joaquin River,100166.8964,4775.762292,1.018616781,4.125499535,1058.3111,206.2749768,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,1679.029036,1.454344131,1679.029036,0.17,68.61215883,1610.416877,-4.882352941,0.012832728,0.978161305,0.002134919,0.006871048,0.469576695,2.50E-05,8777125.593,100166.8961,413238.4535,0.00026957,0.031011981,2.69E-09,7.50E-08,GOOD,4775.762292,1034.316692
10,Beans Dry,San Joaquin River,7330.340145,1593.773361,1.285477627,2.212101358,174.4872303,110.6050679,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,585.5199417,1.333479076,585.5199417,0.17,68.61215883,516.9077828,-4.882352941,0.10447712,0.733564561,0.020010397,0.141947922,0.991633901,8.12E-05,4695166.866,7330.34052,16215.45503,-0.000374785,0.00035543,5.11E-08,2.19E-08,GOOD,1593.773361,451.4553887
10,Corn,San Joaquin River,33584.18193,77.55530093,25.22861255,2.415829265,172.4592835,120.7914633,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,399.0836594,1.196408306,399.0836594,0.17,68.61215883,330.4715006,-4.882352941,0.052941855,0.829948423,0.015856237,0.101253485,17.78155435,9.93E-05,180765.6782,33584.18227,81133.64438,-0.000338341,0.005171357,1.01E-08,6.37E-08,GOOD,77.55530093,228.0635708
10,Cotton,San Joaquin River,56251.23127,3399.208415,0.729719844,3.634047537,368.4467916,181.7023768,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087,631.8730258,1.277916424,631.8730258,0.17,68.61215883,563.2608669,-4.882352941,0.0098805,0.97729429,0.001916623,0.010908587,0.341372032,2.61E-05,8189403.229,56251.23094,204419.632,0.000325935,0.016465932,5.79E-09,8.05E-08,GOOD,3399.208415,153.2603276
10,Cucurbits,San Joaquin River,7387.484592,384.0603914,14.86947686,2.299627126,267.5771763,114.9813563,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591,289.5988182,1.00325705,289.5988182,0.17,68.61215883,220.9866593,-4.882352941,0.04529776,0.545068317,0.303451984,0.106181938,12.70707858,0.002707281,0.000371962,7387.484607,16988.4588,-1.46E-05,0.001164756,1.97E-09,6.86E-08,GOOD,384.0603914,140.1659285
10,Field and Grain,San Joaquin River,35945.29395,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,3.76E-05,877426.4945,35945.29534,104854.5109,-0.001393219,0.012226678,3.88E-08,1.17E-07,GOOD,194.8087562,-71.19212885
