crop_code,internal_id,region_name,County,direct_output,Event,IMPLAN, Direct_Employment, Direct_LaborIncome, Direct_Output, Direct_ValueAdded, Indirect_Employment, Indirect_LaborIncome, Indirect_Output, Indirect_ValueAdded, Induced_Employment, Induced_LaborIncome, Induced_Output, Induced_ValueAdded, Total_Employment, Total_LaborIncome, Total_Output, Total_ValueAdded
GRAIN,DAP001,ATLAS TRACT,San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
ALFAL,DAP002,BACON ISLAND,San Joaquin,1,Impact Other,All other crop farming,-1.95388218466662e-5,-0.318262507233386,-1,-0.524627567637684,-2.9570142465612597e-6,-0.144435200244331,-0.307759357687262,-0.191796375476918,-1.3960246349652701e-6,-0.0674568374724052,-0.21404344947940399,-0.13326956446007798,-2.389186072819273e-5,-0.5301545449501223,-1.521802807166666,-0.84969350757468
CORN,DAP002,BACON ISLAND,San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
GRAIN,DAP002,BACON ISLAND,San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
PASTR,DAP002,BACON ISLAND,San Joaquin,1,Impact Other,All other crop farming,-1.95388218466662e-5,-0.318262507233386,-1,-0.524627567637684,-2.9570142465612597e-6,-0.144435200244331,-0.307759357687262,-0.191796375476918,-1.3960246349652701e-6,-0.0674568374724052,-0.21404344947940399,-0.13326956446007798,-2.389186072819273e-5,-0.5301545449501223,-1.521802807166666,-0.84969350757468
POTATO,DAP002,BACON ISLAND,San Joaquin,1,Impact Vegetables,Vegetable and melon farming,-3.27505377551483e-6,-0.184089617320493,-1,-0.524078027050527,-2.7219343425485597e-6,-0.135371865185767,-0.30019229136688297,-0.183399194326861,-9.8915476472245e-7,-0.0477741246373295,-0.151577988425403,-0.0943573525345072,-6.98614288278584e-6,-0.36723560714358955,-1.451770279792286,-0.8018345739118952
PRTOM,DAP002,BACON ISLAND,San Joaquin,1,Impact Vegetables,Vegetable and melon farming,-3.27505377551483e-6,-0.184089617320493,-1,-0.524078027050527,-2.7219343425485597e-6,-0.135371865185767,-0.30019229136688297,-0.183399194326861,-9.8915476472245e-7,-0.0477741246373295,-0.151577988425403,-0.0943573525345072,-6.98614288278584e-6,-0.36723560714358955,-1.451770279792286,-0.8018345739118952
RICE,DAP002,BACON ISLAND,San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
ALFAL,DAP003,BETHEL ISLAND,Contra Costa,1,Impact Other,All other crop farming,-5.73597249934705e-5,-0.715008641010094,-1,-0.5246275676376819,-2.90083291812427e-6,-0.15579746770658698,-0.437368361024276,-0.242701618752035,-2.22661177807522e-6,-0.13123374363614,-0.39506568422989796,-0.255101133112871,-6.248716968966999e-5,-1.002039852352821,-1.8324340452541739,-1.022430319502588
PASTR,DAP003,BETHEL ISLAND,Contra Costa,1,Impact Other,All other crop farming,-5.73597249934705e-5,-0.715008641010094,-1,-0.5246275676376819,-2.90083291812427e-6,-0.15579746770658698,-0.437368361024276,-0.242701618752035,-2.22661177807522e-6,-0.13123374363614,-0.39506568422989796,-0.255101133112871,-6.248716968966999e-5,-1.002039852352821,-1.8324340452541739,-1.022430319502588
CORN,DAP005,BISHOP TRACT (DLIS-14),San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
GRAIN,DAP005,BISHOP TRACT (DLIS-14),San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
OTHDEC,DAP005,BISHOP TRACT (DLIS-14),San Joaquin,1,Impact Fruit,Fruit farming,-4.2918017174673304e-6,-0.24433123699842,-1,-0.6317919606463891,-2.89358691689245e-6,-0.144992963895515,-0.24327875871941498,-0.172246151833646,-1.20837715967259e-6,-0.0583587866167376,-0.18515937716713202,-0.11525890453097801,-8.393765794032371e-6,-0.4476829875106726,-1.428438135886547,-0.9192970170110131
POTATO,DAP005,BISHOP TRACT (DLIS-14),San Joaquin,1,Impact Vegetables,Vegetable and melon farming,-3.27505377551483e-6,-0.184089617320493,-1,-0.524078027050527,-2.7219343425485597e-6,-0.135371865185767,-0.30019229136688297,-0.183399194326861,-9.8915476472245e-7,-0.0477741246373295,-0.151577988425403,-0.0943573525345072,-6.98614288278584e-6,-0.36723560714358955,-1.451770279792286,-0.8018345739118952
ALFAL,DAP006,BIXLER TRACT,Contra Costa,1,Impact Other,All other crop farming,-5.73597249934705e-5,-0.715008641010094,-1,-0.5246275676376819,-2.90083291812427e-6,-0.15579746770658698,-0.437368361024276,-0.242701618752035,-2.22661177807522e-6,-0.13123374363614,-0.39506568422989796,-0.255101133112871,-6.248716968966999e-5,-1.002039852352821,-1.8324340452541739,-1.022430319502588
ALPIS,DAP006,BIXLER TRACT,Contra Costa,1,Impact Trees,Tree nut farming,-2.98367920946115e-5,-1.36797232233383,-1,-0.67650529169849,-2.47217058148223e-6,-0.120482830758664,-0.270983630493968,-0.16543204846125398,-3.65547979800913e-6,-0.21568040626291898,-0.649964496577591,-0.419821956784297,-3.596444247410286e-5,-1.7041355593554128,-1.920948127071559,-1.261759296944041
CORN,DAP006,BIXLER TRACT,Contra Costa,1,Impact Grain,Grain farming,-3.3676928575342e-6,-1.27423224975198,-1,-0.749531247128236,-1.37500998933315e-6,-0.07303610421302399,-0.21742576628775498,-0.122374243492622,-3.73530850533142e-6,-0.219668339631037,-0.6598558803293,-0.42581157265065195,-8.47801135219877e-6,-1.566936693596041,-1.877281646617055,-1.29771706327151
GRAIN,DAP006,BIXLER TRACT,Contra Costa,1,Impact Grain,Grain farming,-3.3676928575342e-6,-1.27423224975198,-1,-0.749531247128236,-1.37500998933315e-6,-0.07303610421302399,-0.21742576628775498,-0.122374243492622,-3.73530850533142e-6,-0.219668339631037,-0.6598558803293,-0.42581157265065195,-8.47801135219877e-6,-1.566936693596041,-1.877281646617055,-1.29771706327151
OTHTRK,DAP006,BIXLER TRACT,Contra Costa,1,Impact Vegetables,Vegetable and melon farming,-7.75600018568327e-6,-0.47480636952824196,-1,-0.524078027050526,-2.6719982204528597e-6,-0.142568735611106,-0.394531837662187,-0.223973899481436,-1.62672385090662e-6,-0.0958014527512529,-0.288177440449533,-0.186039518422362,-1.205472225704275e-5,-0.7131765578906009,-1.6827092781117199,-0.9340914449543241
PASTR,DAP006,BIXLER TRACT,Contra Costa,1,Impact Other,All other crop farming,-5.73597249934705e-5,-0.715008641010094,-1,-0.5246275676376819,-2.90083291812427e-6,-0.15579746770658698,-0.437368361024276,-0.242701618752035,-2.22661177807522e-6,-0.13123374363614,-0.39506568422989796,-0.255101133112871,-6.248716968966999e-5,-1.002039852352821,-1.8324340452541739,-1.022430319502588
PRTOM,DAP006,BIXLER TRACT,Contra Costa,1,Impact Vegetables,Vegetable and melon farming,-7.75600018568327e-6,-0.47480636952824196,-1,-0.524078027050526,-2.6719982204528597e-6,-0.142568735611106,-0.394531837662187,-0.223973899481436,-1.62672385090662e-6,-0.0958014527512529,-0.288177440449533,-0.186039518422362,-1.205472225704275e-5,-0.7131765578906009,-1.6827092781117199,-0.9340914449543241
VINE,DAP006,BIXLER TRACT,Contra Costa,1,Impact Fruit,Fruit farming,-9.217307959844829e-6,-0.637401224996395,-1,-0.631733268986108,-2.79458634789507e-6,-0.13677681228163802,-0.307537778207712,-0.185326623076286,-2.05018218518091e-6,-0.120721165368574,-0.363082477387989,-0.234385788120987,-1.406207649292081e-5,-0.8948992026466069,-1.670620255595701,-1.0514456801833811
ALFAL,DAP007,BOULDIN ISLAND,San Joaquin,1,Impact Other,All other crop farming,-1.95388218466662e-5,-0.318262507233386,-1,-0.524627567637684,-2.9570142465612597e-6,-0.144435200244331,-0.307759357687262,-0.191796375476918,-1.3960246349652701e-6,-0.0674568374724052,-0.21404344947940399,-0.13326956446007798,-2.389186072819273e-5,-0.5301545449501223,-1.521802807166666,-0.84969350757468
CORN,DAP007,BOULDIN ISLAND,San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
GRAIN,DAP007,BOULDIN ISLAND,San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
ALFAL,DAP008,BRACK TRACT,San Joaquin,1,Impact Other,All other crop farming,-1.95388218466662e-5,-0.318262507233386,-1,-0.524627567637684,-2.9570142465612597e-6,-0.144435200244331,-0.307759357687262,-0.191796375476918,-1.3960246349652701e-6,-0.0674568374724052,-0.21404344947940399,-0.13326956446007798,-2.389186072819273e-5,-0.5301545449501223,-1.521802807166666,-0.84969350757468
CORN,DAP008,BRACK TRACT,San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
CUCUR,DAP008,BRACK TRACT,San Joaquin,1,Impact Vegetables,Vegetable and melon farming,-3.27505377551483e-6,-0.184089617320493,-1,-0.524078027050527,-2.7219343425485597e-6,-0.135371865185767,-0.30019229136688297,-0.183399194326861,-9.8915476472245e-7,-0.0477741246373295,-0.151577988425403,-0.0943573525345072,-6.98614288278584e-6,-0.36723560714358955,-1.451770279792286,-0.8018345739118952
GRAIN,DAP008,BRACK TRACT,San Joaquin,1,Impact Grain,Grain farming,-1.52081302996337e-6,-0.414052161705477,-1,-0.749344152567139,-1.4284571156747502e-6,-0.06955585366542791,-0.167418653466159,-0.09880079863954709,-1.62285722284017e-6,-0.0782505968650066,-0.24820814670081,-0.154397241702843,-4.57212736847829e-6,-0.5618586122359115,-1.415626800166969,-1.002542192909529
OTHDEC,DAP008,BRACK TRACT,San Joaquin,1,Impact Fruit,Fruit farming,-4.2918017174673304e-6,-0.24433123699842,-1,-0.6317919606463891,-2.89358691689245e-6,-0.144992963895515,-0.24327875871941498,-0.172246151833646,-1.20837715967259e-6,-0.0583587866167376,-0.18515937716713202,-0.11525890453097801,-8.393765794032371e-6,-0.4476829875106726,-1.428438135886547,-0.9192970170110131
OTHTRK,DAP008,BRACK TRACT,San Joaquin,1,Impact Vegetables,Vegetable and melon farming,-3.27505377551483e-6,-0.184089617320493,-1,-0.524078027050527,-2.7219343425485597e-6,-0.135371865185767,-0.30019229136688297,-0.183399194326861,-9.8915476472245e-7,-0.0477741246373295,-0.151577988425403,-0.0943573525345072,-6.98614288278584e-6,-0.36723560714358955,-1.451770279792286,-0.8018345739118952
PASTR,DAP008,BRACK TRACT,San Joaquin,1,Impact Other,All other crop farming,-1.95388218466662e-5,-0.318262507233386,-1,-0.524627567637684,-2.9570142465612597e-6,-0.144435200244331,-0.307759357687262,-0.191796375476918,-1.3960246349652701e-6,-0.0674568374724052,-0.21404344947940399,-0.13326956446007798,-2.389186072819273e-5,-0.5301545449501223,-1.521802807166666,-0.84969350757468
