Name,Region_ID,DLIS_ID
ATLAS TRACT,DAP001,1
BACON ISLAND,DAP002,2
BETHEL ISLAND,DAP003,3
BIG BREAK,DAP004,4
BISHOP TRACT/DLIS-14,DAP005,5
BIXLER TRACT,DAP006,6
BOULDIN ISLAND,DAP007,8
BRACK TRACT,DAP008,9
BRADFORD ISLAND,DAP009,10
BRANNAN-ANDRUS,DAP010,11
BROWNS ISLAND,DAP011,12
BYRON TRACT,DAP012,13
CACHE HAAS AREA,DAP013,14
CANAL RANCH TRACT,DAP014,15
CENTRAL STOCKTON,DAP015,34
CHIPPS ISLAND SOUTH,DAP016,17
CLIFTON COURT FOREBAY,DAP017,18
CONEY ISLAND,DAP018,19
DEAD HORSE ISLAND,DAP019,20
DECKER ISLAND,DAP020,21
DLIS-01 (PITTSBURG AREA),DAP021,22
DLIS-02 (ANTIOCH AREA),DAP022,23
DLIS-03 (LOWER SHERMAN ISLAND),DAP023,24
DLIS-04 (WEST ISLAND),DAP024,25
DLIS-05 (DONLON ISLAND),DAP025,26
DLIS-06 (OAKLEY AREA),DAP026,27
DLIS-07 (KNIGHTSEN AREA),DAP027,28
DLIS-08 (DISCOVERY BAY AREA),DAP028,29
DLIS-09 (BYRON AREA),DAP029,30
DLIS-10,DAP030,31
DLIS-12 (PARADISE CUT),DAP031,33
DLIS-15,DAP032,36
DLIS-16 (LODI),DAP033,37
DLIS-17,DAP034,38
DLIS-18,DAP035,39
DLIS-19 (GRIZZLY SLOUGH AREA),DAP036,40
DLIS-20 (YOLO BYPASS),DAP037,41
DLIS-21,DAP038,42
DLIS-22 (RIO VISTA),DAP039,43
DLIS-23 (GEORGIANA OXBOW),DAP040,44
DLIS-62,DAP042,83
DLIS-63 (GRIZZLY ISLAND AREA),DAP043,84
DLIS-64,DAP044,178
DREXLER POCKET,DAP045,85
DREXLER TRACT,DAP046,86
DUTCH SLOUGH,DAP047,87
EGBERT TRACT,DAP048,88
EHRHEARDT CLUB,DAP049,89
EMPIRE TRACT,DAP050,90
FABIAN TRACT,DAP051,91
FAY ISLAND,DAP052,92
FRANKS TRACT,DAP053,93
GLANVILLE,DAP054,94
GLIDE DISTRICT,DAP055,95
GRAND ISLAND,DAP056,96
HASTINGS TRACT,DAP057,97
HOLLAND TRACT,DAP058,98
HOLT STATION,DAP059,99
HONKER LAKE TRACT,DAP060,101
HOTCHKISS TRACT,DAP061,102
IDA ISLAND,DAP062,103
JERSEY ISLAND,DAP063,104
JONES TRACT (LOWER AND UPPER),DAP064,162
KASSON DISTRICT,DAP065,105
KING ISLAND,DAP066,106
KINGS ISLAND,DAP067,107
LIBBY MCNEIL,DAP068,108
LIBERTY ISLAND,DAP069,109
LISBON DISTRICT,DAP070,110
LITTLE EGBERT TRACT,DAP071,111
LITTLE FRANKS TRACT,DAP072,112
LITTLE MANDEVILLE ISLAND,DAP073,113
LONG ISLAND,DAP074,114
LOWER ROBERTS ISLAND,DAP075,116
MAINTENANCE AREA 9 NORTH,DAP076,117
MAINTENANCE AREA 9 SOUTH,DAP077,177
MANDEVILLE ISLAND,DAP078,118
MCCORMACK-WILLIAMSON TRACT,DAP079,119
MCDONALD ISLAND,DAP080,120
MCMULLIN RANCH,DAP081,121
MEDFORD ISLAND,DAP082,122
MERRITT ISLAND,DAP083,124
MIDDLE & UPPER ROBERTS ISLAND,DAP084,125
Middle Delta Extra,DAP085,0
MILDRED ISLAND,DAP086,126
MOSSDALE ISLAND,DAP087,127
NETHERLANDS,DAP088,128
NEW HOPE TRACT,DAP089,129
North Delta Extra,DAP090,0
NORTH STOCKTON,DAP091,145
PALM-ORWOOD,DAP092,130
PARADISE JUNCTION,DAP093,131
PEARSON DISTRICT,DAP094,132
PESCADERO DISTRICT,DAP095,133
PETERS POCKET,DAP096,134
PICO-NAGLEE,DAP097,135
PROSPECT ISLAND,DAP098,136
QUIMBY ISLAND,DAP099,137
RANDALL ISLAND,DAP100,138
RECLAMATION DISTRICT 17,DAP101,139
RINDGE TRACT,DAP102,140
RIO BLANCO TRACT,DAP103,141
RIVER JUNCTION,DAP104,142
ROUGH AND READY ISLAND,DAP105,143
RYER ISLAND,DAP106,144
SHERMAN ISLAND,DAP107,146
SHIMA TRACT,DAP108,147
SHIN KEE TRACT,DAP109,148
South Delta Extra,DAP110,0
STARK TRACT,DAP111,151
STATEN ISLAND,DAP112,152
STEWART TRACT,DAP113,153
SUTTER ISLAND,DAP114,155
TERMINOUS TRACT,DAP115,156
TWITCHELL ISLAND,DAP116,157
TYLER ISLAND,DAP117,158
UNION ISLAND EAST,DAP118,159
UNION ISLAND WEST,DAP119,160
UPPER ANDRUS ISLAND,DAP120,161
VEALE TRACT,DAP121,164
VENICE ISLAND,DAP122,165
VICTORIA ISLAND,DAP123,166
WALNUT GROVE,DAP124,167
WALTHALL,DAP125,168
WEBB TRACT,DAP126,169
WEST SACRAMENTO,DAP127,171
WETHERBEE LAKE,DAP128,172
WINTER ISLAND,DAP129,173
WOODWARD ISLAND,DAP130,174
WRIGHT-ELMWOOD TRACT,DAP131,175
YOLANO,DAP132,176
