NAME,DLIS_ID,AGENCYNAME
DREXLER POCKET,85,South Delta Water Agency
HONKER LAKE TRACT,101,Central Delta Water Agency
KASSON DISTRICT,105,South Delta Water Agency
BACON ISLAND,2,Central Delta Water Agency
MANDEVILLE ISLAND,118,Central Delta Water Agency
BRACK TRACT,9,Central Delta Water Agency
SHERMAN ISLAND,146,North Delta Water Agency
GRAND ISLAND,96,North Delta Water Agency
PETERS POCKET,134,North Delta Water Agency
YOLANO,176,North Delta Water Agency
TERMINOUS TRACT,156,Central Delta Water Agency
ROUGH AND READY ISLAND,143,
LIBBY MCNEIL,108,North Delta Water Agency
MERRITT ISLAND,124,North Delta Water Agency
BETHEL ISLAND,3,
BRANNAN-ANDRUS,11,North Delta Water Agency
TYLER ISLAND,158,North Delta Water Agency
PEARSON DISTRICT,132,North Delta Water Agency
BOULDIN ISLAND,8,Central Delta Water Agency
SUTTER ISLAND,155,North Delta Water Agency
WEST SACRAMENTO,171,North Delta Water Agency
PICO-NAGLEE,135,South Delta Water Agency
RINDGE TRACT,140,Central Delta Water Agency
EMPIRE TRACT,90,Central Delta Water Agency
HOLLAND TRACT,98,
WEBB TRACT,169,
BRADFORD ISLAND,10,
VENICE ISLAND,165,Central Delta Water Agency
PALM-ORWOOD,130,
KING ISLAND,106,Central Delta Water Agency
MEDFORD ISLAND,122,Central Delta Water Agency
SHIN KEE TRACT,148,Central Delta Water Agency
PARADISE JUNCTION,131,South Delta Water Agency
MCDONALD ISLAND,120,Central Delta Water Agency
WOODWARD ISLAND,174,Central Delta Water Agency
RIVER JUNCTION,142,South Delta Water Agency
PESCADERO DISTRICT,133,South Delta Water Agency
VICTORIA ISLAND,166,Central Delta Water Agency
BISHOP TRACT/DLIS-14,5,Central Delta Water Agency
MCMULLIN RANCH,121,South Delta Water Agency
MOSSDALE ISLAND,127,South Delta Water Agency
LITTLE EGBERT TRACT,111,North Delta Water Agency
STEWART TRACT,153,South Delta Water Agency
EHRHEARDT CLUB,89,North Delta Water Agency
RANDALL ISLAND,138,North Delta Water Agency
RYER ISLAND,144,North Delta Water Agency
UPPER ANDRUS ISLAND,161,North Delta Water Agency
DEAD HORSE ISLAND,20,North Delta Water Agency
STATEN ISLAND,152,North Delta Water Agency
FAY ISLAND,92,Central Delta Water Agency
FABIAN TRACT,91,South Delta Water Agency
SHIMA TRACT,147,Central Delta Water Agency
QUIMBY ISLAND,137,
BYRON TRACT,13,
LISBON DISTRICT,110,North Delta Water Agency
WETHERBEE LAKE,172,South Delta Water Agency
WALTHALL,168,South Delta Water Agency
RECLAMATION DISTRICT 17,139,South Delta Water Agency
GLIDE DISTRICT,95,North Delta Water Agency
CACHE HAAS AREA,14,North Delta Water Agency
CONEY ISLAND,19,
TWITCHELL ISLAND,157,North Delta Water Agency
RIO BLANCO TRACT,141,Central Delta Water Agency
JERSEY ISLAND,104,
DREXLER TRACT,86,Central Delta Water Agency
HOLT STATION,99,Central Delta Water Agency
WRIGHT-ELMWOOD TRACT,175,Central Delta Water Agency
NEW HOPE TRACT,129,North Delta Water Agency
CANAL RANCH TRACT,15,North Delta Water Agency
HOTCHKISS TRACT,102,
WINTER ISLAND,173,
ATLAS TRACT,1,Central Delta Water Agency
BIXLER TRACT,6,
EGBERT TRACT,88,North Delta Water Agency
STARK TRACT,151,South Delta Water Agency
NETHERLANDS,128,North Delta Water Agency
PROSPECT ISLAND,136,North Delta Water Agency
GLANVILLE,94,North Delta Water Agency
WALNUT GROVE,167,North Delta Water Agency
DUTCH SLOUGH,87,
MCCORMACK-WILLIAMSON TRACT,119,North Delta Water Agency
MAINTENANCE AREA 9 SOUTH,177,North Delta Water Agency
DLIS-05 (DONLON ISLAND),26,
DLIS-03 (LOWER SHERMAN ISLAND),24,
FRANKS TRACT,93,
LITTLE FRANKS TRACT,112,
BIG BREAK,4,
MILDRED ISLAND,126,Central Delta Water Agency
LITTLE MANDEVILLE ISLAND,113,Central Delta Water Agency
LIBERTY ISLAND,109,North Delta Water Agency
DLIS-20 (YOLO BYPASS),41,North Delta Water Agency
DLIS-12 (PARADISE CUT),33,South Delta Water Agency
DECKER ISLAND,21,North Delta Water Agency
IDA ISLAND,103,North Delta Water Agency
LONG ISLAND,114,North Delta Water Agency
DLIS-04 (WEST ISLAND),25,
BROWNS ISLAND,12,
CHIPPS ISLAND SOUTH,17,
JONES TRACT (LOWER AND UPPER),162,Central Delta Water Agency
UNION ISLAND EAST,159,South Delta Water Agency
UNION ISLAND WEST,160,South Delta Water Agency
MIDDLE & UPPER ROBERTS ISLAND,125,South Delta Water Agency
LOWER ROBERTS ISLAND,116,Central Delta Water Agency
DLIS-23 (GEORGIANA OXBOW),44,North Delta Water Agency
NORTH STOCKTON,145,
DLIS-16 (LODI),37,Central Delta Water Agency
DLIS-06 (OAKLEY AREA),27,
DLIS-09 (BYRON AREA),30,
DLIS-08 (DISCOVERY BAY AREA),29,
DLIS-07 (KNIGHTSEN AREA),28,
DLIS-02 (ANTIOCH AREA),23,
DLIS-01 (PITTSBURG AREA),22,
VEALE TRACT,164,
DLIS-10,31,
CENTRAL STOCKTON,34,
DLIS-15,36,Central Delta Water Agency
DLIS-17,38,Central Delta Water Agency
DLIS-18,39,Central Delta Water Agency
