g,i,year,omegaland,omegasupply,omegalabor,omegaestablish,omegacash,omeganoncash,omegatotal,xwater,p,y,xland
DAP001,ALFAL,2014,553,527,276,0,1182,608,1790,4.414817076,254.254,7.3,0.0
DAP001,ALPIS,2014,1092,1642,760,390,2820,1314,4133,4.083923885,8508.499999999998,1.15,0.0
DAP001,CORN,2014,678,593,162,0,1122,74,1196,1.8687501569999998,200.2,4.68,0.0
DAP001,COTTN,2014,567,886,152,0,1339,524,1862,3.576385485,2223.2209999999995,0.78,0.0
DAP001,CUCUR,2014,624,3340,3581,0,7603,145,7748,1.8852459940000001,345.35500999999994,42.0,0.0
DAP001,DRYBN,2014,299,519,358,0,1194,36,1230,1.702099738,1382.71133,1.34,0.0
DAP001,FRTOM,2014,402,1399,4793,0,6641,90,6731,1.897901056,563.563,16.11,0.0
DAP001,GRAIN,2014,317,319,135,0,614,188,801,0.43337286700000005,235.235,3.28,291.4238015
DAP001,ONGAR,2014,416,3216,1228,0,4900,187,5087,1.4957349080000002,272.28201,17.34,0.0
DAP001,OTHDEC,2014,1450,1648,1927,536,4047,1746,5793,3.184728218,3820.817,2.1,0.0
DAP001,OTHFLD,2014,155,293,86,0,652,17,669,3.1161745410000004,41.041000000000004,13.72,0.0
DAP001,OTHTRK,2014,617,5261,514,0,6015,822,6836,2.50866978,3030.9979699999994,1.83,0.0
DAP001,PASTR,2014,245,139,190,0,519,148,666,4.643786792,105.105,3.355,0.0
DAP001,POTATO,2014,583,2266,407,0,3187,268,3455,1.6592847769999999,552.5519999999998,19.41,0.0
DAP001,PRTOM,2014,582,1588,758,0,2987,185,3172,1.9569763569999998,83.08299999999998,44.79,0.0
DAP001,RICE,2014,550,819,318,0,1769,68,1837,3.1369094489999996,400.4,4.74,0.0
DAP001,SAFLR,2014,123,192,43,0,341,28,369,1.068963255,520.6000799999998,1.57,0.0
DAP001,SBEET,2014,374,725,344,0,1567,0,1567,3.7538385830000003,43.04299999999999,44.2,0.0
DAP001,SUBTRP,2014,794,875,2275,283,3525,980,4471,3.302832215,649.6489999999999,3.9,0.0
DAP001,VINE,2014,1664,1075,1662,1241,3476,2220,5695,2.460587332,590.5899999999998,8.0,0.0
