crop_code,internal_id,name,county,direct_jobs,direct_value_add,total_jobs,total_revenue,total_value_add
GRAIN,DAP001,Atlas Tract,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
ALFAL,DAP002,Bacon Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP002,Bacon Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP002,Bacon Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
PASTR,DAP002,Bacon Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
POTATO,DAP002,Bacon Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
PRTOM,DAP002,Bacon Island,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
RICE,DAP002,Bacon Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
ALFAL,DAP003,Bethel Island,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
PASTR,DAP003,Bethel Island,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
CORN,DAP005,Bishop Tract/Dlis-14,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP005,Bishop Tract/Dlis-14,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
OTHDEC,DAP005,Bishop Tract/Dlis-14,San Joaquin,4.3E-06,6.3E-01,8.4E-06,1.4E+00,9.2E-01
POTATO,DAP005,Bishop Tract/Dlis-14,San Joaquin,3.3E-06,5.2E-01,7.0E-06,1.5E+00,8.0E-01
ALFAL,DAP006,Bixler Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
ALPIS,DAP006,Bixler Tract,Contra Costa,3.0E-05,6.8E-01,3.6E-05,1.9E+00,1.3E+00
CORN,DAP006,Bixler Tract,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
GRAIN,DAP006,Bixler Tract,Contra Costa,3.4E-06,7.5E-01,8.5E-06,1.9E+00,1.3E+00
OTHTRK,DAP006,Bixler Tract,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
PASTR,DAP006,Bixler Tract,Contra Costa,5.7E-05,5.2E-01,6.2E-05,1.8E+00,1.0
PRTOM,DAP006,Bixler Tract,Contra Costa,7.8E-06,5.2E-01,1.2E-05,1.7E+00,9.3E-01
VINE,DAP006,Bixler Tract,Contra Costa,9.2E-06,6.3E-01,1.4E-05,1.7E+00,1.1E+00
ALFAL,DAP007,Bouldin Island,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
CORN,DAP007,Bouldin Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
GRAIN,DAP007,Bouldin Island,San Joaquin,1.5E-06,7.5E-01,4.6E-06,1.4E+00,1.0
ALFAL,DAP008,Brack Tract,San Joaquin,2.0E-05,5.2E-01,2.4E-05,1.5E+00,8.5E-01
