NAME,AGENCYNAME,DLIS_ID
ATLAS TRACT,Central Delta,1
BACON ISLAND,Central Delta,2
BETHEL ISLAND,West Delta,3
BIG BREAK,West Delta,4
BISHOP TRACT/DLIS-14,Central Delta,5
BIXLER TRACT,West Delta,6
BOULDIN ISLAND,Central Delta,8
BRACK TRACT,Central Delta,9
BRADFORD ISLAND,West Delta,10
BRANNAN-ANDRUS,North Delta,11
BROWNS ISLAND,West Delta,12
BYRON TRACT,West Delta,13
CACHE HAAS AREA,North Delta,14
CANAL RANCH TRACT,North Delta,15
CENTRAL STOCKTON,South Delta,34
CHIPPS ISLAND SOUTH,West Delta,17
CLIFTON COURT FOREBAY,,18
CONEY ISLAND,West Delta,19
DEAD HORSE ISLAND,North Delta,20
DECKER ISLAND,North Delta,21
DLIS-01 (PITTSBURG AREA),,22
DLIS-02 (ANTIOCH AREA),,23
DLIS-03 (LOWER SHERMAN ISLAND),,24
DLIS-04 (WEST ISLAND),,25
DLIS-05 (DONLON ISLAND),,26
DLIS-06 (OAKLEY AREA),,27
DLIS-07 (KNIGHTSEN AREA),,28
DLIS-08 (DISCOVERY BAY AREA),,29
DLIS-09 (BYRON AREA),,30
DLIS-10,West Delta,31
DLIS-12 (PARADISE CUT),South Delta,33
DLIS-15,Central Delta,36
DLIS-16 (LODI),Central Delta,37
DLIS-17,Central Delta,38
DLIS-18,Central Delta,39
DLIS-19 (GRIZZLY SLOUGH AREA),North Delta,40
DLIS-20 (YOLO BYPASS),North Delta,41
DLIS-21,North Delta,42
DLIS-22 (RIO VISTA),North Delta,43
DLIS-23 (GEORGIANA OXBOW),North Delta,44
DLIS-64,West Delta,178
DREXLER POCKET,South Delta,85
DREXLER TRACT,Central Delta,86
DUTCH SLOUGH,West Delta,87
EGBERT TRACT,North Delta,88
EHRHEARDT CLUB,North Delta,89
EMPIRE TRACT,Central Delta,90
FABIAN TRACT,South Delta,91
FAY ISLAND,Central Delta,92
FRANKS TRACT,West Delta,93
GLANVILLE,North Delta,94
GLIDE DISTRICT,North Delta,95
GRAND ISLAND,North Delta,96
HASTINGS TRACT,North Delta,97
HOLLAND TRACT,West Delta,98
HOLT STATION,Central Delta,99
HONKER LAKE TRACT,Central Delta,101
HOTCHKISS TRACT,West Delta,102
IDA ISLAND,North Delta,103
JERSEY ISLAND,West Delta,104
JONES TRACT (LOWER AND UPPER),Central Delta,162
KASSON DISTRICT,South Delta,105
KING ISLAND,Central Delta,106
KINGS ISLAND,Central Delta,107
LIBBY MCNEIL,North Delta,108
LIBERTY ISLAND,North Delta,109
LISBON DISTRICT,North Delta,110
LITTLE EGBERT TRACT,North Delta,111
LITTLE FRANKS TRACT,,112
LITTLE MANDEVILLE ISLAND,Central Delta,113
LONG ISLAND,North Delta,114
LOWER ROBERTS ISLAND,Central Delta,116
MAINTENANCE AREA 9 NORTH,North Delta,117
MAINTENANCE AREA 9 SOUTH,North Delta,177
MANDEVILLE ISLAND,Central Delta,118
MCCORMACK-WILLIAMSON TRACT,North Delta,119
MCDONALD ISLAND,Central Delta,120
MCMULLIN RANCH,South Delta,121
MEDFORD ISLAND,Central Delta,122
MERRITT ISLAND,North Delta,124
MIDDLE & UPPER ROBERTS ISLAND,South Delta,125
Middle Delta Extra,Central Delta,-2
MILDRED ISLAND,Central Delta,126
MOSSDALE ISLAND,South Delta,127
NETHERLANDS,North Delta,128
NEW HOPE TRACT,North Delta,129
North Delta Extra,North Delta,-1
NORTH STOCKTON,Central Delta,145
PALM-ORWOOD,West Delta,130
PARADISE JUNCTION,South Delta,131
PEARSON DISTRICT,North Delta,132
PESCADERO DISTRICT,South Delta,133
PETERS POCKET,North Delta,134
PICO-NAGLEE,South Delta,135
PROSPECT ISLAND,North Delta,136
QUIMBY ISLAND,West Delta,137
RANDALL ISLAND,North Delta,138
RECLAMATION DISTRICT 17,South Delta,139
RINDGE TRACT,Central Delta,140
RIO BLANCO TRACT,Central Delta,141
RIVER JUNCTION,South Delta,142
ROUGH AND READY ISLAND,Central Delta,143
RYER ISLAND,North Delta,144
SHERMAN ISLAND,North Delta,146
SHIMA TRACT,Central Delta,147
SHIN KEE TRACT,Central Delta,148
South Delta Extra,South Delta,-3
STARK TRACT,South Delta,151
STATEN ISLAND,North Delta,152
STEWART TRACT,South Delta,153
SUTTER ISLAND,North Delta,155
TERMINOUS TRACT,Central Delta,156
TWITCHELL ISLAND,North Delta,157
TYLER ISLAND,North Delta,158
UNION ISLAND EAST,South Delta,159
UNION ISLAND WEST,South Delta,160
UPPER ANDRUS ISLAND,North Delta,161
VEALE TRACT,West Delta,164
VENICE ISLAND,Central Delta,165
VICTORIA ISLAND,Central Delta,166
WALNUT GROVE,North Delta,167
WALTHALL,South Delta,168
WEBB TRACT,West Delta,169
WEST SACRAMENTO,North Delta,171
WETHERBEE LAKE,South Delta,172
WOODWARD ISLAND,Central Delta,174
WRIGHT-ELMWOOD TRACT,Central Delta,175
YOLANO,North Delta,176
