g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,,pc,pimarginal
TRC02-CC-WAs,Alfalfa,San Joaquin River,160.8228498,281,6.7,4.134965358,0.306290873,206.74826789999997,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1675.287002,8.644818018,1675.287002,385.7163598,1289.570643,-4.882352941,0.007860775,0.992137544,0.012009505230521716,0.015242615484271678,2.543266983132194,0.003343023,225381.00820774617,160.82260778537903,664.9952019867183,0.000242015,0.001710711,1.5048522101605422e-06,2.5725098661935224e-06,GOOD,1.939072961544676,1.5277763122781245,,281,1027.284099
TRC02-CC-WAs,Almonds & Pistachios,San Joaquin River,173.7257829,4883,1.2,4.125499535,0.287448101,206.2749768,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,5652.64423,26.965043945664668,5652.64423,385.7163598,5266.92787,-4.882352941,0.02637807,0.9736200948713701,0.025350764710969052,0.080450407,0.5741367948986098,0.014390495,30044.787474528137,173.72576916747818,716.7048729352097,1.3732521836118394e-05,0.000763636,7.90471144057132e-08,1.0654810181241163e-06,GOOD,3.0498974152879694,0.9610545813701002,,4883,5007.983112
TRC02-CC-WAs,Citrus & Subtropical,San Joaquin River,268.0468524,933,3.6,3.247465856,0.183365181,162.3732928,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,3195.74045,19.617723303371225,3195.74045,385.7163598,2810.02409,-4.882352941,0.058907246212131316,0.9410834844771221,0.081902114,0.029113953,2.0362492143992172,0.028697624,44.685401224817895,268.04684259378627,870.4720959212705,9.806213711271994e-06,0.000905056,3.6583953974726824e-08,1.039728975035198e-06,GOOD,0.49423381869050864,1.3903572019867076,,933,2830.46938
TRC02-CC-WAs,Corn,San Joaquin River,276.3050338,59,27.1,2.415829265,0.234536008,120.7914633,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,1477.228776,12.515382455355429,1477.228776,385.7163598,1091.512416,-4.882352941,0.14154713132592708,0.8583910534399068,0.059649214,0.374386554,18.453710581229604,0.012063961656761294,3228.373448930482,276.3049917391421,667.5049988098725,4.2060857879278046e-05,0.000787911,1.5222617301182897e-07,1.1803807507676348e-06,GOOD,2.644960375498291,0.4214088525991567,,59,1305.499693
TRC02-CC-WAs,Cucurbits,San Joaquin River,326.5079816,203,12,2.299627126,0.087908733,114.98135629999999,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,2320.0483831340002,20.00834540048819,2320.0483831340002,385.7163598,1934.332023,-4.882352941,0.25706394645507785,0.7428382916827645,0.098776054,0.034576504,9.176584256961515,0.061254245,6.509159700168842e-05,326.5079772040457,750.8458506498804,4.395954306346539e-06,0.000760693,1.346354317222161e-08,1.0131136999049862e-06,GOOD,0.13450545739469513,0.38424701518246485,,203,2166.043383
TRC02-CC-WAs,Dry Beans,San Joaquin River,12.64501867,1752,1.3,2.212101358,0.272510229,110.6050679,0.8579188204514863,0.0413722,1.68,0.17,521.9411016,903.6303871,214.6292221,50,2166.1327210739996,19.459906781997343,2166.1327210739996,385.7163598,1780.416361,-4.882352941,0.28872973696067933,0.7111916700994851,0.16272707643588152,0.7410177533837519,1.0183426341729915,0.047072931,20859.705898637603,12.645012759619597,27.972033972964784,5.910380403761906e-06,2.89988775712402e-05,4.674078036582215e-07,1.036708575997111e-06,GOOD,2.5664753522934403,0.5635965250716192,,1752,2031.758578
TRC02-CC-WAs,Grain,San Joaquin River,529.1175685,164,2.5,0.466656841,0.351483763,23.33284205,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,385.7163598,16.079804662496404,385.7163598,385.7163598,0,-4.882352941,0.9969937457477995,0.001458566,0.7205097397924388,3.1023777916232085,2.5294268245072735,0.002553972,35.62909030107439,529.1188627439412,246.91669612432352,-0.001294244,-0.000363091,2.4460422755518217e-06,1.4705001811332655e-06,GOOD,3.1117324505343373,0.7226823065494933,,164,398.0507936
TRC02-CC-WAs,Pasture,San Joaquin River,1345.535872,276,5,4.600187047,0.350906068,46.00187047,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,10,1333.302143,28.144454633191646,1333.302143,385.7163598,947.5857833,-4.882352941,0.016561843137045708,0.983433872,0.03058538,0.03747849,2.1739416021473135,0.001457252,91556.03609929382,1345.535020586896,6189.681831976693,0.000851413,0.034857672,6.327687886969323e-07,5.6315455626746695e-06,GOOD,2.262942000342034,1.8467377139832826,,276,1167.860469
TRC02-CC-WAs,Safflower,San Joaquin River,34.51428908,574,1.3,2.40565496,0.396694215,24.0565496,0.4537037030434028,0.032158708,0.74,0.17,212.2655769,227.006242,60.43672676,10,721.2095661029999,28.437548127244778,721.2095661029999,385.7163598,335.4932063,-4.882352941,0.2921276931477399,0.7076548363173354,0.2731583626653132,1.0260094628345773,1.0173338142640564,0.039153387984294866,2220.9724056843143,34.51424719,83.02901624064513,4.188954789441368e-05,0.000454476,1.2136871136855439e-06,5.473665275500595e-06,GOOD,3.5121951355556216,0.9350649358914657,,574,687.4456855
TRC02-CC-WAs,Tomato Processing,San Joaquin River,429.1841032,101,43.3,2.379660861,0.124471553,118.9830431,2.283636824869254,0.28639447182202826,0.74,0.17,657.2463564,2815.18314,996.9547547,50,4253.470529742999,34.758124275395524,4253.470529742999,385.7163598,3867.75417,-4.882352941,0.34156133537662675,0.658380692,0.079742572,0.22517565855206298,34.94636489727694,0.003148652,318026.82348847116,429.1840585575527,1021.311501923709,4.464244727842015e-05,0.001110625,1.040170102889779e-07,1.0874483504473003e-06,GOOD,0.6592539471827814,0.23346486717761028,,101,4087.466206
