g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
201,Almonds & Pistachios,Sacramento River,438.2654762,4587.35172,0.684,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,2956.38415,16.476946630438565,2956.38415,400.9312643,2555.452886,-4.882352941,0.029961827197054102,0.970034187,3.030934812906102e-06,9.550792669865926e-07,0.3375323020471013,0.005704305,36777.12488058575,438.26539709953425,1583.7425210078293,7.910046576853347e-05,0.005452541,1.804852767650729e-07,3.4428082860038062e-06,GOOD,4816.719306,2014.199365
201,Grain,Sacramento River,866.6494883,210.012249,3.226,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000004,637.0955852,15.96967501997988,637.0955852,400.9312643,236.1643208,-4.882352941,0.9800009338320137,0.019077689851267822,0.000747722,0.000173654,3.2530286824513706,0.001559282,39269.098957528186,866.6533047547815,683.8415196506312,-0.003816455,-0.000786458,4.403688957310892e-06,1.1500601615310687e-06,GOOD,220.5128615,621.3143324
201,Safflower,Sacramento River,143.5234964,529.2418762,0.982,2.357007476,0.396694215,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,50,117.85037380000001,400.93126433139986,4.166942422735261,400.93126433139986,400.9312643,0,-4.882352941,0.04922853,0.9507055764193503,5.203931174652669e-05,1.3854621917071828e-05,0.5587873785842732,0.009415541,10.907523508392009,143.51977352097782,338.2758467214823,0.003722879,0.010107274976803637,2.5939160594317114e-05,2.9877903168599874e-05,GOOD,555.70397,353.7911148
502,Almonds & Pistachios,Sacramento River,32.60965224,4899.886629,0.738,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,3434.751906,18.988951588336217,3434.751906,3434.751906,0,-4.882352941,0.034641503,0.965354531,3.0163129233658676e-06,9.504717566288701e-07,0.3745478208273965,0.076664418,0.3077722062787585,32.60965099087734,117.83599125601506,1.249122661306501e-06,0.004617822,3.830530458016626e-08,3.918701637209139e-05,GOOD,5144.88096,3362.478452
502,Vineyard,Sacramento River,16.85103927,1742.211218,9.614595983,2.661751325,0.302297005,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50,133.0875663,16616.762555464335,119.14616254640546,16616.762555464335,3434.751906,13182.01065,-4.882352941,0.5118476406770436,0.4881368176168081,6.175173665837915e-06,9.366532482398918e-06,8.395947499649226,0.4564886218028315,13.177556187125303,16.851041011082977,44.85161403051359,-1.74E-06,0.001662074,1.0332199383512605e-07,3.7055800162163596e-05,GOOD,1829.321779,16563.52753
503,Alfalfa,Sacramento River,2691.711112,268.0878386,6.327,3.537610105,0.306290873,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.8805053,1518.64652,9.098643052782966,1518.64652,462.5644357,1056.082084,-4.882352941,0.017665508642779756,0.9823303226925834,2.3316112831240334e-06,1.8370533540726851e-06,2.831343773184278,0.000199737,3089394.351,2691.7101424442135,9522.215855289487,0.000969556,0.008574262,3.602005364344037e-07,9.004474283412485e-07,GOOD,281.4922305,1447.894318
503,Almonds & Pistachios,Sacramento River,35086.97603,4715.418786,1.008,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,4571.77771,24.95970196387254,4571.77771,462.5644357,4109.213274,-4.882352941,0.04558541,0.9544106685802307,2.982118115635481e-06,9.396966149917686e-07,0.539780494,7.125150933105362e-05,4734332.848,35086.97529410514,126792.77954045651,0.000735895,0.0668121,2.0973447705697733e-08,5.269390309099536e-07,GOOD,4951.189725,4499.504256
503,Citrus & Subtropical,Sacramento River,4823.898921,1103.604192,3.661,2.972946835,0.183365181,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50,148.6473418,3890.9613475039996,25.767141250824647,3890.9613475039996,462.5644357,3428.396912,-4.882352941,0.11357631111749923,0.8864090102527804,3.8494692696254e-06,1.0829160450879058e-05,2.3629270519856433,0.001594625,981.1357263061666,4823.898898373531,14341.187742092636,2.2626469217357226e-05,0.007287454,4.690494056344516e-09,5.081483247585112e-07,GOOD,1158.784402,3831.502411
503,Corn,Sacramento River,2768.171547,227.331246,5.7615,2.826875063,0.234536008,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.3437532,1167.54546,8.770694709,1167.54546,462.5644357,704.981024,-4.882352941,0.049173928538670274,0.9507989017498691,2.3435798131755383e-05,3.7339133288860405e-06,3.182618266180962,0.001204164,20892.37768121939,2768.171426,7825.270535173096,0.000121035,0.004581147,4.372367387671498e-08,5.854295560575959e-07,GOOD,238.6978083,1111.007958
503,Cucurbits,Sacramento River,139.9933662,202.6283347,12.01,1.97136542,0.087908733,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50,98.568271,2334.027768,23.284271465251383,2334.027768,462.5644357,1871.463332,-4.882352941,0.462702284,0.5371228037884894,4.535245337834478e-05,0.00012956,10.344317035693246,0.14286391236158444,2.700160283024338e-05,139.99336627428897,275.9779715208456,-7.43E-08,0.000109635,5.306606931778581e-10,3.972606473821517e-07,GOOD,212.7597514,2294.60046
