g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,,pc,pimarginal
201,Almonds & Pistachios,Sacramento River,438.2654762,4587,0.7,3.61367267,0.287448101,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,3029.535573,16.86107941606532,3029.535573,504.4960409,2525.039532,-4.882352941,0.030680373887585363,0.9693156430509374,0.029485513882811506,0.093571993,0.34700947,0.005704305,36339.47647399432,438.2653704637571,1583.7408634235483,0.000105736,0.007110125,2.412607167507023e-07,4.4894295342734395e-06,GOOD,3.0498974152879694,0.9610545813701002,,4587,2557.338924
201,Grain,Sacramento River,866.6494883,210,3.2,0.78906264,0.351483763,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000004,631.5960699,15.840043234697086,631.5960699,504.4960409,127.1000289,-4.882352941,0.9798304025709358,0.019240364572250545,0.7081060953572824,3.048970059700104,3.2270357709681083,0.001559282,21160.979382404257,866.6586672559476,683.8450825621998,-0.009178956,-0.00434937,1.0591312948933412e-05,6.360208366553862e-06,GOOD,3.1117324505343373,0.7226823065494933,,210,639.8082314
201,Safflower,Sacramento River,143.5234964,529,1,2.357007476,0.396694215,0.4537037030434028,0.032158708,0.74,0.17,212.2655769,227.006242,60.43672676,10,23.57007476,504.4960409429999,20.560331603459872,504.4960409429999,504.4960409,0,-4.882352941,0.2456270364875981,0.7541116240264397,0.2296772291264866,0.8626900827126852,0.7572961302046994,0.009415541,10.907523508392009,143.51443764623045,338.25763892143846,0.009058754,0.028315075020657332,6.311686934036559e-05,8.370159826663601e-05,GOOD,3.5121951355556216,0.9350649358914657,,529,472.562601
502,Almonds & Pistachios,Sacramento River,32.60965224,4900,0.7,3.61367267,0.287448101,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,3248.6355734090002,18.01161743,3248.6355734090002,3248.635573,0,-4.882352941,0.032826179,0.9671698466508318,0.03154775,0.10011647880638153,0.3515732453326973,0.076664418,0.3077722062787585,32.60965118150544,117.83586519734712,1.0584945613345553e-06,0.004743881,3.245954766841007e-08,4.0256755139833946e-05,GOOD,3.0498974152879694,0.9610545813701002,,4900,2776.438924
502,Vineyard,Sacramento River,16.85103927,1849.908129,10.02560391,2.661751325,0.302297005,0.1329510358537938,0.3058799853780738,0.13,0.17,2773.231975,2743.166444,4105.247296,50,133.0875663,18412.55174858718,131.9194759383738,18412.55174858718,3248.635573,15163.91618,-4.882352941,0.5374343884275526,0.46255088449252635,0.8103945494894814,0.5342774490292846,8.841359415424625,0.4564886218028315,15.158746553552406,16.851040820303247,44.85157390240912,-1.55E-06,0.001702202,9.200045296545382e-08,3.795045285982672e-05,GOOD,0.9941259073363267,1.5078948555200695,,1849.908129,18191.45904
503,Alfalfa,Sacramento River,2691.711112,265.8784159,6.37071947,3.537610105,0.306290873,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.8805053,1516.2915658388877,9.086010704023955,1516.2915658388877,525.4315784,990.8599874,-4.882352941,0.017638603482718524,0.9823572277384688,0.026947841,0.034202539092747244,2.8501131517224754,0.000199737,2898653.1593453856,2691.7090056200245,9522.211522298512,0.00210638,0.012907253474622848,7.825431065167638e-07,1.3554872152105037e-06,GOOD,1.939072961544676,1.5277763122781245,,265.8784159,1067.583563
503,Almonds & Pistachios,Sacramento River,35086.97603,4756.53042,0.765099558,3.61367267,0.287448101,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,3457.8548953645545,19.110270017743307,3457.8548953645545,525.4315784,2932.423317,-4.882352941,0.034866366940489224,0.9651296671988281,0.033508481683888175,0.10633884241227999,0.38878959908811117,7.125150933105362e-05,3378616.977722625,35086.973979039714,126792.7701,0.00205096,0.076297327,5.8453606315763376e-08,6.017478847200708e-07,GOOD,3.0498974152879694,0.9610545813701002,,4756.53042,2985.658246
503,Citrus & Subtropical,Sacramento River,4823.898921,1103.5,3.7,2.972946835,0.183365181,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,148.6473418,3933.616401,26.039175543474485,3933.616401,525.4315784,3408.184822,-4.882352941,0.1146785655202143,0.8853067741027186,0.15944416948453446,0.056678025,2.3926314625960314,0.001594625,975.3517569651232,4823.898860059392,14341.187194340222,6.094060790928779e-05,0.007835207,1.2633060706142394e-08,5.463426602072976e-07,GOOD,0.49423381869050864,1.3903572019867076,,1103.5,3640.00046
503,Corn,Sacramento River,2768.171547,228.3141834,5.782854585,2.826875063,0.234536008,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.3437532,1178.084208188221,8.841266044442081,1178.084208188221,525.4315784,652.6526298,-4.882352941,0.049595694,0.9503771480525711,0.020900064623705937,0.1311786461867185,3.1993713906758163,0.001204164,19342.121791484253,2768.1711539366843,7825.269515,0.000393063,0.005601192,1.4199384285539158e-07,7.157821559162491e-07,GOOD,2.644960375498291,0.4214088525991567,,228.3141834,919.157836
503,Cucurbits,Sacramento River,139.9933662,203,12,1.97136542,0.087908733,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,98.568271,2336.461468,23.307557018376357,2336.461468,525.4315784,1811.02989,-4.882352941,0.46296137435757323,0.5368637974015752,0.17789152624166923,0.062270831,10.336798954200367,0.14286391236158444,2.6129705884943427e-05,139.99336550855784,275.9779656129487,6.914421533110726e-07,0.000115543,4.9391065596869166e-09,4.186677709216013e-07,GOOD,0.13450545739469513,0.38424701518246485,,203,2236.143548
