Name,Subregion,Basin_Subb
Shasta Pit,501,501-0
Upper Northeast Valley,502,502-0
Lower Northeast Valley,503,503-0
Northeast Valley,504,504-0
Southwest Valley, 505,505-0
Colusa Basin,506,506-0
Butte-Sutter-Yuba,507,507-0
Southeast Valley,508,508-0
Central Basin West,509,509-0
Sacramento Delta,510,510-0
Central Basin East,511,511-0
Uplands,707,707-0
Semitropic,708,708-0
Kern Valley Floor,709,709-0
Kern Delta,710,710-0
Northern Planning Area,201,201-0
Southern Planning Area,202,202-0
Upper West Side Uplands
Upper Klamath,101,101-0
Lower Klamath,102,102-0
Coastal,103,103-0
Russian River,104,104-0
North Bay,201,201-0
South Bay,202,202-0
Northern,301,301-0
Southern,302,302-0
Santa Clara,401,401-0
Metropolitan LA,402,402-0
Santa Ana,403,403-0
San Diego,404,404-0
Shasta-Pit,501,501-0
Upper Northwest Valley,502,502-0
Lower Northwest Valley,503,503-0
Northeast Valley,504,504-0
Southwest,505,505-0
Colusa Basin,506,506-0
Butte-Sutter-Yuba,507,507-0
Southeast,508,508-0
Central Basin West,509,509-0
Sacramento Delta,510,510-0
Central Basin East,511,511-0
Upper West Side Uplands,601,601-0
San Joaquin Delta,602,602-0
Eastern Valley Floor,603,603-0
Sierra Foothills,604,604-0
Valley West Side,606,606-0
Upper Valley East Side,607,607-0
Middle Valley East Side,608,608-0
Lower Valley East Side,609,609-0
East Side Uplands,610,610-0
San Luis West Side,702,702-0
Lower Kings-Tulare,703,703-0
Fresno- Academy,704,704-0
Alta-Orange Cove,705,705-0
Kaweah Delta,706,706-0
Uplands,707,707-0
Semitropic-Buena Vista,708,708-0
Kern Valley Floor,709,709-0
Kern Delta,710,710-0
Lassen,801,801-0
Alpine,802,802-0
Mono-Owens,901,901-0
Indian Wells,902,902-0
Death Valley,903,903-0
Antelope Valley,904,904-0
Mojave River,905,905-0
Lanfair,1001,1001-0
Coachella,1002,1002-0
Chuckwalla,1003,1003-0
Colorado River,1004,1004-0
Borrego,1005,1005-0
Imperial Valley,1006,1006-0
