code,name
Alfalfa,Alfalfa
Almonds & Pistachios,Almonds & Pistachios
Dry Beans,Beans Dry
Berries,Berries
Corn,Corn
Cotton,Cotton
Cucurbits,Cucurbits
Grain,Grain
Grapes Table,Grapes Table
Grapes Wine,Grapes Wine
Lettuce,Lettuce
Onions & Garlic,Onions & Garlic
Orchards,Orchards
Other Deciduous,Other Deciduous
Pasture,Pasture
Potatoes,Potatoes
Rice,Rice
Safflower,Safflower
Citrus & Subtropical,Citrus & Subtropical
Sunflowers,Sunflowers
Tomatoes Fresh,Tomatoes Fresh
Tomato Processing,Tomato Processing
Truck Crops,Truck Crops
Walnuts,Walnuts
Vineyard,Vineyard
