g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,692.4817265,281,6.7,4.134965358,0.306290873,50,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50
BANTA-CARBONA I.D.,Almonds & Pistachios,San Joaquin River,6944.405664,4883.344789,1.202182209,4.124104363,0.287448101,50,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50
BANTA-CARBONA I.D.,Citrus & Subtropical,San Joaquin River,160.6387081,933,3.6,3.247465856,0.183365181,50,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50
BANTA-CARBONA I.D.,Corn,San Joaquin River,282.9171526,59,27.1,2.415829265,0.234536008,50,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,324.6611668,203,12,2.299627126,0.087908733,50,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50
BANTA-CARBONA I.D.,Dry Beans,San Joaquin River,1248.750059,1752,1.3,2.212101358,0.272510229,50,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50
BANTA-CARBONA I.D.,Grain,San Joaquin River,72.81367026,164,2.5,0.466656841,0.351483763,50,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50
BANTA-CARBONA I.D.,Other Deciduous,San Joaquin River,5966.793346,1941.520674,2.07538957,3.445837194,0.215021845,50,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50
BANTA-CARBONA I.D.,Pasture,San Joaquin River,8.53927993,276,5,4.600187047,0.350906068,50,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50
BANTA-CARBONA I.D.,Safflower,San Joaquin River,52.20934812,574,1.3,2.40565496,0.396694215,50,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,50
