g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supply
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,692.4817265,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
BANTA-CARBONA I.D.,Almonds,San Joaquin River,6315.972311,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
BANTA-CARBONA I.D.,Beans Dry,San Joaquin River,1091.581927,1593.773361,1.285477627,2.212101358,174.4872303,50,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516
BANTA-CARBONA I.D.,Corn,San Joaquin River,282.9171527,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,324.6611668,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
BANTA-CARBONA I.D.,Field and Grain,San Joaquin River,72.81367026,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
BANTA-CARBONA I.D.,Grapes,San Joaquin River,335.2514675,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166
BANTA-CARBONA I.D.,Orchards,San Joaquin River,497.9977299,4762.917744,3.247388671,3.445837194,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127
BANTA-CARBONA I.D.,Pasture,San Joaquin River,8.53927993,226.9343417,5.0,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702
BANTA-CARBONA I.D.,Pistachios,San Joaquin River,30.19805286,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
BANTA-CARBONA I.D.,Safflower,San Joaquin River,52.20934812,575.1459791,1.245291589,2.40565496,140.0879783,50,80.89587427,303.852797,0.74,50,0.195592287,0.424242424,0.112947658
BANTA-CARBONA I.D.,Subtropical,San Joaquin River,160.0544714,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361
BANTA-CARBONA I.D.,Tomatoes,San Joaquin River,750.894725,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875
BANTA-CARBONA I.D.,Truck,San Joaquin River,43.2080525,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
BANTA-CARBONA I.D.,Walnuts,San Joaquin River,2723.547312,1802.497789,1.658526763,4.952669773,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664
BROADVIEW W.D.,Field and Grain,San Joaquin River,2599.513597,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702
BROADVIEW W.D.,Onions and Garlic,San Joaquin River,248.9715927,1579.216395,6.547714821,1.480822037,1660.207972,50,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415
Byron Bethany (CVP),Alfalfa,San Joaquin River,68.96354348,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
