g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,sigma,CS_land,CS_labor,CS_supply
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,1136.600343,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
CENTRAL CALIFORNIA I.D.,Alfalfa,San Joaquin River,15502.5206,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
CITY OF TRACY,Alfalfa,San Joaquin River,154.9026085,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
COLUMBIA CANAL CO.,Alfalfa,San Joaquin River,135.399622,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
FIREBAUGH CANAL W.D.,Alfalfa,San Joaquin River,746.7873738,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
FRESNO SLOUGH W.D.,Alfalfa,Tulare Lake,67.73993738,279.620574,8.447932227,4.52,665.8443232,50,356.4707553,440.2816094,1.86,50,0.17,0.281872792,0.186385019,0.150905255
GRASSLANDS W.D.,Alfalfa,San Joaquin River,312.2935051,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
HENRY MILLER RECLAMATION DIST. 2131,Alfalfa,San Joaquin River,3600.08608,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
JAMES I.D.,Alfalfa,Tulare Lake,227.3565798,279.620574,8.447932227,4.52,665.8443232,50,356.4707553,440.2816094,1.86,50,0.17,0.281872792,0.186385019,0.150905255
LAGUNA W.D.,Alfalfa,San Joaquin River,179.8933666,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
PANOCHE W.D.,Alfalfa,San Joaquin River,708.9394652,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
PATTERSON W.D.,Alfalfa,San Joaquin River,1507.844487,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
PLEASANT VALLEY W.D.,Alfalfa,Tulare Lake,82.24043533,279.620574,8.447932227,4.52,665.8443232,50,356.4707553,440.2816094,1.86,50,0.17,0.281872792,0.186385019,0.150905255
SAN LUIS W.D.,Alfalfa,San Joaquin River,340.1407355,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
SANTA CLARA VALLEY W.D.,Alfalfa,San Francisco Bay,51.44895924,261.3108833,4.962762579,3.85,365.539366,50,195.6975367,241.7085417,1.86,50,0.17,0.281872792,0.186385019,0.150905255
THE WEST SIDE I.D.,Alfalfa,San Joaquin River,256.8128433,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
TRANQUILLITY I.D.,Alfalfa,Tulare Lake,175.7310436,279.620574,8.447932227,4.52,665.8443232,50,356.4707553,440.2816094,1.86,50,0.17,0.281872792,0.186385019,0.150905255
Turner Island Water District,Alfalfa,San Joaquin River,170.9672097,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
WEST STANISLAUS I.D.,Alfalfa,San Joaquin River,135.0036879,290.4258221,6.981811447,4.13,571.5529897,50,305.9903326,377.9325908,1.86,50,0.17,0.281872792,0.186385019,0.150905255
WESTLANDS W.D.,Alfalfa,Tulare Lake,1536.386533,279.620574,8.447932227,4.52,665.8443232,50,356.4707553,440.2816094,1.86,50,0.17,0.281872792,0.186385019,0.150905255
BANTA-CARBONA I.D.,Almonds,San Joaquin River,7003.788882,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
Byron Bethany (CVP),Almonds,San Joaquin River,1076.12308,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
CENTRAL CALIFORNIA I.D.,Almonds,San Joaquin River,33821.37262,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
COLUMBIA CANAL CO.,Almonds,San Joaquin River,10935.78501,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
DEL PUERTO WATER DISTRICT,Almonds,San Joaquin River,21532.32722,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
FIREBAUGH CANAL W.D.,Almonds,San Joaquin River,1905.470631,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
HENRY MILLER RECLAMATION DIST. 2131,Almonds,San Joaquin River,2652.04422,4775.762292,1.018616781,4.13,1058.311098,50,455.3980167,1465.658482,0.4,50,0.17,0.217550368,0.301286212,0.093613311
JAMES I.D.,Almonds,Tulare Lake,10105.66119,4875.001978,1.131453803,4.14,1199.972916,50,516.3560008,1661.846395,0.4,50,0.17,0.217550368,0.301286212,0.093613311
