g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,745.16149,290.4258221,6.981811447,4.134965358,571.5529894,206.7482679,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255,565.4741469,1.320687545,565.4741469,0.17,68.61215883,496.8619881,-4.882352941,0.005330553,0.991463115,0.001434528,0.001771804,2.690447431,0.000721501,864991.1364,745.161285,3081.213947,0.000205015,0.003000041,2.75E-07,9.74E-07,GOOD,290.4258221,565.4741469
BANTA-CARBONA I.D.,Almonds,San Joaquin River,6585.68131,4775.762292,1.018616781,4.125499535,1058.3111,206.2749768,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,1679.029036,1.454344131,1679.029036,0.17,68.61215883,1610.416877,-4.882352941,0.012832728,0.978161305,0.002134919,0.006871048,0.469576695,0.000379611,577070.41,6585.681156,27169.2067,0.000154273,0.018485772,2.34E-08,6.80E-07,GOOD,4775.762292,1679.029036
BANTA-CARBONA I.D.,Beans Dry,San Joaquin River,652.9829683,1593.773361,1.285477627,2.212101358,174.4872303,110.6050679,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,585.5199417,1.333479076,585.5199417,0.17,68.61215883,516.9077828,-4.882352941,0.10447712,0.733564561,0.020010397,0.141947922,0.991633901,0.000911568,418243.0742,652.9832823,1444.464251,-0.000313979,0.000259746,4.81E-07,1.80E-07,GOOD,1593.773361,585.5199417
BANTA-CARBONA I.D.,Corn,San Joaquin River,777.0290867,77.55530093,25.22861255,2.415829265,172.4592835,120.7914633,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,399.0836594,1.196408306,399.0836594,0.17,68.61215883,330.4715006,-4.882352941,0.052941855,0.829948423,0.015856237,0.101253485,17.78155435,0.004289844,4182.331734,777.0291609,1877.168534,-7.42E-05,0.001073063,9.55E-08,5.72E-07,GOOD,77.55530093,399.0836594
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,439.3856386,384.0603914,14.86947686,2.299627126,267.5771763,114.9813563,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591,289.5988182,1.00325705,289.5988182,0.17,68.61215883,220.9866593,-4.882352941,0.04529776,0.545068317,0.303451984,0.106181938,12.70707858,0.045518101,2.21E-05,439.3856468,1010.42251,-8.17E-06,0.000623769,1.86E-08,6.17E-07,GOOD,384.0603914,289.5988182
BANTA-CARBONA I.D.,Field and Grain,San Joaquin River,48.80363215,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,0.027689565,1191.299199,48.80365127,142.362916,-1.91E-05,0.000131081,3.92E-07,9.21E-07,GOOD,194.8087562,68.61215883
BANTA-CARBONA I.D.,Grapes,San Joaquin River,243.6250164,1686.199914,10.80135885,3.098484515,5693.452831,154.9242258,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,1764.328209,1.054534307,1764.328209,0.17,68.61215883,1695.71605,-4.882352941,0.131318485,0.682024451,0.106553789,0.080103276,8.556948336,0.031574375,106.7908498,243.6250165,754.8678684,-1.45E-07,0.00047236,5.95E-10,6.26E-07,GOOD,1686.199914,1764.328209
BANTA-CARBONA I.D.,Orchards,San Joaquin River,671.7862292,4762.917744,3.247388671,3.445837194,2203.997553,172.2918597,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127,2113.315653,1.103101512,2113.315653,0.17,68.61215883,2044.703494,-4.882352941,0.049250913,0.825520982,0.060997939,0.064230165,2.276276862,0.011450529,169.3182766,671.7862286,2314.864506,6.27E-07,0.001469059,9.33E-10,6.35E-07,GOOD,4762.917744,2113.315653
BANTA-CARBONA I.D.,Pasture,San Joaquin River,8.53930899,226.9343417,5,4.600187047,214.8235605,46.00187047,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,192.6338469,1.14712982,192.6338469,0.17,68.61215883,124.0216881,-4.882352941,0.005075434,0.986439143,0.001602254,0.006883169,2.089814959,0.229618616,207.7000003,8.539305858,39.28230816,3.13E-06,0.000110443,3.67E-07,2.81E-06,GOOD,226.9343417,192.6338469
BANTA-CARBONA I.D.,Pistachios,San Joaquin River,31.20439441,4897.401316,1.414819371,3.805829794,1806.455069,190.2914897,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,2783.41504,1.591834969,2783.41504,0.17,68.61215883,2714.802882,-4.882352941,0.033608303,0.950657759,0.002640955,0.013092984,0.768288117,0.080116921,4632.322963,31.20439414,118.7585425,2.68E-07,7.14E-05,8.58E-09,6.01E-07,GOOD,4897.401316,2783.41504
