g,i,hr,xland,p,y,xwater,omegaland,omegawater_unit,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,692.4817265,281.0,6.7,4.134965358,0.306290873,206.74826789999997,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1675.287002362,8.64481801751423,1675.287002362,385.716359827,1289.570642535,-4.88235294117647,0.00786077460031691,0.9921375438417912,9.405264503320253e-07,7.410314415109181e-07,2.5432669831321935,0.0007763878641527597,970460.5401415463,692.4803233954103,2863.3779038100743,0.0014031045897127115,0.010046315456293087,2.0261972785973745e-06,3.508541500935162e-06,GOOD,281,1711.055885
BANTA-CARBONA I.D.,Almonds & Pistachios,San Joaquin River,6944.405664,4883.344789,1.202182209,4.124104363,0.287448101,206.20521814999998,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,5663.784214507658,27.02509689840731,5663.784214507658,385.716359827,5278.06785468066,-4.88235294117647,0.026479920117827314,0.9735182409676014,1.3982966644794852e-06,4.406179069421765e-07,0.5756254687203674,0.00036000201038946674,1203531.5783279827,6944.4049267577175,28639.41137645411,0.0007372422824118985,0.042320890199334826,1.06163481524961e-07,1.4777129007617618e-06,GOOD,4883.344789,5699.907065
BANTA-CARBONA I.D.,Citrus & Subtropical,San Joaquin River,160.6387081,933.0,3.6,3.247465856,0.183365181,162.3732928,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50,3195.740449542,19.617723303371225,3195.740449542,385.716359827,2810.024089715,-4.88235294117647,0.05890724621213134,0.9410834844771222,2.430875875252116e-06,6.838434871266788e-06,2.0362492143992172,0.04788576665792852,26.779665791311114,160.63870022661226,521.6679812195999,7.873387744439242e-06,0.0007384871006479443,4.901301708388952e-08,1.4156246536367873e-06,GOOD,933,3252.653397
BANTA-CARBONA I.D.,Corn,San Joaquin River,282.9171526,59.0,27.1,2.415829265,0.234536008,120.79146325,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,1477.228775793,12.515382455355429,1477.228775793,385.716359827,1091.512415966,-4.88235294117647,0.14154713132592708,0.858391053439907,5.332001230427394e-05,8.495221861871523e-06,18.453710581229604,0.01178201216398547,3305.630053638397,282.91709540080427,683.4784330310518,5.7199195737211994e-05,0.0011037904990871539,2.0217648598380525e-07,1.614957638995623e-06,GOOD,59,1539.657929
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,324.6611668,203.0,12.0,2.299627126,0.087908733,114.98135629999999,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50,2320.0483831340002,20.00834540048819,2320.0483831340002,385.716359827,1934.332023307,-4.88235294117647,0.25706394645507785,0.7428382916827645,2.5348320596849817e-05,7.241354156096781e-05,9.176584256961513,0.06160268626250745,6.4723421852924e-05,324.6611610054124,746.5985880285245,5.794587593754841e-06,0.0010379035660434965,1.7848108077934873e-08,1.3901742379628548e-06,GOOD,203,2382.14689
BANTA-CARBONA I.D.,Dry Beans,San Joaquin River,1248.750059,1752.0,1.3,2.212101358,0.272510229,110.6050679,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50,2166.1327210739996,19.459906781997343,2166.1327210739996,385.716359827,1780.416361247,-4.88235294117647,0.2887297369606794,0.711191670099485,6.444160097758946e-05,1.415133885800463e-05,1.0183426341729913,0.00047666712081260065,2059985.8055920417,1248.7492855881308,2762.356159745842,0.0007734118692042102,0.005541570637888071,6.193488149450491e-07,2.00609885202473e-06,GOOD,1752,2227.803865
BANTA-CARBONA I.D.,Grain,San Joaquin River,72.81367026,164.0,2.5,0.466656841,0.351483763,23.33284205,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,385.716359827,16.079804662496404,385.716359827,385.716359827,0.0,-4.88235294117647,0.9969937457477995,0.0014585659933165308,0.0012559913529392194,0.0002916969059446191,2.529426824507273,0.018559033578804677,4.9030404342852485,72.8172434201245,33.98062994803508,-0.0035731601245032607,-0.0016326028878381749,4.907265506249542e-05,4.8047412089731285e-05,GOOD,164,406.8715158
BANTA-CARBONA I.D.,Other Deciduous,San Joaquin River,5966.793346,1941.520674,2.07538957,3.445837194,0.215021845,172.2918597,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50,3856.2167431929706,22.157306538012612,3856.2167431929706,385.716359827,3470.50038336597,-4.88235294117647,0.050594784623061544,0.9493961873703468,4.481032958523407e-06,4.546973633052905e-06,1.1365238198931231,0.0012891862087807075,1228.5039823769516,5966.793091924275,20560.569143860615,0.00025407572502444964,0.029296697895915713,4.258161968937237e-08,1.4248951936206335e-06,GOOD,1941.520674,3909.770663
BANTA-CARBONA I.D.,Pasture,San Joaquin River,8.53927993,276.0,5.0,4.600187047,0.350906068,230.00935235000003,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50,1149.294661245,5.696815346269181,1149.294661245,385.716359827,763.578301418,-4.88235294117647,0.0028950435680155998,0.9971040874488487,4.784943285518538e-07,3.904888071944644e-07,1.5678817415054642,0.2296193976305787,468.25964750871026,8.539270896339598,39.28219552024897,9.033660401058796e-06,8.940444409688553e-05,1.0578948664420698e-06,2.275948160049249e-06,GOOD,276,1167.686805
BANTA-CARBONA I.D.,Safflower,San Joaquin River,52.20934812,574.0,1.3,2.40565496,0.396694215,120.28274800000001,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,50,624.983367703,5.862781808072513,624.983367703,385.716359827,239.267007876,-4.88235294117647,0.06677080460541328,0.9331718404896493,4.5295668543307566e-05,1.2059236394309453e-05,0.7742976954909151,0.0258833216657935,2397.164397750822,52.20923018773665,125.59720980308252,0.00011793226335043983,0.0004674601621701413,2.258834243235133e-06,3.7218854070873837e-06,GOOD,574,687.3943578
