g,i,hr,xland,p,y,xwater,omegaland,omegawater_x,omegasupply,omegalabor,theta,omegawater,sigma,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,xland_lp,lambdacrop,lambdaland,lambdawater,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,omega_suppl_unit,omega_labor_unit,xsupply_base,xlabor_base,xlandcalib,xwatercalib,xsuppcalib,xlaborcalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,1136.600343,290.4258221,6.981811447,4.13,571.5529897,41.3,305.9903326,377.9325908,1.86,10,0.4,0.281872792,0.186385019,0.150905255,730.9224161,1.489186564,730.9224161,1137.736955,633.9825185,2.96E-08,23.47213017,-1.5,0.395292942,0.380449952,0.100333684,0.123923422,5.318588377,0.00047302,1488706.473,305.9903326,377.9325908,1136.600343,1136.600343,1136.610731,4694.202318,1136.610731,1136.610731,-0.010387779,-0.042901529,9.14E-06,9.14E-06,GOOD,290.4258221,730.9224161
BANTA-CARBONA I.D.,Almonds,San Joaquin River,7003.788882,4775.762292,1.018616781,4.13,1058.311098,206.5,455.3980167,1465.658482,0.4,50,0.4,0.217550368,0.301286212,0.093613311,1678.804016,1.454241409,1678.804016,7010.792741,1581.864118,2.96E-08,23.47213017,-1.5,0.371434592,0.358300453,0.064067936,0.206197019,0.791066349,0.00035695,607141.03,455.3980167,1465.658482,7003.788882,7003.788882,7003.795168,28925.67404,7003.795168,7003.795168,-0.006285544,-0.025959297,8.97E-07,8.97E-07,GOOD,4775.762292,1678.804016
BANTA-CARBONA I.D.,Beans Dry,San Joaquin River,338.6613804,1593.773361,1.285477627,2.21,174.4872294,110.5,145.5634067,1032.584353,1.68,50,0.4,0.085167238,0.504004546,0.071049516,585.625009,1.333574833,585.625009,339.0000452,533.7516013,2.96E-08,23.47213017,-1.5,0.292679011,0.220452567,0.060153937,0.426714484,1.15044663,0.00175762,222201.0311,145.5634067,1032.584353,338.6613804,338.6613804,338.3227156,747.6932016,338.3227156,338.3227156,0.338664764,0.748449127,0.00100001,0.00100001,GOOD,1593.773361,585.625009
BANTA-CARBONA I.D.,Corn,San Joaquin River,276.1600003,77.55530093,25.22861255,2.42,172.4592834,121,171.1787431,1093.099489,0.3,50,0.4,0.088141761,0.558669339,0.087487293,398.8751229,1.196248142,398.8751229,276.4361631,342.0725678,2.96E-08,23.47213017,-1.5,0.210169807,0.273412967,0.069921042,0.446496184,21.7271107,0.012070297,1520.708665,171.1787431,1093.099489,276.1600003,276.1600003,275.8838375,667.6388868,275.8838375,275.8838375,0.276162759,0.668313877,0.00100001,0.00100001,GOOD,77.55530093,398.8751229
BANTA-CARBONA I.D.,Field and Grain,San Joaquin River,146.8652744,194.8087562,3.454627792,2.92,127.4152524,73,76.29216237,327.7457084,0.74,25,0.4,0.189326621,0.486998112,0.113362702,68.53862012,1.060370925,68.53862012,128.1255712,7.40E-09,2.96E-08,23.47213017,-1.5,0.102946171,0.570608205,0.061640862,0.264804762,2.301443258,0.009201299,3584.988977,76.29216237,327.7457084,146.8652744,146.8652744,146.7184077,428.4177504,146.7184077,146.7184077,0.146866741,0.428850885,0.00100001,0.00100001,GOOD,194.8087562,68.53862012
BANTA-CARBONA I.D.,Grapes,San Joaquin River,230.4610366,1686.199914,10.80135885,3.1,5693.452825,155,6051.355455,4549.189642,0.13,50,0.4,0.312599493,0.249773629,0.332250166,1764.252442,1.05452945,1764.252442,230.6914999,1691.488838,2.96E-08,23.47213017,-1.5,0.384059364,0.064651433,0.314705225,0.236583978,10.41767711,0.03337791,100.9627447,6051.355455,4549.189642,230.4610366,230.4610366,230.3628191,714.1247393,230.3628191,230.3628191,0.098217478,0.304474183,0.000426178,0.000426178,GOOD,1686.199914,1764.252442
BANTA-CARBONA I.D.,Orchards,San Joaquin River,770.0378914,4762.917744,3.247388671,3.45,2203.997556,172.5,5347.052259,5630.387794,0.13,50,0.4,0.142496355,0.364024786,0.345706127,2113.107514,1.103084318,2113.107514,770.807937,2032.128665,2.96E-08,23.47213017,-1.5,0.251583085,0.09646792,0.317560864,0.334388131,3.068651271,0.009989518,193.5073906,5347.052259,5630.387794,770.0378914,770.0378914,769.6601401,2655.327483,769.6601401,769.6601401,0.377751263,1.303241857,0.000490562,0.000490562,GOOD,4762.917744,2113.107514
BANTA-CARBONA I.D.,Pasture,San Joaquin River,12.54883657,226.9343417,5,4.6,214.82356,46,128.6294506,552.5829799,0.51,10,0.4,0.189326621,0.486998112,0.113362702,192.635718,1.147132098,192.635718,12.56138553,84.66391922,2.96E-08,23.47213017,-1.5,0.119805994,0.607684008,0.051456506,0.221053492,2.953135717,0.156252279,269.7705281,128.6294506,552.5829799,12.54883657,12.54883657,12.56138553,57.78237345,12.56138553,12.56138553,-0.012548962,-0.057725225,0.00100001,0.00100001,GOOD,226.9343417,192.635718
BANTA-CARBONA I.D.,Pistachios,San Joaquin River,102.9100466,4897.401316,1.414819371,3.81,1806.45507,190.5,360.6739901,1788.102657,0.4,50,0.4,0.260711671,0.25806301,0.052053284,2783.206532,1.591754908,2783.206532,103.0129577,2693.777716,2.96E-08,23.47213017,-1.5,0.515443905,0.23844131,0.041310576,0.204804209,1.212764318,0.024293061,15206.05443,360.6739901,1788.102657,102.9100466,102.9100466,102.841339,391.8255014,102.841339,102.841339,0.068707639,0.261776103,0.000667648,0.000667648,GOOD,4897.401316,2783.206532
BANTA-CARBONA I.D.,Subtropical,San Joaquin River,158.7344127,950.3385633,4.405405823,3.25,846.2602958,162.5,1809.44916,670.5198364,0.13,50,0.4,0.202134149,0.160157528,0.432197361,697.8977484,1.142898607,697.8977484,158.8931487,621.6133253,2.96E-08,23.47213017,-1.5,0.274528717,0.261655669,0.338411801,0.125403814,3.742497454,0.04846024,13.82217298,1809.44916,670.5198364,158.7344127,158.7344127,158.5756767,515.3709493,158.5756767,158.5756767,0.158735998,0.515891994,0.00100001,0.00100001,GOOD,950.3385633,697.8977484
BANTA-CARBONA I.D.,Tomatoes,San Joaquin River,1016.431084,99.69467136,46.73447582,2.38,396.8321367,119,961.6082333,2531.592592,0.74,50,0.4,0.085172131,0.543356034,0.206390095,650.1452461,1.106828659,650.1452461,1017.447525,594.2815762,2.96E-08,23.47213017,-1.5,0.193336779,0.125243737,0.187581138,0.493838346,43.85013346,0.001329506,192996.1776,961.6082333,2531.592592,1016.431084,1016.431084,1015.414643,2416.68685,1015.414643,1015.414643,1.016441238,2.419130147,0.00100001,0.00100001,GOOD,99.69467136,650.1452461
BANTA-CARBONA I.D.,Truck,San Joaquin River,103.3700105,690.3355797,21.20927139,2.67,775.1695529,133.5,4298.997922,3487.484185,0.41,50,0.4,0.052943262,0.238191489,0.293617021,5946.363,1.60368677,5946.363,103.4733815,5883.692413,2.96E-08,23.47213017,-1.5,0.435185597,0.055933924,0.280958216,0.227922263,20.59520352,0.023595087,24622.01522,4298.997922,3487.484185,103.3700105,103.3700105,103.2666395,275.7219274,103.2666395,103.2666395,0.103371043,0.276000685,0.00100001,0.00100001,GOOD,690.3355797,5946.363
BANTA-CARBONA I.D.,Walnuts,San Joaquin River,2555.771055,1802.497789,1.658526763,4.95,765.1413122,247.5,268.1025111,816.5691828,0.13,50,0.4,0.25594369,0.273146576,0.089681664,892.1778172,1.35751512,892.1778172,2558.326852,775.9907729,2.96E-08,23.47213017,-1.5,0.232409399,0.604017407,0.040431021,0.123142173,0.975131497,0.00300978,233.6567749,268.1025111,816.5691828,2555.771055,2555.771055,2558.326852,12663.71792,2558.326852,2558.326852,-2.555796638,-12.65119336,0.00100001,0.00100001,GOOD,1802.497789,892.1778172
