g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supply,sigma,xland_lp,lambdacrop,lambdaland,lambdawater,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,omega_suppl_unit,omega_labor_unit,xsupplies_base,xlabor_base,xlandcalib,xwatercalib,xsuppcalib,xlaborcalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,692.4817265,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255,0.4,693.1742082,468.2155881,0,23.52100934,-1.5,0.242943972,0.597256092,0.071495243,0.088304693,4.243100361,0.000776388,782287.3247,305.9903334,377.9325916,692.4817265,692.4817265,692.6447581,2864.06208,692.5506853,692.5664501,-0.163031624,-0.674130117,0.000235431,0.000235431,GOOD,290.4258221,-1015.050092
BANTA-CARBONA I.D.,Almonds,San Joaquin River,6315.972311,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,0.4,6322.288283,1581.993123,0,23.52100934,-1.5,0.371720169,0.357820298,0.064114062,0.206345471,0.79144599,0.000395822,547542.6762,455.3980167,1465.658483,6315.972311,6315.972311,6316.262282,26057.73711,6315.664677,6316.567624,-0.289970605,-1.196273595,4.59E-05,4.59E-05,GOOD,4775.762292,1746.394692
BANTA-CARBONA I.D.,Beans Dry,San Joaquin River,1091.581927,1593.773361,1.285477627,2.212101358,174.4872303,50,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,0.4,1092.673509,533.489085,0,23.52100934,-1.5,0.292405921,0.220999581,0.060120093,0.426474406,1.15001508,0.000545299,715938.5159,145.5634062,1032.584352,1091.581927,1091.581927,1090.490345,2412.275173,1090.504011,1090.504904,1.091581927,2.414689863,0.001,0.001,GOOD,1593.773361,191.1383725
BANTA-CARBONA I.D.,Corn,San Joaquin River,282.9171527,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,0.4,283.2000699,342.2609167,0,23.52100934,-1.5,0.210440022,0.272668006,0.069985321,0.446906651,21.74042456,0.011782012,1558.488037,171.1787432,1093.099489,282.9171527,282.9171527,282.6342355,682.7960575,282.6376313,282.6220745,0.282917153,0.683479537,0.001,0.001,GOOD,77.55530093,-1409.182215
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,324.6611668,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591,0.4,324.985828,235.5092671,0,23.52100934,-1.5,0.082052127,0.096161726,0.608769497,0.21301665,14.18155923,0.061602686,1.68E-05,3732.550158,1306.069594,324.6611668,324.6611668,324.3365056,745.8530263,324.3249092,324.3216395,0.324661167,0.746599626,0.001,0.001,GOOD,384.0603914,-4972.136537
BANTA-CARBONA I.D.,Field and Grain,San Joaquin River,72.81367026,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,0.4,55.08689438,0,0,23.52100934,-1.5,0.103034989,0.570237743,0.061694043,0.265033225,2.302766795,0.018559034,1777.385477,76.29216244,327.7457083,72.81367026,72.81367026,72.74085659,212.1893297,72.75384911,72.74034486,0.07281367,0.212401731,0.001,0.001,GOOD,194.8087562,-361.6443672
BANTA-CARBONA I.D.,Grapes,San Joaquin River,335.2514675,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,0.4,335.586719,1691.448726,0,23.52100934,-1.5,0.384071916,0.064617868,0.31471722,0.236592996,10.41794182,0.022944889,146.8696184,6051.355458,4549.18964,335.2514675,335.2514675,335.1093223,1038.331046,335.1068419,335.1087372,0.142145222,0.44043477,0.000423996,0.000423996,GOOD,1686.199914,-14657.79802
BANTA-CARBONA I.D.,Orchards,San Joaquin River,497.9977299,4762.917744,3.247388671,3.445837194,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127,0.4,498.4957276,2032.266084,0,23.52100934,-1.5,0.251646253,0.096262212,0.317630295,0.334461241,3.069098535,0.015446471,125.1488639,5347.052266,5630.387791,497.9977299,497.9977299,497.7534522,1715.177359,497.7535285,497.7530222,0.244277695,0.841741166,0.00049052,0.00049052,GOOD,4762.917744,-8468.519866
BANTA-CARBONA I.D.,Pasture,San Joaquin River,8.53927993,226.9343417,5,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,0.4,8.54781921,84.43280444,0,23.52100934,-1.5,0.119611056,0.608112236,0.051412455,0.220864254,2.951450069,0.229619398,183.4328084,128.6294508,552.5829798,8.53927993,8.53927993,8.54781921,39.32156721,8.546898713,8.547305186,-0.00853928,-0.039282285,0.001,0.001,GOOD,226.9343417,-679.1016494
BANTA-CARBONA I.D.,Pistachios,San Joaquin River,30.19805286,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,0.4,30.22825091,2693.898082,0,23.52100934,-1.5,0.5157052,0.238061837,0.041330413,0.204902551,1.213152511,0.082786795,4462.202987,360.6739904,1788.10266,30.19805286,30.19805286,30.17772747,114.8512943,30.174484,30.17733988,0.02032539,0.077354974,0.00067307,0.00067307,GOOD,4897.401316,892.1695966
BANTA-CARBONA I.D.,Safflower,San Joaquin River,52.20934812,575.1459791,1.245291589,2.40565496,140.0879783,50,80.89587427,303.852797,0.74,50,0.195592287,0.424242424,0.112947658,0.4,52.26155747,14.52161987,0,23.52100934,-1.5,0.128918295,0.550266287,0.067453498,0.25336192,0.883125757,0.025883322,1546.436198,80.89587427,303.852797,52.20934812,52.20934812,52.15713877,125.4720796,52.13475956,52.14313737,0.052209348,0.125597677,0.001,0.001,GOOD,575.1459791,0.30932953
BANTA-CARBONA I.D.,Subtropical,San Joaquin River,160.0544714,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,0.4,160.2145259,621.6407824,0,23.52100934,-1.5,0.274624722,0.261406141,0.338523815,0.125445322,3.74332325,0.048060561,13.93738089,1809.449159,670.5198376,160.0544714,160.0544714,159.8944169,519.2516595,159.8933877,159.8871857,0.160054471,0.519771431,0.001,0.001,GOOD,950.3385633,-2425.890727
BANTA-CARBONA I.D.,Tomatoes,San Joaquin River,750.894725,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875,0.4,751.6456197,1524.132706,0,23.52100934,-1.5,0.321191407,0.125279805,0.373260128,0.18026866,43.84952393,0.001799655,236869.0497,1913.505271,924.141116,750.894725,750.894725,750.1438303,1785.087913,750.1034318,750.1291234,0.750894725,1.786874788,0.001,0.001,GOOD,99.69467136,-2910.395762
BANTA-CARBONA I.D.,Truck,San Joaquin River,43.2080525,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,0.4,43.25126055,5883.728618,0,23.52100934,-1.5,0.435222421,0.055856808,0.280980462,0.227940309,20.59629064,0.056448376,10291.91257,4298.997918,3487.484178,43.2080525,43.2080525,43.16484445,115.1522659,43.16463072,43.1639492,0.043208052,0.115267533,0.001,0.001,GOOD,690.3355797,-7921.316063
BANTA-CARBONA I.D.,Walnuts,San Joaquin River,2723.547312,1802.497789,1.658526763,4.952669773,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,0.4,2726.270859,775.5525357,0,23.52100934,-1.5,0.232076178,0.604538695,0.040384536,0.123000591,0.974383924,0.002824371,248.9246132,268.1025116,816.5691826,2723.547312,2723.547312,2726.270859,13502.31928,2725.969609,2726.037606,-2.723547312,-13.48883045,0.001,0.001,GOOD,1802.497789,-97.315218
BROADVIEW W.D.,Field and Grain,San Joaquin River,2599.513597,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,0.4,2599.264625,17.15303971,68.61215883,0,-1.5,0.217409137,0.370538423,0.077805508,0.334246932,2.733474411,0.000519848,71996.67325,76.29216244,327.7457083,2599.513597,2599.513597,2599.517077,7582.943232,2536.501533,2536.480726,-0.003479985,-0.01015132,1.34E-06,1.34E-06,GOOD,194.8087562,-361.6443672
