internal_id,crop_code,county,total_revenue,total_jobs,direct_value_add,total_value_add,direct_jobs,,
BANTA-CARBONA I.D.,Alfalfa,San Joaquin,1,9.9E-07,1,1.1583308,7.8E-06,,0.00001
BANTA-CARBONA I.D.,Almonds,San Joaquin,1,8.5E-07,1,0.9946772,5.3E-06,,
BANTA-CARBONA I.D.,Beans Dry,San Joaquin,1,9.9E-07,1,1.1583308,7.8E-06,,
BANTA-CARBONA I.D.,Corn,San Joaquin,1,7.5E-07,1,0.8774354,2.3E-06,,
BANTA-CARBONA I.D.,Cucurbits,San Joaquin,1,7.4E-07,1,0.8679053,3.6E-06,,
BANTA-CARBONA I.D.,Field and Grain,San Joaquin,1,7.5E-07,1,0.8774354,2.3E-06,,
BANTA-CARBONA I.D.,Grapes,San Joaquin,1,9.4E-07,1,1.0979858,4.8E-06,,
BANTA-CARBONA I.D.,Orchards,San Joaquin,1,9.4E-07,1,1.0979858,4.8E-06,,
BANTA-CARBONA I.D.,Pasture,San Joaquin,1,2.2E-07,1,0.2596657,1.8E-06,,
BANTA-CARBONA I.D.,Pistachios,San Joaquin,1,8.5E-07,1,0.9946772,5.3E-06,,
BANTA-CARBONA I.D.,Safflower,San Joaquin,1,6.4E-07,1,0.7452913,4.1E-06,,
BANTA-CARBONA I.D.,Subtropical,San Joaquin,1,9.4E-07,1,1.0979858,4.8E-06,,
BANTA-CARBONA I.D.,Truck,San Joaquin,1,7.4E-07,1,0.8679053,3.6E-06,,
BANTA-CARBONA I.D.,Walnuts,San Joaquin,1,8.5E-07,1,0.9946772,5.3E-06,,
BANTA-CARBONA I.D.,Tomatoes,San Joaquin,1,7.4E-07,1,0.8679053,3.6E-06,,
BROADVIEW W.D.,Field and Grain,Fresno,1,0.00001,1,0.8884868,8.4E-07,,
Byron Bethany (CVP),Alfalfa,San Joaquin,1,9.9E-12,1,1.1583308,7.8E-06,,
Byron Bethany (CVP),Almonds,San Joaquin,1,8.5E-12,1,0.9946772,5.3E-06,,
Byron Bethany (CVP),Field and Grain,San Joaquin,1,7.5E-12,1,0.8774354,2.3E-06,,
Byron Bethany (CVP),Grapes,San Joaquin,1,9.39E-12,1,1.0979858,4.8E-06,,
Byron Bethany (CVP),Subtropical,San Joaquin,1,9.39E-12,1,1.0979858,4.8E-06,,
Byron Bethany (CVP),Walnuts,San Joaquin,1,8.5E-12,1,0.9946772,5.3E-06,,
CENTRAL CALIFORNIA I.D.,Alfalfa,Merced,1,0.00001,1,0.7614505,5.0E-06,,
CENTRAL CALIFORNIA I.D.,Almonds,Merced,1,0.00001,1,1.6963358,4.7E-06,,
CENTRAL CALIFORNIA I.D.,Beans Dry,Merced,1,0.00001,1,0.7614505,5.0E-06,,
CENTRAL CALIFORNIA I.D.,Corn,Merced,1,0.00001,1,1.7217171,7.1E-06,,
CENTRAL CALIFORNIA I.D.,Cotton,Merced,1,0.00001,1,0.562511,1.9E-06,,
CENTRAL CALIFORNIA I.D.,Cucurbits,Merced,1,0.00001,1,0.8799022,3.4E-06,,
CENTRAL CALIFORNIA I.D.,Field and Grain,Merced,1,0.00001,1,1.7217171,7.1E-06,,
CENTRAL CALIFORNIA I.D.,Grapes,Merced,1,0.00001,1,1.5394567,4.5E-06,,
CENTRAL CALIFORNIA I.D.,Lettuce,Merced,1,0.00001,1,0.8799022,3.4E-06,,
CENTRAL CALIFORNIA I.D.,Onions and Garlic,Merced,1,0.00001,1,0.8799022,3.4E-06,,
CENTRAL CALIFORNIA I.D.,Orchards,Merced,1,0.00001,1,1.5394567,4.5E-06,,
CENTRAL CALIFORNIA I.D.,Pasture,Merced,1,0.00001,1,0.4260006,1.4E-06,,
CENTRAL CALIFORNIA I.D.,Pistachios,Merced,1,0.00001,1,1.6963358,4.7E-06,,
CENTRAL CALIFORNIA I.D.,Rice,Merced,1,0.00001,1,1.7217171,7.1E-06,,
CENTRAL CALIFORNIA I.D.,Safflower,Merced,1,0.00001,1,0.8206568,4.0E-06,,
CENTRAL CALIFORNIA I.D.,Subtropical,Merced,1,0.00001,1,1.5394567,4.5E-06,,
CENTRAL CALIFORNIA I.D.,Truck,Merced,1,0.00001,1,0.8799022,3.4E-06,,
CENTRAL CALIFORNIA I.D.,Walnuts,Merced,1,0.00001,1,1.6963358,4.7E-06,,
CENTRAL CALIFORNIA I.D.,Tomatoes,Merced,1,0.00001,1,0.8799022,3.4E-06,,
CITY OF TRACY,Alfalfa,San Joaquin,1,9.9E-12,1,1.1583308,7.8E-06,,
CITY OF TRACY,Field and Grain,San Joaquin,1,7.5E-12,1,0.8774354,2.3E-06,,
COLUMBIA CANAL CO.,Corn,Madera,1,0.00001,1,0.5242074,8.0E-07,,
COLUMBIA CANAL CO.,Cotton,Madera,1,0.00001,1,0.4152771,1.4E-06,,
COLUMBIA CANAL CO.,Field and Grain,Madera,1,0.00001,1,0.5242074,8.0E-07,,
COLUMBIA CANAL CO.,Grapes,Madera,1,0.00001,1,1.346511,4.6E-06,,
COLUMBIA CANAL CO.,Pasture,Madera,1,0.00001,1,0.2638228,1.5E-06,,
COLUMBIA CANAL CO.,Pistachios,Madera,1,0.00001,1,1.4405455,4.8E-06,,
COLUMBIA CANAL CO.,Truck,Madera,1,0.00001,1,0.7987614,3.4E-06,,
COLUMBIA CANAL CO.,Almonds,Madera,1,0.00001,1,1.4405455,4.8E-06,,
DEL PUERTO WATER DISTRICT,Almonds,Stanislaus,1,0.00001,1,2.0060203,6.3E-06,,
DEL PUERTO WATER DISTRICT,Beans Dry,Stanislaus,1,0.00001,1,1.0723387,9.5E-06,,
DEL PUERTO WATER DISTRICT,Corn,Stanislaus,1,0.00001,1,2.0033529,6.3E-06,,
DEL PUERTO WATER DISTRICT,Cucurbits,Stanislaus,1,0.00001,1,1.1211718,3.9E-06,,
DEL PUERTO WATER DISTRICT,Field and Grain,Stanislaus,1,0.00001,1,2.0033529,6.3E-06,,
DEL PUERTO WATER DISTRICT,Grapes,Stanislaus,1,0.00001,1,1.8683312,5.1E-06,,
DEL PUERTO WATER DISTRICT,Lettuce,Stanislaus,1,0.00001,1,1.1211718,3.9E-06,,
DEL PUERTO WATER DISTRICT,Onions and Garlic,Stanislaus,1,0.00001,1,1.1211718,3.9E-06,,
DEL PUERTO WATER DISTRICT,Orchards,Stanislaus,1,0.00001,1,1.8683312,5.1E-06,,
DEL PUERTO WATER DISTRICT,Pasture,Stanislaus,1,0.00001,1,0.3504204,2.4E-06,,
DEL PUERTO WATER DISTRICT,Pistachios,Stanislaus,1,0.00001,1,2.0060203,6.3E-06,,
DEL PUERTO WATER DISTRICT,Subtropical,Stanislaus,1,0.00001,1,1.8683312,5.1E-06,,
DEL PUERTO WATER DISTRICT,Truck,Stanislaus,1,0.00001,1,1.1211718,3.9E-06,,
DEL PUERTO WATER DISTRICT,Walnuts,Stanislaus,1,0.00001,1,2.0060203,6.3E-06,,
DEL PUERTO WATER DISTRICT,Tomatoes,Stanislaus,1,0.00001,1,1.1211718,3.9E-06,,
EAGLE FIELD W.D.,Cucurbits,Merced,1,0.00001,1,0.8799022,3.4E-06,,
EAGLE FIELD W.D.,Subtropical,Merced,1,0.00001,1,1.5394567,4.5E-06,,
EAGLE FIELD W.D.,Tomatoes,Merced,1,0.00001,1,0.8799022,3.4E-06,,
FIREBAUGH CANAL W.D.,Alfalfa,Fresno,1,0.00001,1,1.6489322,6.9E-06,,
FIREBAUGH CANAL W.D.,Almonds,Fresno,1,0.00001,1,1.9288842,5.2E-06,,
FIREBAUGH CANAL W.D.,Corn,Fresno,1,0.00001,1,0.8884868,8.4E-07,,
FIREBAUGH CANAL W.D.,Cotton,Fresno,1,0.00001,1,1.9288794,5.1E-06,,
FIREBAUGH CANAL W.D.,Cucurbits,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
FIREBAUGH CANAL W.D.,Field and Grain,Fresno,1,0.00001,1,0.8884868,8.4E-07,,
FIREBAUGH CANAL W.D.,Onions and Garlic,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
FIREBAUGH CANAL W.D.,Orchards,Fresno,1,0.00001,1,1.9644666,4.7E-06,,
FIREBAUGH CANAL W.D.,Pasture,Fresno,1,0.00001,1,0.4718482,1.6E-06,,
FIREBAUGH CANAL W.D.,Pistachios,Fresno,1,0.00001,1,1.9288842,5.2E-06,,
FIREBAUGH CANAL W.D.,Truck,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
FIREBAUGH CANAL W.D.,Tomatoes,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
FRESNO SLOUGH W.D.,Alfalfa,Fresno,1,0.00001,1,1.6489322,6.9E-06,,
FRESNO SLOUGH W.D.,Cotton,Fresno,1,0.00001,1,1.9288794,5.1E-06,,
FRESNO SLOUGH W.D.,Field and Grain,Fresno,1,0.00001,1,0.8884868,8.4E-07,,
FRESNO SLOUGH W.D.,Tomatoes,Fresno,1,0.00001,1,1.3567763,3.5E-06,,
GRASSLANDS W.D.,Alfalfa,Merced,1,0.00001,1,0.7614505,5.0E-06,,
GRASSLANDS W.D.,Corn,Merced,1,0.00001,1,1.7217171,7.1E-06,,
GRASSLANDS W.D.,Cotton,Merced,1,0.00001,1,0.562511,1.9E-06,,
GRASSLANDS W.D.,Field and Grain,Merced,1,0.00001,1,1.7217171,7.1E-06,,
GRASSLANDS W.D.,Pasture,Merced,1,0.00001,1,0.4260006,1.4E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Alfalfa,Merced,1,0.00001,1,0.7614505,5.0E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Almonds,Merced,1,0.00001,1,1.6963358,4.7E-06,,
HENRY MILLER RECLAMATION DIST. 2131,Beans Dry,Merced,1,0.00001,1,0.7614505,5.0E-06,,
