g,i,year,xwater,xland,p,y,omegalabor,omegasupply,omegaland,Etc
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2015,2.3,1,678.67,5.79,2200,2900,222,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2016,2.38,1,702.67,6.71,2222,2929,231,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2017,2.44,1,730.33,5.74,2266,2987,240,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2018,2.55,1,734,6.32,2310,3045,250,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2020,2.5,1,888.67,4.38,2376,3132,270,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2021,2.45,1,936.67,3.97,2486,3277,281,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2022,2.58,1,903,5.8,2684,3538,383,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2023,2.83,1,935.33,4.78,2794,3683,294,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2024,1.81,1,940,4.33,2882,3799,407,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Berry,2015,1.95,1,2273,3.96,5400,7600,222,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2015,1.86,100,160,2.21,70,180,222,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2015,1.85,43,174,5.42,120,260,222,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2015,2.32,10,3600,0.35,250,450,222,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2015,2.56,38,255,26.89,5300,3800,222,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2015,1.89,1,678.67,5.79,2200,2900,222,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Berry,2016,2.1,1,1900,4.17,5454,7676,231,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2016,1.85,100,146,3.1,71,182,231,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2016,1.74,43,142,5.43,253,455,231,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2016,2.08,10,3800,0.38,253,455,231,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2016,2.3,38,255,16.19,5353,3838,231,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2016,1.77,1,702.67,6.71,2222,2929,231,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Berry,2017,2.02,1,1700,4.02,5562,7828,240,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2017,1.89,100,148,2.86,72,185,240,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2017,1.96,43,172,5.69,124,268,240,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2017,2.09,10,4000,0.39,258,464,240,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2017,2.38,38,240,15.47,5459,3914,240,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2017,2.06,1,730.33,5.74,2266,2987,240,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2018,1.9,27,172.67,3.05,74,189,250,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2018,2.01,59,186,4.76,126,273,250,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2018,2.05,11,4200,0.4,263,473,250,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2018,2.44,30,760,16.31,5565,3990,250,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2018,1.94,1,734,6.32,2310,3045,250,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2019,1.94,3,193,4.65,128,278,260,3.83877
