g,i,year,xwater,xland,p,y,omegalabor,omegasupply,omegaland,Etc
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2024,1.81,1,940,4.33,2882,3799,407,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2024,2.01,57,277.5,3.6,92,236,407,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2024,2.1,12,275,5,157,341,407,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2024,1.91,10,5800,0.39,328,590,407,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2024,2.35,17,1180,11.2,6943,4978,407,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2024,1.81,1,940,4.33,2882,3799,407,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2024,2.34,10,275,5,157,341,407,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2024,1.77,2,1180,11.2,6943,4978,407,2.9529
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2024,1.6,15,275,5,157,341,407,3.83877
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2024,2.66,5,940,4.33,2882,3799,407,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2024,2.36,22,277.5,3.6,92,236,407,2.081091
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Seed,2024,1.95,11,5800,0.39,328,590,407,1.9686
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Vegetable,2024,2.39,1,1180,11.2,6943,4978,407,2.9529
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2024,2.95,217,277.5,3.6,92,236,407,2.081091
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2024,2.06,102,275,5,157,341,407,3.83877
EAST SIDE IRRIGATION DISTRICT NO. 6,Seed,2024,1.82,411,5800,0.39,328,590,407,1.9686
EAST SIDE IRRIGATION DISTRICT NO. 6,Vegetable,2024,2.61,2,1180,11.2,6943,4978,407,2.9529
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2024,1.8,2128,277.5,3.6,92,236,407,2.081091
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2024,2.86,1113,275,5,157,341,407,3.83877
