,i,g,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,Berry,BLALOCK IRRIGATION DISTRICT NO. 3,2019.5,1.8666666666666665,231.0,7701.333333333333,5472.0,1957.6666666666667,4.0,30.0,1.9685999999999997,15.0,0.17,0.25,3525.9875000000006,671.6166666666674,0.9523809523809522,1,1.8666666666666665,1,1,-4.88235294117647,70.5337962962963,601.082870370373,0.06154647950653833,0.04020698907614234,0.5251287414439711,0.37311778997334794,3.968134506625314,0.13333333333333333,123.99000691214749
1,Cereal Grain,BLALOCK IRRIGATION DISTRICT NO. 3,2019.5,2.2777777777777777,286.44444444444446,202.0,78.66666666666667,210.27777777777777,2.7333333333333334,18109.333333333332,2.08,15.0,0.17,0.74,245.78472222222223,52.638888888888914,0.9318177155376467,1,2.2777777777777777,1,1,-4.88235294117647,70.5337962962963,0.0,0.14058924597434086,0.7488754033137494,0.07955394599930798,0.03098140471260179,2.081715191655022,7.462181663330243e-05,1238487.1143349668
2,Hay/Silage,BLALOCK IRRIGATION DISTRICT NO. 3,2019.5,2.2600000000000002,283.8,309.7,147.2,214.3,5.1,9640.7,3.838,15.0,0.17,0.51,220.638,345.79,0.7036529118694312,1,2.2600000000000002,1,1,-4.88235294117647,70.5337962962963,280.120003703703,0.21823440008923115,0.6246047516334478,0.10652815651452471,0.05063269176279637,4.198926592607563,0.0002033860937199052,439057.0347628441
3,Seed,BLALOCK IRRIGATION DISTRICT NO. 3,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,70.5337962962963,4029.9662037037,0.6059469369150107,0.27064556711427823,0.07931418586352892,0.04409331010718218,0.3660628338971253,9.613369505238325e-05,12138797.455118852
4,Vegetable,BLALOCK IRRIGATION DISTRICT NO. 3,2019.5,2.57,259.8,4244.6,5920.1,686.6,16.619999999999997,6745.4,2.952,15.0,0.17,0.3,775.8603472222222,1785.23,0.8617438926528317,1,2.57,1,1,-4.88235294117647,70.5337962962963,2361.21517453704,0.16093895887211673,0.23127115769101922,0.2538023689077015,0.35398751452916255,15.758014317785053,0.0004941639240568881,194304.5524064984
0,Berry,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2019.5,1.8666666666666665,231.0,7701.333333333333,5472.0,1957.6666666666667,4.0,30.0,1.9685999999999997,15.0,0.17,0.25,3525.9875000000006,671.6166666666674,0.9523809523809522,1,1.8666666666666665,1,1,-4.88235294117647,54.3408203125,617.27584635417,0.06154647950653839,0.04020698907614235,0.5251287414439713,0.37311778997334805,3.9681345066253146,0.13333333333333333,123.99000691214758
1,Cereal Grain,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2019.5,2.2875,271.375,197.75,77.0,201.875,2.625,18104.125,2.08,15.0,0.17,0.74,241.8203125,30.34375000000003,0.9521988338837566,1,2.2875,1,1,-4.88235294117647,54.3408203125,0.0,0.12772062153549235,0.7645436205476551,0.07754229709939064,0.03019346081746184,1.9743653875784481,7.464328440901459e-05,1129701.4272170486
2,Hay/Silage,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2019.5,2.3333333333333335,286.44444444444446,313.22222222222223,149.33333333333334,216.66666666666666,5.111111111111111,9645.0,3.838,15.0,0.17,0.51,223.7088888888889,353.65555555555557,0.7023892457731734,1,2.3333333333333335,1,1,-4.88235294117647,54.3408203125,305.060167341821,0.19574081927833595,0.6640692855760644,0.09493041422422406,0.045259480921375356,4.113841273448812,0.00020329541873773875,447139.6604610282
3,Vegetable,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2019.5,2.6444444444444444,259.77777777777777,4264.444444444444,5947.777777777777,676.2222222222222,16.577777777777776,6752.222222222223,2.952,15.0,0.17,0.3,775.4003858024691,1624.1999999999998,0.8734853374037663,1,2.6444444444444444,1,1,-4.88235294117647,54.3408203125,2288.40779765732,0.14965680221292246,0.26309515920320864,0.2452244556723848,0.34202358291148405,15.582765317725519,0.0004936646371564916,188067.97639531456
0,Cereal Grain,BRADEN IRRIGATION DISTRICT NO. 20,2019.5,2.1333333333333333,319.3333333333333,217.33333333333334,84.33333333333333,264.6666666666667,2.3333333333333335,18063.666666666668,2.08,15.0,0.17,0.7399999999999999,304.9125,44.825000000000045,0.9377405002405003,1,2.1333333333333333,1,1,-4.88235294117647,58.4625000000001,0.0,0.19149688094323214,0.6555945354932248,0.11016176407008842,0.04274681949345455,1.8934482029029875,7.481046768013238e-05,1307405.6548552534
1,Hay/Silage,BRADEN IRRIGATION DISTRICT NO. 20,2019.5,2.4166666666666665,270.0,313.0,151.66666666666666,190.0,5.166666666666667,9594.333333333334,3.8379999999999996,15.0,0.17,0.51,200.56333333333336,260.56666666666666,0.7507373843195658,1,2.4166666666666665,1,1,-4.88235294117647,58.4625000000001,206.864722222222,0.14494021326845155,0.7292509674343863,0.08474496507893471,0.04106385421822715,3.9825080700087865,0.00020436900049252926,368677.38626977167
0,Cereal Grain,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2019.5,2.2777777777777777,286.44444444444446,202.0,78.66666666666667,210.27777777777777,2.7333333333333334,18109.333333333332,2.08,15.0,0.17,0.74,245.78472222222223,52.638888888888914,0.9318177155376467,1,2.2777777777777777,1,1,-4.88235294117647,70.5337962962963,0.0,0.14058924597434086,0.7488754033137494,0.07955394599930798,0.03098140471260179,2.081715191655022,7.462181663330243e-05,1238487.1143349668
1,Hay/Silage,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2019.5,2.3375,271.375,309.75,148.375,209.375,5.125,9644.625,3.838,15.0,0.17,0.51,217.2975,343.425,0.7047788105857291,1,2.3375,1,1,-4.88235294117647,70.5337962962963,278.553391203704,0.18843023496910843,0.6724402529762625,0.09406901251606298,0.04506049953856609,4.104513139095781,0.00020330332322153428,429549.31843717967
2,Seed,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2019.5,2.3,407.0,590.0,328.0,14000.0,0.39,14057.0,1.9686,15.0,0.17,0.74,14000.0,4100.5,0.248992673992674,1,2.3,1,1,-4.88235294117647,70.5337962962963,4029.9662037037,0.6059469369150107,0.27064556711427823,0.07931418586352892,0.04409331010718218,0.3660628338971253,9.613369505238325e-05,12138797.455118852
3,Vegetable,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2019.5,2.642857142857143,259.7142857142857,4326.571428571428,6034.428571428572,649.4285714285714,16.6,6772.857142857143,2.9520000000000004,15.0,0.17,0.3,776.9433531746032,1311.4714285714285,0.898175081382497,1,2.642857142857143,1,1,-4.88235294117647,70.5337962962963,2166.36872354498,0.14334613266647805,0.2617651053687554,0.2484150874138586,0.34647367455090816,15.609379206972005,0.0004921605849680095,180965.91647585283
0,Cereal Grain,EAST SIDE IRRIGATION DISTRICT NO. 6,2019.5,2.2600000000000002,283.8,201.1,78.3,207.25,2.7600000000000002,18116.0,2.08,15.0,0.17,0.74,240.78875000000002,50.17250000000003,0.9338740392219773,1,2.2600000000000002,1,1,-4.88235294117647,67.4769500000001,0.0,0.14358136744254674,0.742216337008464,0.08219785839263334,0.032004437156355994,2.113392111888343,7.459435589265574e-05,1219155.9149025558
