,i,g,year,xwater,xland,p,y,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,Cereal Grain,BLALOCK IRRIGATION DISTRICT NO. 3,2020.0,1.855,40.0,226.315,2.7024999999999997,78.5,201.5,296.0,2.081091,15.0,0.17,0.74,244.3029759386568,27.559499999999986,0.9551531459525961,1,1.855,1,1,-4.88235294117647,56.4037924742199,0.0,0.29349538486697035,0.4733098836411334,0.16781692284148975,0.06537780865040667,2.390919493258841,0.03378378378378378,2700.5228079655867
1,Hay/Silage,BLALOCK IRRIGATION DISTRICT NO. 3,2020.0,1.9599999999999997,31.4,224.4,4.84,133.2,288.6,288.8,3.8387699999999993,15.0,0.17,0.51,224.4,356.65599999999995,0.7024273473526839,1,1.9599999999999997,1,1,-4.88235294117647,56.4037924742199,289.69220752578,0.3446075459573782,0.42644871698202896,0.15664571483093195,0.07229802222966089,4.343475464335496,0.06244536030972899,1431.0163883641947
2,Seed,BLALOCK IRRIGATION DISTRICT NO. 3,2020.0,1.9975,15.0,5550.0,0.37,280.25,504.25,296.0,1.9686,15.0,0.17,0.74,5550.0,932.0375,0.5515799951737452,1,1.9975,1,1,-4.88235294117647,56.4037924742199,886.63370752578,0.4269784922954417,0.3026789012816099,0.1737670609162164,0.09657554550673209,0.3446999323373041,0.0900900900900901,3560.598417353267
3,Vegetable,BLALOCK IRRIGATION DISTRICT NO. 3,2020.0,2.4,20.2,815.2,16.024,5883.0,4218.0,288.8,2.9529,15.0,0.17,0.3,815.2,2610.04,0.7992671833804126,1,2.4,1,1,-4.88235294117647,56.4037924742199,2580.56100752578,0.18739572690773998,0.1656335263339828,0.27016360853642346,0.37680713822185374,15.449299243409676,0.16501650165016502,632.5047069056012
0,Cereal Grain,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2020.0,1.73,10.0,226.315,2.7024999999999997,78.5,201.5,296.0,2.081091,15.0,0.17,0.74,243.91311277102062,28.37137500000003,0.9537617679504989,1,1.73,1,1,-4.88235294117647,57.2251872636831,0.0,0.34964361038268443,0.37319548932718705,0.19945686217307465,0.0777040381170539,2.476207551945546,0.13513513513513511,676.7043196784506
1,Hay/Silage,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2020.0,1.7874999999999999,9.5,232.25,4.887499999999999,134.5,291.25,296.0,3.83877,15.0,0.17,0.51,232.25,397.895,0.6821920249254021,1,1.7874999999999999,1,1,-4.88235294117647,57.2251872636831,329.334187736317,0.4360611989910853,0.29194333472372214,0.18606853683044583,0.08592692945474666,4.576190953080945,0.2063983488132095,465.4536173364102
2,Seed,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2020.0,1.8399999999999999,7.0,6500.0,0.36,294.0,529.0,332.0,1.9686,15.0,0.17,0.74,6500.0,1162.4,0.5061248391248392,1,1.8399999999999999,1,1,-4.88235294117647,57.2251872636831,1100.17481273632,0.5218265338308443,0.18982699286260005,0.18534056425172285,0.10300590905483276,0.3456470687306732,0.19305019305019305,1997.3614992627631
3,Vegetable,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2020.0,1.6325,2.0,824.0,15.879999999999999,5936.0,4256.0,296.0,2.9529,15.0,0.17,0.3,824.0,2545.3124999999995,0.8044847206611769,1,1.6325,1,1,-4.88235294117647,57.2251872636831,2515.40731273632,0.21522297783837788,0.020108633956181104,0.31931207419567875,0.44535631400976244,15.820135133319415,1.6666666666666667,61.401346032427256
0,Cereal Grain,BRADEN IRRIGATION DISTRICT NO. 20,2020.0,1.9,15.0,269.48,2.315,82.0,211.5,332.0,2.081091,15.0,0.17,0.74,298.2008870967742,20.741800000000012,0.9679588192078035,1,1.9,1,1,-4.88235294117647,36.3350536290322,0.0,0.27984787399650174,0.49716126426299273,0.1606901780515058,0.06230068368899988,2.0283743814057194,0.0900900900900901,1058.4774141277103
1,Hay/Silage,BRADEN IRRIGATION DISTRICT NO. 20,2020.0,1.6800000000000002,15.0,188.5,4.785,128.0,277.0,260.0,3.83877,15.0,0.17,0.51,188.5,211.83499999999998,0.7650400611055359,1,1.6800000000000002,1,1,-4.88235294117647,36.3350536290322,175.437446370968,0.3951026321128,0.2657157368983572,0.23198348588619633,0.10719814510264668,4.517820086547258,0.13071895424836602,507.967877330529
2,Vineyard,BRADEN IRRIGATION DISTRICT NO. 20,2020.0,1.685,4.0,865.585,5.1175,2464.0,3248.0,296.0,1.9686,15.0,0.17,0.13,1283.0197813662103,301.66375000000016,0.9523809523809523,1,1.685,1,1,-4.88235294117647,36.3350536290322,496.243677512549,0.12072332555590436,0.04704238015408585,0.4732312653805938,0.359003028909416,5.071247377686503,1.923076923076923,0.19661214483716422
0,Cereal Grain,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2020.0,2.0375,20.5,226.315,2.7024999999999997,78.5,201.5,296.0,2.081091,15.0,0.17,0.74,245.23546866737178,26.633249999999975,0.9567179541873609,1,2.0375,1,1,-4.88235294117647,56.1863540735721,0.0,0.21750963645431368,0.6095628849458617,0.12444602477808796,0.0484814538217365,2.2506454282730664,0.06591957811470006,1383.1639793532997
1,Hay/Silage,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2020.0,2.0375,3.0,232.25,4.887499999999999,134.5,291.25,296.0,3.83877,15.0,0.17,0.51,232.25,394.145,0.6855252890392366,1,2.0375,1,1,-4.88235294117647,56.1863540735721,326.623020926428,0.3245486534344776,0.4718940677643439,0.1392508689391504,0.06430640986202824,4.312434440748577,0.6535947712418301,146.17781126742784
2,Seed,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2020.0,2.085,15.0,6500.0,0.36,294.0,529.0,332.0,1.9686,15.0,0.17,0.74,6500.0,1158.725,0.5078613256113256,1,2.085,1,1,-4.88235294117647,56.1863540735721,1097.53864592643,0.432021865868146,0.3286646705975637,0.1538235992826727,0.08548986425161771,0.3327003573537602,0.0900900900900901,4269.499578198554
0,Cereal Grain,EAST SIDE IRRIGATION DISTRICT NO. 6,2020.0,2.57,233.4,217.14000000000001,2.7299999999999995,77.8,199.8,288.8,2.081091,15.0,0.17,0.74,239.30160360789804,23.511599999999998,0.9611725920652091,1,2.57,1,1,-4.88235294117647,48.3433778495616,0.0,0.07521273337879117,0.8628579624802599,0.04457303662594249,0.017356267515006633,1.8401309509725399,0.005789851548206304,15075.18915556304
