,i,g,year,xwater,xland,p,y,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,Cereal Grain,BLALOCK IRRIGATION DISTRICT NO. 3,2023.0,1.62,53.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,295.6261061946903,31.815000000000055,0.9523809523809523,1,1.62,1,1,-4.88235294117647,31.8150000000001,0.0,0.36202169131170586,0.28464007123107943,0.25444797603051,0.09889026142670475,2.1262182614748304,0.025497195308516064,3308.2188277889163
1,Hay/Silage,BLALOCK IRRIGATION DISTRICT NO. 3,2023.0,1.84,18.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,514.7800000000001,0.6095359456302432,1,1.84,1,1,-4.88235294117647,31.8150000000001,482.965,0.4413328260957412,0.2956507514183575,0.18007348427457975,0.08294293821132158,4.776688456015804,0.10893246187363835,1044.997560885516
2,Seed,BLALOCK IRRIGATION DISTRICT NO. 3,2023.0,1.75,19.0,6200.0,0.39,318.0,572.0,294.0,1.9686,15.0,0.17,0.74,6200.0,1207.75,0.5005169561621174,1,1.75,1,1,-4.88235294117647,31.8150000000001,1175.935,0.5372715305161019,0.14431883927958272,0.2046407960414252,0.11376883416289024,0.37859226995663386,0.07112375533428164,5466.363732168192
3,Vegetable,BLALOCK IRRIGATION DISTRICT NO. 3,2023.0,2.58,17.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2412.0999999999985,0.8313429078857207,1,2.58,1,1,-4.88235294117647,31.8150000000001,2380.285,0.14852147831361587,0.21718462091758073,0.264869980540819,0.36942392022798437,15.825325805267981,0.19607843137254904,492.34070632469815
0,Cereal Grain,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2023.0,1.58,4.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,295.34734513274344,31.785000000000082,0.9523809523809522,1,1.58,1,1,-4.88235294117647,31.7850000000001,0.0,0.37666381328064924,0.25567318006389866,0.2647636117110016,0.10289939494445041,2.1431815580277114,0.33783783783783783,249.65390321599034
1,Hay/Silage,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2023.0,1.6,9.0,258.0,5.11,152.0,330.0,294.0,3.83877,15.0,0.17,0.51,258.0,518.3800000000001,0.6068053216826711,1,1.6,1,1,-4.88235294117647,31.7850000000001,486.595,0.5301009208781057,0.1553804500773008,0.21533433108862213,0.09918429795597139,4.954888662861737,0.2178649237472767,524.8245001806274
2,Seed,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2023.0,1.79,7.0,6200.0,0.39,318.0,572.0,294.0,1.9686,15.0,0.17,0.74,6200.0,1207.15,0.5007650951199338,1,1.79,1,1,-4.88235294117647,31.7850000000001,1175.365,0.5263690349750095,0.16155792693568644,0.2005682896484065,0.11150474844089733,0.37703674828304046,0.19305019305019305,2013.1188496161476
3,Vegetable,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2023.0,1.97,2.0,860.0,16.63,6731.0,4826.0,294.0,2.9529,15.0,0.17,0.3,860.0,2421.25,0.8307031282775594,1,1.97,1,1,-4.88235294117647,31.7850000000001,2389.465,0.18003483523064856,0.05367749668699984,0.3199882570014215,0.44629941108093,16.450101766664993,1.6666666666666667,58.11828626167624
0,Cereal Grain,BRADEN IRRIGATION DISTRICT NO. 20,2023.0,1.86,15.0,255.3,2.26,89.0,229.0,294.0,2.081091,15.0,0.17,0.74,297.2986725663717,31.995000000000005,0.9523809523809523,1,1.86,1,1,-4.88235294117647,31.995,0.0,0.26690826077773033,0.4727293811268442,0.18749364781085676,0.07286871028456877,1.999622914462553,0.0900900900900901,936.8056100522207
1,Vineyard,BRADEN IRRIGATION DISTRICT NO. 20,2023.0,2.41,4.0,935.33,4.78,2794.0,3683.0,294.0,1.9686,15.0,0.17,0.13,1495.2944560669455,340.3575000000001,0.9523809523809523,1,2.41,1,1,-4.88235294117647,31.995,308.3625,0.064986425483879,0.2714806646678345,0.3773030271686334,0.28622988267965294,4.4843986457444664,1.923076923076923,0.15052569415667244
