g,i,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland,Etc
BLALOCK IRRIGATION DISTRICT NO. 3,Berry,2017,1.8,240,7828,5562,1700,4,30,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Berry,2017,1.8,240,7828,5562,1700,4,30,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Berry,2016,1.9,231,7676,5454,1900,4,30,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Berry,2016,1.9,231,7676,5454,1900,4,30,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Berry,2015,1.9,222,7600,5400,2273,4,30,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Berry,2015,1.9,222,7600,5400,2273,4,30,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2016,2.2,231,182,71,146,3,18046,2.08
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2017,2.3,240,185,72,148,3,18176,2.08
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2015,2.4,222,180,70,160,2,18052,2.08
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2018,2.4,250,189,74,173,3,18192,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2019,2.1,260,193,75,180,3,18176,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2019,2.1,260,193,75,180,3,18176,2.08
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2019,2.1,260,193,75,180,3,18176,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2019,2.1,260,193,75,180,3,18176,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2019,2.1,260,193,75,180,3,18176,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2019,2.1,260,193,75,180,3,18176,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2019,2.1,260,193,75,180,3,18176,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2019,2.1,260,193,75,180,3,18176,2.08
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2020,2.6,270,194,76,194,3,18176,2.08
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
BRADEN IRRIGATION DISTRICT NO. 20,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2023,2.1,294,229,89,255,2,18123,2.08
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
BRADEN IRRIGATION DISTRICT NO. 20,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2022,2.1,383,220,85,264,3,18034,2.08
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
BRADEN IRRIGATION DISTRICT NO. 20,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
WALLA WALLA WATER & POWER DISTRICT NO. 18,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2021,2.2,281,203,79,275,2,18034,2.08
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
EAST SIDE IRRIGATION DISTRICT NO. 6,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
GARDENA FARMS DISTRICT NO. 13,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
HUDSON BAY IRRIGATION DISTRICT NO.,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
LOWDEN IRRIGATION DISTRICT NO. 2,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
MUD CREEK IRRIGATION DISTRICT NO. 7,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
TOUCHET IRRIGATION DISTRICT NO. 16,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
TWO RIVERS IRRIGATION DISTRICT NO. 19,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
WEST SIDE IRRIGATION DISTRICT NO. 5,Cereal Grain,2024,2.2,407,236,92,277.5,3.6,18151,2.08
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
WATER DISTRIBUTION DISTRICT NO.  1,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
WEST SIDE IRRIGATION DISTRICT NO. 5,Hay/Silage,2016,2.6,231,455,253,142,5,9580,3.838
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
CONSOLIDATED IRRIGATION DISTRICT NO. 14,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
EAST SIDE IRRIGATION DISTRICT NO. 6,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
GARDENA FARMS DISTRICT NO. 13,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
HUDSON BAY IRRIGATION DISTRICT NO.,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
HYDRO-IRRIGATION DISTRICT NO. 9,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
LOWDEN IRRIGATION DISTRICT NO. 2,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
ORCHARD IRRIGATION DISTRICT NO. 10,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
TOUCHET IRRIGATION DISTRICT NO. 16,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
TWO RIVERS IRRIGATION DISTRICT NO. 19,Hay/Silage,2017,2.2,240,268,124,172,6,9583,3.838
