,i,g,year,xland,xwater,p,y,Cost of Water $/arc,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,Berry,Benton,2020.0,1139.2,2.2,2393.4,3.5460000000000003,186.2,5994.0,8436.0,445.0,1.9686,15.0,0.17,0.25,4524.40110231017,745.4000000000008,0.9523809523809523,1,2.2,1,1,-4.88235294117647,71.1386479229541,1064.38766086891,0.09000430101453694,0.08826811595489215,0.4803945870024876,0.34133299602808326,3.4809830004819737,0.0035112359550561797,8244.489831077895
1,Cereal Grain,Benton,2020.0,3201.8,1.2,217.2,2.7299999999999995,186.2,77.8,199.8,445.0,2.081091,15.0,0.17,0.74,297.34016407434217,37.030000000000015,0.9523809523809523,1,1.2,1,1,-4.88235294117647,71.1386479229541,0.0,0.6162276226121606,0.052340525257535096,0.23854497138196984,0.09288688074833458,2.712534450766324,0.0004220598886099542,316597.7796899672
2,Hay/Silage,Benton,2020.0,5311.4,1.6,224.4,4.742,186.2,133.2,288.6,445.0,3.8387699999999993,15.0,0.17,0.51,224.4,174.49599999999995,0.8511061006525275,1,1.6,1,1,-4.88235294117647,71.1386479229541,102.166152077046,0.483721244403992,0.18629001721066177,0.22578176836892108,0.10420697001642508,4.567233475970771,0.0003691652509179294,235734.9608652025
3,Herb,Benton,2020.0,6575.6,2.2,384.4,0.064,186.2,832.8,666.0,445.0,2.416,15.0,0.17,0.41,32753.0,98.84,0.9523809523809523,1,2.2,1,1,-4.88235294117647,71.1386479229541,48.253352077046,0.15620151846630875,0.42898956170969754,0.18432261849665058,0.23048630132734327,0.057246307376988624,0.0003709204316326879,132753.2795678298
4,Orchard,Benton,2020.0,12664.8,2.2,1436.4,17.066,186.2,1887.0,3552.0,445.0,2.65761,15.0,0.17,0.13,1436.4,18411.748,0.24526057533619722,1,2.2,1,1,-4.88235294117647,71.1386479229541,18525.463752077,0.7315072609146135,0.059546668868386665,0.1364545764682448,0.07249149374875503,16.857397313320195,0.0006073769575759343,14306.005804302815
5,Seed,Benton,2020.0,2106.75,2.0,9152.5,0.365,185.25,281.5,506.5,466.75,1.9686,15.0,0.17,0.74,9152.5,2054.75,0.3840680961858352,1,2.0,1,1,-4.88235294117647,71.1386479229541,1984.77385207705,0.6012803686313832,0.21089865631486723,0.12072503028518287,0.06709594476856659,0.3483582453199848,0.0006414388756859387,1018167.9887409064
6,Vegetable,Benton,2020.0,6961.8,0.8908454758,815.2,16.04,186.2,5883.0,4218.0,445.0,2.9529,15.0,0.17,0.3,815.2,2488.9573178630003,0.8086323218953432,1,0.8908454758,1,1,-4.88235294117647,71.1386479229541,2445.30666994005,0.22658263652403654,0.0005814790096446796,0.32272267702989127,0.45011320743642735,16.041448271180727,0.0004788033746061842,220647.10937885699
7,Vineyard,Benton,2020.0,19730.6,1.8,848.0,5.156000000000001,186.2,2442.0,3219.0,445.0,1.9686,15.0,0.17,0.13,1286.7944582321543,306.65000000000055,0.9523809523809523,1,1.8,1,1,-4.88235294117647,71.1386479229541,430.573578722034,0.13364453704350754,0.06720900333544982,0.45441661429431834,0.3447298453267242,5.087294612304788,0.00038986689164585426,1108.0895178522098
0,Berry,Kittitas,2020.0,15.0,1.4,2393.4,3.5460000000000003,88.8,5994.0,8436.0,386.6,1.9686,15.0,0.17,0.25,4501.657854323459,741.8799999999999,0.9523809523809523,1,1.4,1,1,-4.88235294117647,63.6228311648222,1061.65592026617,0.09419548085056614,0.0067636487177614325,0.5255931242523624,0.37344774617931015,3.5420292723805447,0.26666666666666666,103.84134470535135
1,Cereal Grain,Kittitas,2020.0,1737.0,2.0,217.2,2.7299999999999995,88.8,77.8,199.8,386.6,2.081091,15.0,0.17,0.74,277.5907806464551,34.710000000000015,0.9523809523809523,1,2.0,1,1,-4.88235294117647,63.6228311648222,0.0,0.2791828721516498,0.5486775561860556,0.12389584444570037,0.048243727216594035,2.338771817623391,0.0007779800525914516,149821.66453540375
2,Hay/Silage,Kittitas,2020.0,46198.6,2.4,224.4,4.84,88.8,133.2,288.6,386.6,3.8387699999999993,15.0,0.17,0.51,224.4,252.256,0.8085673252590542,1,2.4,1,1,-4.88235294117647,63.6228311648222,178.073168835178,0.1727942720170932,0.7112020864877996,0.07937091260191548,0.036632728893191746,3.7788792747504543,4.2442505048323764e-05,2083557.4423651895
3,Herb,Kittitas,2020.0,12.8,2.4,384.4,0.064,72.0,277.8,499.8,386.6,2.416,15.0,0.17,0.41,19871.5,60.01000000000008,0.9523809523809523,1,2.4,1,1,-4.88235294117647,63.6228311648222,7.95316883517784,0.11988572575586366,0.6766484874116537,0.1307770065057547,0.072688780326728,0.05108650769774635,0.19054878048780488,209.78350097172364
4,Oilseed,Kittitas,2020.0,204.0,2.8,458.0,0.8800000000000001,72.2,832.8,666.0,386.6,1.9686,15.0,0.17,0.74,2447.4735580595875,96.37000000000003,0.9523809523809523,1,2.8,1,1,-4.88235294117647,63.6228311648222,162.753899927615,0.07198363728354662,0.7520079270156375,0.07821031370212404,0.09779812199869206,0.6640543312433042,0.006624271330153682,23956.39365958555
5,Orchard,Kittitas,2020.0,1939.6,2.0,1436.4,17.066,88.8,1887.0,3552.0,386.6,2.65761,15.0,0.17,0.13,1436.4,18473.147999999997,0.24278355702541873,1,2.0,1,1,-4.88235294117647,63.6228311648222,18594.3795688352,0.7507207407994453,0.03487887302036446,0.14001657872992015,0.0743838074502701,16.946605836464844,0.00396592477433888,2191.294022623409
6,Seed,Kittitas,2020.0,783.8,2.0,9042.0,0.372,88.8,277.8,499.8,386.6,1.9686,15.0,0.17,0.74,9042.0,2165.4,0.35558801400428813,1,2.0,1,1,-4.88235294117647,63.6228311648222,2105.80116883518,0.6059160094714707,0.20975071002528847,0.11847964711357986,0.06585363338966084,0.355140315646958,0.0017241022599532425,383811.0475346596
