,i,g,year,xland,xwater,p,y,Cost of Water $/arc,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,Berry,Benton,2023.0,1248.0,2.0,1900.0,3.53,198.0,6858.0,9652.0,731.0,1.9686,15.0,0.17,0.25,5137.2662889518415,863.5499999999993,0.9523809523809524,1,2.0,1,1,-4.88235294117647,53.2,810.349999999999,0.08397065449853479,0.046595645855288984,0.5082843167162261,0.3611493829299501,3.4968542999464445,0.003205128205128205,9112.023020889694
1,Cereal Grain,Benton,2023.0,4423.0,1.0,255.0,2.26,198.0,89.0,229.0,731.0,2.081091,15.0,0.17,0.74,494.3362831858408,53.200000000000045,0.9523809523809523,1,1.0,1,1,-4.88235294117647,53.2,0.0,0.7019334049409236,0.013426423200859287,0.20497672753311844,0.07966344432509843,2.26,0.0003055282277529621,664493.9972370241
2,Hay/Silage,Benton,2023.0,5179.0,2.0,258.0,5.11,198.0,152.0,330.0,731.0,3.83877,15.0,0.17,0.51,258.0,75.38000000000011,0.9428237685644503,1,2.0,1,1,-4.88235294117647,53.2,22.1800000000001,0.37105615560789845,0.4071513061309754,0.1518496631248375,0.06994287513628879,4.612781996894198,0.00037860287965350267,299776.80543312157
3,Herb,Benton,2023.0,6589.0,2.0,438.0,0.06,198.0,953.0,762.0,731.0,2.416,15.0,0.17,0.41,43330.00000000001,123.80000000000018,0.9523809523809523,1,2.0,1,1,-4.88235294117647,53.2,70.6000000000001,0.24743661862743765,0.2561270208834943,0.22057405638056557,0.27586230410850265,0.056606217943565,0.0003701660935261652,201471.23278281998
4,Orchard,Benton,2023.0,12333.0,2.0,1173.0,18.67,198.0,2159.0,4064.0,731.0,2.65761,15.0,0.17,0.13,1173.0,14915.910000000003,0.3189054201592609,1,2.0,1,1,-4.88235294117647,53.2,14862.71,0.6876332343519432,0.03888518894235951,0.17860021335882278,0.0948813633468746,18.524150343864207,0.000623717480929838,11447.585199305204
5,Seed,Benton,2023.0,8239.0,2.0,9750.0,0.39,198.0,318.0,572.0,731.0,1.9686,15.0,0.17,0.74,9750.0,2151.5,0.4341880341880342,1,2.0,1,1,-4.88235294117647,53.2,2098.3,0.6189179029862742,0.18998515558864895,0.12281736010690335,0.06827958131817354,0.3741336560834349,0.00016401885560764066,4549787.398920713
6,Vegetable,Benton,2023.0,5872.0,1.0,860.0,16.63,198.0,6731.0,4826.0,731.0,2.9529,15.0,0.17,0.3,860.0,1998.7999999999993,0.860241368219385,1,1.0,1,1,-4.88235294117647,53.2,1945.6,0.19087107916486037,0.0010488190297724762,0.3374400425121314,0.47064005929323594,16.63,0.0005676657584014533,171549.65857648297
7,Vineyard,Benton,2023.0,18881.0,2.0,935.0,4.78,198.0,2794.0,3683.0,731.0,1.9686,15.0,0.17,0.13,1589.937238493724,361.90000000000055,0.9523809523809523,1,2.0,1,1,-4.88235294117647,53.2,308.700000000001,0.1292650418134655,0.10465418608861603,0.43561455668313015,0.3304662154147884,4.676775402304421,0.0004074099725813088,1224.1143430662548
0,Berry,Kittitas,2023.0,33.0,3.0,1900.0,3.53,96.0,6858.0,9652.0,182.0,1.9686,15.0,0.17,0.25,4978.427762039661,836.8500000000022,0.9523809523809522,1,3.0,1,1,-4.88235294117647,46.3,790.550000000002,0.037543238995468645,0.3540856800650545,0.3556630934723096,0.2527079874671674,3.229408117671589,0.12121212121212122,153.95233162474156
1,Cereal Grain,Kittitas,2023.0,1440.0,2.0,255.0,2.26,96.0,89.0,229.0,182.0,2.081091,15.0,0.17,0.74,255.0,46.299999999999955,0.9196598993579733,1,2.0,1,1,-4.88235294117647,46.3,0.0,0.1595251775723819,0.6182715527472965,0.16001430426664676,0.06218896541367494,1.8758541933154342,0.0009384384384384385,62981.88988908575
