,i,g,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,Cereal Grain,BLALOCK IRRIGATION DISTRICT NO. 3,2015.0,29.0,1.855503829,160.0,2.213139293,70.0,180.0,222.0,0.74,15.0,0.17,0.74,237.14015062980044,24.991627871749984,0.9523809523809524,1,1.855503829,1,1,-4.88235294117647,24.99162787175,0.0,0.2316539042948827,0.5338706336307828,0.1688223326935209,0.06565312938081368,1.9140773457550067,0.046598322460391424,1372.231912791994
1,Hay/Silage,BLALOCK IRRIGATION DISTRICT NO. 3,2015.0,37.0,1.852347341,174.0,5.418390805,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,313.01478995499997,0.667994495193297,1,1.852347341,1,1,-4.88235294117647,24.99162787175,288.02316208325,0.36184845397488197,0.38114479575935367,0.1758467238660494,0.08116002639971512,4.941338963284623,0.05299417064122946,1420.9535466315606
2,Seed,BLALOCK IRRIGATION DISTRICT NO. 3,2015.0,10.0,2.316699845,0.3747,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.3747,2592.879502325,0.46357509732333674,1,2.316699845,1,1,-4.88235294117647,24.99162787175,2567.88787445325,0.41333526803866183,0.3044775756613649,0.07406144677415835,0.20812570952581488,11993.164882957737,0.13513513513513511,5463.594466113483
3,Vegetable,BLALOCK IRRIGATION DISTRICT NO. 3,2015.0,37.0,2.562335685,255.0,26.88743272,5300.0,3800.0,222.0,0.3,15.0,0.17,0.3,365.54091606254144,468.0217517637502,0.9523809523809523,1,2.562335685,1,1,-4.88235294117647,24.99162787175,443.030123892,0.05077254483086554,0.2796396388721975,0.27960809911300666,0.38997971718393026,25.16061933347101,0.0900900900900901,273.235728338862
0,Cereal Grain,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2015.0,18.0,1.832013574,160.0,2.213139293,70.0,180.0,222.0,0.74,15.0,0.17,0.74,236.97298016862786,24.974010180500045,0.9523809523809523,1,1.832013574,1,1,-4.88235294117647,24.9740101805,0.0,0.24092873367387022,0.5151906111331113,0.17559407173897332,0.06828658345404517,1.9292790953437793,0.07507507507507508,851.6693996196999
1,Hay/Silage,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2015.0,6.0,1.8,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,310.6,0.6694338016177096,1,1.8,1,1,-4.88235294117647,24.9740101805,285.6259898195,0.3835253555552774,0.34283657626784425,0.1872260466473378,0.08641202152954053,4.984748910180772,0.32679738562091504,229.3848763683679
2,Seed,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,2015.0,7.0,2.0,0.4,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.4,2924.0,0.43333333333333335,1,2.0,1,1,-4.88235294117647,24.9740101805,2899.0259898195,0.5291927127243222,0.1471069380220631,0.08495679428279254,0.2387435549708221,12501.273589552346,0.19305019305019305,4268.565631901008
0,Hay/Silage,BRADEN IRRIGATION DISTRICT NO. 20,2015.0,15.0,2.0,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,307.6,0.6726266496381439,1,2.0,1,1,-4.88235294117647,307.6,0.0,0.2951368093335799,0.49309584257963707,0.14489344869095688,0.06687389939582626,4.729805844464807,0.13071895424836602,570.2320246183235
0,Cereal Grain,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2015.0,2.0,2.4,160.0,2.2,70.0,180.0,222.0,0.74,15.0,0.17,0.74,242.4545454545454,25.399999999999977,0.9523809523809524,1,2.4,1,1,-4.88235294117647,25.4,0.0,0.08023618753289563,0.83868439903451,0.05837717767146811,0.022702235761126493,1.535872716446779,0.6756756756756757,94.79315446634436
1,Hay/Silage,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2015.0,7.0,2.6,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,298.6,0.6822051936994465,1,2.6,1,1,-4.88235294117647,25.4,273.2,0.10325975200168988,0.8213681662452519,0.051570371725776734,0.02380171002728157,3.827819536715045,0.2801120448179272,261.5860453315829
2,Seed,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2015.0,3.0,2.4,0.4,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.4,2918.0,0.43449612403100774,1,2.4,1,1,-4.88235294117647,25.4,2892.6,0.41206243042049967,0.3354082803038589,0.06627758953253866,0.1862516997431028,11881.418901969204,0.4504504504504505,1825.9368537161029
3,Vegetable,CONSOLIDATED IRRIGATION DISTRICT NO. 14,2015.0,24.0,2.2,255.0,26.9,5300.0,3800.0,222.0,0.3,15.0,0.17,0.3,365.1579925650558,467.75,0.9523809523809523,1,2.2,1,1,-4.88235294117647,25.4,442.35,0.060825652551357225,0.13669020360326284,0.3351032688585103,0.46738087498686953,26.12024971290559,0.1388888888888889,177.1641857611248
0,Cereal Grain,EAST SIDE IRRIGATION DISTRICT NO. 6,2015.0,178.0,2.8,160.0,2.2,70.0,180.0,222.0,0.74,15.0,0.17,0.74,245.3181818181818,25.700000000000045,0.9523809523809523,1,2.8,1,1,-4.88235294117647,25.7,0.0,0.03589114252832109,0.9278844503982827,0.026081573092845364,0.010142833980550974,1.3053636350748437,0.007591861524445794,8446.82105156387
1,Hay/Silage,EAST SIDE IRRIGATION DISTRICT NO. 6,2015.0,265.0,2.8,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,295.6,0.6853980417198808,1,2.8,1,1,-4.88235294117647,25.7,269.9,0.07089125000515327,0.8770633964361948,0.03560997875065659,0.01643537480799535,3.5482210487473202,0.007399186089530151,9845.83401620692
2,Seed,EAST SIDE IRRIGATION DISTRICT NO. 6,2015.0,168.0,2.1,0.4,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.4,2922.5,0.43362403100775193,1,2.1,1,1,-4.88235294117647,25.7,2896.8,0.5044027655382097,0.18691510826254645,0.08101518566400287,0.227666940535241,12380.223725704995,0.008043758043758044,102397.29732624358
3,Vegetable,EAST SIDE IRRIGATION DISTRICT NO. 6,2015.0,121.0,2.4,255.0,26.9,5300.0,3800.0,222.0,0.3,15.0,0.17,0.3,365.275092936803,467.89999999999964,0.9523809523809524,1,2.4,1,1,-4.88235294117647,25.7,442.2,0.05574545536755533,0.208954292647007,0.30704845687303994,0.42825179511239775,25.65833671026718,0.027548209366391185,893.3970147727802
0,Cereal Grain,GARDENA FARMS DISTRICT NO. 13,2015.0,1432.0,2.8,160.0,2.2,70.0,180.0,222.0,0.74,15.0,0.17,0.74,245.3181818181818,25.700000000000045,0.9523809523809523,1,2.8,1,1,-4.88235294117647,25.7,0.0,0.035891142528321075,0.9278844503982825,0.026081573092845353,0.01014283398055097,1.3053636350748434,0.0009436811112788766,67954.20081932282
1,Hay/Silage,GARDENA FARMS DISTRICT NO. 13,2015.0,755.0,3.0,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,292.6,0.688590889740315,1,3.0,1,1,-4.88235294117647,25.7,266.9,0.04899183034671137,0.914830758981407,0.02475296519655063,0.011424445475331061,3.2935221836003477,0.002597065316192702,27888.75338630224
2,Orchard,GARDENA FARMS DISTRICT NO. 13,2015.0,7.0,3.0,4446.0,16.2,1700.0,3200.0,222.0,0.13,15.0,0.17,0.13,4446.0,66858.2,0.07173878031577836,1,3.0,1,1,-4.88235294117647,25.7,66832.5,0.8221681554776931,0.11777501759214429,0.03922078493398377,0.020836041996178875,15.791529994531631,1.0989010989010988,27.85537164933769
3,Seed,GARDENA FARMS DISTRICT NO. 13,2015.0,3656.0,2.3,0.4,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.4,2919.5,0.43420542635658915,1,2.3,1,1,-4.88235294117647,25.7,2893.8,0.44524475834344174,0.2820191886458042,0.07158095690215471,0.2011550961085991,12070.230931484155,0.00036962564314861905,2226258.996804736
4,Vegetable,GARDENA FARMS DISTRICT NO. 13,2015.0,160.0,3.1,255.0,26.9,5300.0,3800.0,222.0,0.3,15.0,0.17,0.3,365.6849442379183,468.4250000000011,0.9523809523809523,1,3.1,1,1,-4.88235294117647,25.7,442.725000000001,0.032196853652570696,0.5434393584799667,0.17720685647212725,0.24715693139533534,22.93150101186423,0.020833333333333332,1182.2504091252858
5,Vineyard,GARDENA FARMS DISTRICT NO. 13,2015.0,4.0,2.6,678.7,5.8,2200.0,2900.0,222.0,0.13,15.0,0.17,0.13,970.5258620689656,268.0500000000002,0.9523809523809523,1,2.6,1,1,-4.88235294117647,25.7,242.35,0.05035913413076189,0.4255482547746853,0.29801344552435355,0.22607916557019922,5.184858571296923,1.923076923076923,0.1162831942894619
0,Hay/Silage,HUDSON BAY IRRIGATION DISTRICT NO.,2015.0,62.0,1.7,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,312.1,0.6678373776074925,1,1.7,1,1,-4.88235294117647,312.1,0.0,0.4258314595075926,0.27119914410056106,0.2072948501628423,0.09567454622900412,5.08980161902268,0.031625553447185324,2376.9860661651683
1,Vegetable,HUDSON BAY IRRIGATION DISTRICT NO.,2015.0,16.0,1.9,255.0,26.9,5300.0,3800.0,222.0,0.3,15.0,0.17,0.3,364.98234200743497,467.52499999999964,0.9523809523809524,1,1.9,1,1,-4.88235294117647,312.1,155.425,0.06602187240206411,0.06265505902350658,0.3638491934706408,0.5074738751037885,26.561667185360534,0.20833333333333334,118.07092926126819
0,Hay/Silage,HYDRO-IRRIGATION DISTRICT NO. 9,2015.0,27.0,1.6,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,313.6,0.6662409535972754,1,1.6,1,1,-4.88235294117647,313.6,0.0,0.4642371661539178,0.2063936718996879,0.22535784764753292,0.10401131429886133,5.177648379626936,0.07262164124909223,1038.046243002329
1,Vegetable,HYDRO-IRRIGATION DISTRICT NO. 9,2015.0,15.0,1.7,255.0,26.9,5300.0,3800.0,222.0,0.3,15.0,0.17,0.3,364.86524163568777,467.375,0.9523809523809523,1,1.7,1,1,-4.88235294117647,313.6,153.775,0.06805599052821842,0.03358025417635065,0.37514090880468537,0.5232228464907455,26.726701006940797,0.2222222222222222,110.66741623692958
0,Berry,Irrigated area outside irrigation districts,2015.0,29.0,1.9,2273.0,4.0,5400.0,7600.0,222.0,0.25,15.0,0.17,0.25,3478.2562500000004,662.5250000000015,0.9523809523809523,1,1.9,1,1,-4.88235294117647,25.475,637.050000000001,0.060838561910997714,0.04500773430112792,0.5227360114452186,0.37141769234265537,3.9641125396450394,0.13793103448275862,117.45464353841774
1,Cereal Grain,Irrigated area outside irrigation districts,2015.0,14089.0,2.5,160.0,2.2,70.0,180.0,222.0,0.74,15.0,0.17,0.74,243.17045454545453,25.475000000000023,0.9523809523809523,1,2.5,1,1,-4.88235294117647,25.475,0.0,0.06537710566418553,0.8685787427405164,0.04755178914861459,0.018492362446683452,1.4735774338859322,9.591534894963101e-05,667972.8130902561
2,Hay/Silage,Irrigated area outside irrigation districts,2015.0,7689.0,2.3,174.0,5.4,120.0,260.0,222.0,0.51,15.0,0.17,0.51,174.0,303.1,0.6774159216687952,1,2.3,1,1,-4.88235294117647,25.475,277.625,0.17992919646693195,0.6898611393597027,0.08909082285546048,0.04111884131790484,4.281364960221017,0.00025501161577909875,289817.2609492864
3,Herb,Irrigated area outside irrigation districts,2015.0,711.0,2.1,424.0,0.1,305.0,549.0,294.0,0.41,15.0,0.17,0.41,12384.75,58.975000000000136,0.9523809523809523,1,2.1,1,1,-4.88235294117647,25.475,33.5000000000001,0.14793993904417246,0.49412902350636734,0.23009852407465298,0.12783251337480722,0.08743259227638171,0.0034304140509759527,8977.234512954694
4,Oilseed,Irrigated area outside irrigation districts,2015.0,165.0,2.4,385.0,0.8,881.5,705.0,287.5,0.74,15.0,0.17,0.74,2506.875,95.5,0.9523809523809523,1,2.4,1,1,-4.88235294117647,25.475,70.025,0.08407425597771867,0.5676651510493029,0.15475809520702785,0.19350249776595044,0.6762545506096963,0.00819000819000819,12106.81769705059
5,Orchard,Irrigated area outside irrigation districts,2015.0,1287.0,2.6,1269.0,16.2,1700.0,3200.0,222.0,0.13,15.0,0.17,0.13,1269.0,15396.8,0.25104826391929097,1,2.6,1,1,-4.88235294117647,25.475,15371.325,0.633369509913351,0.16792696621955167,0.12976556660708397,0.06893795726001335,15.607431945925214,0.005976929053852131,1192.4571421508688
6,Seed,Irrigated area outside irrigation districts,2015.0,9371.0,2.3,0.4,12900.0,1436.0,511.0,259.0,0.74,15.0,0.17,0.74,0.4,2919.5,0.43420542635658915,1,2.3,1,1,-4.88235294117647,25.475,2894.025,0.44524475834344174,0.2820191886458043,0.0715809569021547,0.20115509610859914,12070.230931484153,0.00014420567189748706,5706311.011777129
