i,g,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta,Etc
Berry,Okanogan,2016,15,1.7,1900,4.17,5454,7676,195,15,0.17,0.25,3361.636691,667.525,0.952380952,1,1.7,1,1,-4.882352941,24.2,643.325,0.060178918,0.023732628,0.535559404,0.38052905,4.151083769,0.266666667,59.24136162,0.25
Cereal Grain,Okanogan,2016,4,2.4,146,3.1,71,182,195,15,0.17,0.74,163.9354839,24.2,0.952380952,1,2.4,1,1,-4.882352941,24.2,0,0.071676226,0.845595284,0.059512195,0.023216296,2.146442449,0.337837838,167.9762284,0.74
Hay/Silage,Okanogan,2016,3555,2.2,142,5.43,253,455,195,15,0.17,0.51,180.9944751,46.8,0.952380952,1,2.2,1,1,-4.882352941,24.2,22.6,0.096726271,0.620055367,0.1820118,0.101206561,4.484938879,0.000551557,61703.28275,0.51
Orchard,Okanogan,2016,11350,2.3,1255,16.19,5353,3838,195,15,0.17,0.13,1255,10897.95,0.46364265,1,2.3,1,1,-4.882352941,24.2,10873.75,0.497503721,0.090292429,0.17212908,0.24007477,15.88474738,0.000677736,7468.948853,0.13
Vegetable,Okanogan,2016,42,2.2,703,6.71,2222,2929,195,15,0.17,0.3,841.7213115,268.95,0.952380952,1,2.2,1,1,-4.882352941,24.2,244.75,0.064752377,0.216335036,0.408793432,0.310119155,6.39086504,0.079365079,208.5419601,0.3
Vineyard,Okanogan,2016,119,1.4,703,6.71,2222,2929,195,15,0.17,0.13,839.8435171,268.35,0.952380952,1,1.4,1,1,-4.882352941,24.2,244.15,0.080964062,0.018969289,0.511802604,0.388264045,6.688843783,0.064641241,3.270940899,0.13
Cereal Grain,Ahtanum,2016,75,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.018018018,5408.267483,0.74
Hay/Silage,Ahtanum,2016,1297,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.001511784,33242.48988,0.51
Orchard,Ahtanum,2016,156,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.049309665,188.707087,0.13
Cereal Grain,Buena,2016,109,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.012397719,7860.015409,0.74
Hay/Silage,Buena,2016,119,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.016477179,3050.004854,0.51
Orchard,Buena,2016,40,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.192307692,48.38643257,0.13
Vegetable,Buena,2016,2,2.49,255,16.19,5353,3838,345,15,0.17,0.3,620.8781655,478.6675,0.952380952,1,2.49,1,1,-4.882352941,12.06,466.6075,0.062276722,0.242800441,0.290187558,0.404735278,15.30516204,1.666666667,17.63010535,0.3
Cereal Grain,Bull Ditch,2016,116,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.011649581,8364.78704,0.74
Hay/Silage,Bull Ditch,2016,773,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.00253659,19812.2164,0.51
Cereal Grain,Cascade,2016,567,2,146,3.1,71,182,345,15,0.17,0.74,212.7096774,31.4,0.952380952,1,2,1,1,-4.882352941,12.06,19.34,0.248576488,0.584341017,0.120193732,0.046888764,2.614650314,0.002383336,40886.50217,0.74
Hay/Silage,Cascade,2016,6255,2,142,5.43,121,263,345,15,0.17,0.51,142,12.06,0.984359194,1,2,1,1,-4.882352941,12.06,0,0.219610026,0.544210481,0.161758351,0.074421142,4.66056111,0.000313475,160317.482,0.51
Orchard,Cascade,2016,66,2,1364,18.6,1717,3232,345,15,0.17,0.13,1364,20046.4,0.20985085,1,2,1,1,-4.882352941,12.06,20034.34,0.777549184,0.033739354,0.123240139,0.065471324,18.47418184,0.116550117,79.83761374,0.13
Vegetable,Cascade,2016,89,1,255,16.19,5353,3838,345,15,0.17,0.3,619.4286597,477.55,0.952380952,1,1,1,1,-4.882352941,12.06,465.49,0.082020831,0.00149573,0.38270737,0.533776069,16.19,0.037453184,783.4752742,0.3
