g,i,year,xland,xwater,p,y,Cost of Water $/arc,omegalabor,omegasupply,omegaland,Etc
Benton,Berry,2015,951,3,2273,3.96,161,5400,7600,345,1.9686
Benton,Cereal Grain,2015,4256,2,160,2.21,161,70,180,345,2.081091
Benton,Hay/Silage,2015,6386,2,174,5.42,161,120,260,345,3.83877
Benton,Herb,2015,4718,3,733,0.06,161,750,600,345,2.416
Benton,Orchard,2015,13431,2,1269,16.16,161,1700,3200,345,2.65761
Benton,Vegetable,2015,6506,0.46,255,26.89,161,5300,3800,345,2.9529
Benton,Vineyard,2015,20829,2,679,5.79,161,2200,2900,345,1.9686
Benton,Berry,2016,951,3,1900,4.17,166,5454,7676,345,1.9686
Benton,Cereal Grain,2016,4148,2,146,3.1,166,71,182,345,2.081091
Benton,Hay/Silage,2016,6954,2,142,5.43,166,121,263,345,3.83877
Benton,Herb,2016,4738,3,800,0.06,166,758,606,345,2.416
Benton,Orchard,2016,13279,3,1364,18.6,166,1717,3232,345,2.65761
Benton,Vegetable,2016,5878,0.294917721,255,26.89,166,5353,3838,345,2.9529
Benton,Vineyard,2016,21501,2,703,6.71,166,2222,2929,345,1.9686
Benton,Berry,2017,951,3,1700,4.02,170,5562,7828,304,1.9686
Benton,Cereal Grain,2017,4148,2,148,2.86,170,72,185,304,2.081091
Benton,Hay/Silage,2017,6882,2,172,5.69,170,124,268,304,3.83877
Benton,Herb,2017,4884,2,320,0.07,170,773,618,304,2.416
Benton,Orchard,2017,13347,2,1205,19.01,170,1751,3296,304,2.65761
Benton,Vegetable,2017,5895,0.282367719,240,15.47,170,5459,3914,304,2.9529
Benton,Vineyard,2017,21848,2,730,5.74,170,2266,2987,304,1.9686
Benton,Berry,2018,969,3,1467,3.99,190,5670,7980,358,1.9686
Benton,Cereal Grain,2018,2826,1,173,3.05,190,74,189,358,2.081091
Benton,Hay/Silage,2018,5355,2,186,4.76,190,126,273,358,3.83877
Benton,Herb,2018,6184,3,340,0.07,190,788,630,358,2.416
Benton,Orchard,2018,13269,3,1194,17.27,190,1785,3360,358,2.65761
Benton,Vegetable,2018,7049,1,760,16.31,190,5565,3990,358,2.9529
Benton,Vineyard,2018,20519,2,734,6.32,190,2310,3045,358,1.9686
Benton,Berry,2019,1093,2,1600,3.86,178,5778,8132,386,1.9686
Benton,Cereal Grain,2019,2818,1,180,2.84,178,75,193,386,2.081091
Benton,Hay/Silage,2019,5332,1,193,4.65,178,128,278,386,3.83877
Benton,Herb,2019,6506,2,386,0.07,178,803,642,386,2.416
Benton,Orchard,2019,12349,2,1234,18.86,178,1819,3424,386,2.65761
Benton,Seed,2019,21,2,8800,0.38,178,268,482,386,1.9686
Benton,Vegetable,2019,6920,1,780,16.6,178,5671,4066,386,2.9529
Benton,Vineyard,2019,20475,1,777,5.31,178,2354,3103,386,1.9686
Benton,Berry,2020,1094,2,2200,3.88,183,5832,8208,390,1.9686
Benton,Cereal Grain,2020,3318,2,194,3.13,183,76,194,390,2.081091
Benton,Hay/Silage,2020,5444,1,191,4.81,183,130,281,390,3.83877
Benton,Herb,2020,6430,2,386,0.06,183,810,648,390,2.416
Benton,Orchard,2020,12485,2,1676,16.88,183,1836,3456,390,2.65761
Benton,Seed,2020,21,2,9030,0.36,183,270,486,390,1.9686
Benton,Vegetable,2020,6463,1,780,16.6,183,5724,4104,390,2.9529
Benton,Vineyard,2020,20398,2,889,4.38,183,2376,3132,390,1.9686
Benton,Berry,2021,1270,2,3600,2.8,188,6102,8588,466,1.9686
Benton,Cereal Grain,2021,3455,1,275,1.86,188,79,203,466,2.081091
