g,i,year,xland,xwater,p,y,Cost of Water $/arc,omegalabor,omegasupply,omegaland,Etc
Benton,Berry,2024,1248,2,4000,3.97,202,7074,9956,718,1.9686
Benton,Cereal Grain,2024,4423,1,278,3.6,202,92,236,718,2.081091
Benton,Hay/Silage,2024,5241,2,275,5,202,157,341,718,3.83877
Benton,Herb,2024,6589,2,600,0.06,202,983,786,718,2.416
Benton,Orchard,2024,12322,2,956,21.5,202,2227,4192,718,2.65761
Benton,Seed,2024,8203,2,14000,0.39,202,328,590,718,1.9686
Benton,Vegetable,2024,5872,1,1180,11.2,202,6943,4978,718,2.9529
Benton,Vineyard,2024,18875,2,940,4.33,202,2882,3799,718,1.9686
Kittitas,Berry,2024,33,3,4000,3.97,98,7074,9956,170,1.9686
Kittitas,Cereal Grain,2024,2347,2,278,3.6,98,92,236,170,2.081091
Kittitas,Hay/Silage,2024,40467,3,275,5,98,157,341,170,3.83877
Kittitas,Herb,2024,15,2,600,0.06,98,328,590,170,2.416
Kittitas,Oilseed,2024,68,3,370,0.77,98,983,786,170,1.9686
Kittitas,Orchard,2024,2054,2,956,21.5,98,2227,4192,170,2.65761
Kittitas,Seed,2024,432,2,14000,0.39,98,328,590,170,1.9686
Kittitas,Vegetable,2024,2237,2,1180,11.2,98,6943,4978,170,2.9529
Kittitas,Vineyard,2024,35,2,940,4.33,98,2882,3799,170,1.9686
Yakima,Berry,2024,296,2,4000,3.97,220,7074,9956,233,1.9686
Yakima,Cereal Grain,2024,62558,2,278,3.6,220,92,236,233,2.081091
Yakima,Hay/Silage,2024,38705,2,275,5,220,157,341,233,3.83877
Yakima,Herb,2024,34348,2,600,0.06,220,983,786,233,2.416
Yakima,Oilseed,2024,1315,2,370,0.77,220,328,590,233,1.9686
Yakima,Orchard,2024,65418,2,956,21.5,220,2227,4192,233,2.65761
Yakima,Seed,2024,449,2,14000,0.39,220,328,590,233,1.9686
Yakima,Vegetable,2024,4939,2,1180,11.2,220,6943,4978,233,2.9529
Yakima,Vineyard,2024,16658,2,940,4.33,220,2882,3799,233,1.9686
ARTESIA IRRIGATION DISTRICT NO. 8,Vineyard,2024,1.81,1,940,4.33,1,2882,3799,407,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Cereal Grain,2024,2.01,57,277.5,3.6,1,92,236,407,2.081091
BLALOCK IRRIGATION DISTRICT NO. 3,Hay/Silage,2024,2.1,12,275,5,1,157,341,407,3.83877
BLALOCK IRRIGATION DISTRICT NO. 3,Seed,2024,1.91,10,5800,0.39,1,328,590,407,1.9686
BLALOCK IRRIGATION DISTRICT NO. 3,Vegetable,2024,2.35,17,1180,11.2,1,6943,4978,407,2.9529
BLALOCK IRRIGATION DISTRICT NO. 3,Vineyard,2024,1.81,1,940,4.33,1,2882,3799,407,1.9686
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Hay/Silage,2024,2.34,10,275,5,1,157,341,407,3.83877
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Vegetable,2024,1.77,2,1180,11.2,1,6943,4978,407,2.9529
BRADEN IRRIGATION DISTRICT NO. 20,Hay/Silage,2024,1.6,15,275,5,1,157,341,407,3.83877
BRADEN IRRIGATION DISTRICT NO. 20,Vineyard,2024,2.66,5,940,4.33,1,2882,3799,407,1.9686
