NAME,id,group_name
Kittitas,Kittitas,Non Proratable Yakima
Benton,Benton,Non Proratable Yakima
Yakima,Yakima,Proratable Yakima
WEST SIDE IRRIGATION DISTRICT NO. 5,WEST SIDE IRRIGATION DISTRICT NO. 5,Walla Walla
WATER DISTRIBUTION DISTRICT NO.  1,WATER DISTRIBUTION DISTRICT NO.  1,Walla Walla
WALLA WALLA WATER & POWER DISTRICT NO. 18,WALLA WALLA WATER & POWER DISTRICT NO. 18,Walla Walla
TWO RIVERS IRRIGATION DISTRICT NO. 19,TWO RIVERS IRRIGATION DISTRICT NO. 19,Walla Walla
TOUCHET IRRIGATION DISTRICT NO. 16,TOUCHET IRRIGATION DISTRICT NO. 16,Walla Walla
MUD CREEK IRRIGATION DISTRICT NO. 7,MUD CREEK IRRIGATION DISTRICT NO. 7,Walla Walla
HYDRO-IRRIGATION DISTRICT NO. 9,HYDRO-IRRIGATION DISTRICT NO. 9,Walla Walla
HUDSON BAY IRRIGATION DISTRICT NO.,HUDSON BAY IRRIGATION DISTRICT NO.,Walla Walla
GREEN TANK IRRIGATION DISTRICT NO. 11,GREEN TANK IRRIGATION DISTRICT NO. 11,Walla Walla
GARDENA FARMS DISTRICT NO. 13,GARDENA FARMS DISTRICT NO. 13,Walla Walla
EAST SIDE IRRIGATION DISTRICT NO. 6,EAST SIDE IRRIGATION DISTRICT NO. 6,Walla Walla
CONSOLIDATED IRRIGATION DISTRICT NO. 14,CONSOLIDATED IRRIGATION DISTRICT NO. 14,Walla Walla
BRADEN IRRIGATION DISTRICT NO. 20,BRADEN IRRIGATION DISTRICT NO. 20,Walla Walla
BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,BLALOCK ORCHARDS IRRIGATION DISTRICT NO. 12,Walla Walla
BLALOCK IRRIGATION DISTRICT NO. 3,BLALOCK IRRIGATION DISTRICT NO. 3,Walla Walla
ARTESIA IRRIGATION DISTRICT NO. 8,ARTESIA IRRIGATION DISTRICT NO. 8,Walla Walla
Okanogan,Okanogan,Okanogan
