g,i,year,xland,xwater,p,y,omegalabor,omegasupply,omegaland,Etc
Ahtanum,Berry,2024,3,2,4000,3.97,7074,9956,233,0.25
Ahtanum,Cereal Grain,2024,44,2,278,3.6,92,236,233,0.74
Ahtanum,Hay/Silage,2024,1519,2,275,5,157,341,233,0.51
Ahtanum,Orchard,2024,74,2,956,21.5,2227,4192,233,0.13
Buena,Hay/Silage,2024,5,2.333,275,5,157,341,233,0.51
Buena,Herb,2024,72,2,600,0.06,983,786,233,0.41
Buena,Orchard,2024,32,2,956,21.5,2227,4192,233,0.13
Buena,Seed,2024,8,2.782,14000,0.39,328,590,233,0.74
Bull Ditch,Cereal Grain,2024,5,2.281,278,3.6,92,236,233,0.74
Bull Ditch,Hay/Silage,2024,777,2,275,5,157,341,233,0.51
Bull Ditch,Vegetable,2024,103,2,1180,11.2,6943,4978,233,0.3
Cascade,Cereal Grain,2024,174,2,278,3.6,92,236,233,0.74
Cascade,Hay/Silage,2024,5914,2,275,5,157,341,233,0.51
Cascade,Herb,2024,3,1.418,600,0.06,983,786,233,0.41
Cascade,Orchard,2024,71,2,956,21.5,2227,4192,233,0.13
Cascade,Seed,2024,35,2,14000,0.39,328,590,233,0.74
Cascade,Vegetable,2024,422,2,1180,11.2,6943,4978,233,0.3
Cascade,Vineyard,2024,2,1.499,940,4.33,2882,3799,233,0.13
Ellensburg Wat,Cereal Grain,2024,297,2,278,3.6,92,236,233,0.74
Ellensburg Wat,Hay/Silage,2024,6386,2,275,5,157,341,233,0.51
Ellensburg Wat,Seed,2024,73,2,14000,0.39,328,590,233,0.74
Ellensburg Wat,Vegetable,2024,833,2,1180,11.2,6943,4978,233,0.3
Ellensburg Wat,Vineyard,2024,2,2,940,4.33,2882,3799,233,0.13
FGP,Cereal Grain,2024,4,2.485,278,3.6,92,236,233,0.74
FGP,Hay/Silage,2024,1,2.075,275,5,157,341,233,0.51
FGP,Vegetable,2024,155,2,1180,11.2,6943,4978,233,0.3
Fowler Ditch,Hay/Silage,2024,25,2,275,5,157,341,233,0.51
Fowler Ditch,Herb,2024,576,2,600,0.06,983,786,233,0.41
Fowler Ditch,Vineyard,2024,18,2,940,4.33,2882,3799,233,0.13
Irrigated area outside irrigation districts,Berry,2024,135,2,4000,3.97,7074,9956,233,0.25
Irrigated area outside irrigation districts,Cereal Grain,2024,10753,2,278,3.6,92,236,233,0.74
Irrigated area outside irrigation districts,Hay/Silage,2024,7957,2,275,5,157,341,233,0.51
Irrigated area outside irrigation districts,Herb,2024,3336,2,600,0.06,983,786,233,0.41
Irrigated area outside irrigation districts,Oilseed,2024,278,2.5,370,0.77,655.5,688,201.5,0.74
Irrigated area outside irrigation districts,Orchard,2024,9130,2,956,21.5,2227,4192,233,0.13
Irrigated area outside irrigation districts,Vegetable,2024,4428,2,1180,11.2,6943,4978,233,0.3
Irrigated area outside irrigation districts,Vineyard,2024,5042,2,940,4.33,2882,3799,233,0.13
KID,Berry,2024,4,2,4000,3.97,7074,9956,233,0.25
KID,Cereal Grain,2024,1199,2,278,3.6,92,236,233,0.74
KID,Hay/Silage,2024,1357,2,275,5,157,341,233,0.51
KID,Herb,2024,12,2,600,0.06,983,786,233,0.41
KID,Orchard,2024,1915,2,956,21.5,2227,4192,233,0.13
KID,Vegetable,2024,1231,2,1180,11.2,6943,4978,233,0.3
KID,Vineyard,2024,5176,2,940,4.33,2882,3799,233,0.13
KRD,Cereal Grain,2024,1707,2,278,3.6,92,236,233,0.74
KRD,Hay/Silage,2024,21949,2,275,5,157,341,233,0.51
KRD,Herb,2024,12,2,600,0.06,983,786,233,0.41
KRD,Oilseed,2024,64,2.5,370,0.77,655.5,688,201.5,0.74
KRD,Orchard,2024,1774,2,956,21.5,2227,4192,233,0.13
KRD,Seed,2024,281,2,14000,0.39,328,590,233,0.74
KRD,Vegetable,2024,790,2,1180,11.2,6943,4978,233,0.3
KRD,Vineyard,2024,17,2,940,4.33,2882,3799,233,0.13
Moxee-Selah,Cereal Grain,2024,13,2,278,3.6,92,236,233,0.74
Moxee-Selah,Hay/Silage,2024,204,2,275,5,157,341,233,0.51
Moxee-Selah,Herb,2024,2725,2,600,0.06,983,786,233,0.41
Moxee-Selah,Orchard,2024,68,2,956,21.5,2227,4192,233,0.13
Moxee-Selah,Vegetable,2024,2,2.118,1180,11.2,6943,4978,233,0.3
Moxee-Selah,Vineyard,2024,5,1.878,940,4.33,2882,3799,233,0.13
Naches-Selah,Berry,2024,20,2,4000,3.97,7074,9956,233,0.25
Naches-Selah,Cereal Grain,2024,1,2.056,278,3.6,92,236,233,0.74
