i,g,year,xwater,ETc,Pe,omegaland,omegasupply,omegalabor,p,y,TotalAcres,xland,NonIrrigatedAcres,PriceProxy,YieldProxy,CostProxy,WaterProxy,MargRev,MargProf
APPLE,1,2008,1.726473581,1.971087179,2.049188572,414.6541255,1792.800712,1262.826468,531.696,18.45,110.990393,103.605265,7.385128,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,1,2009,1.879023876,1.971087179,2.107364554,457.3618226,1977.451931,1392.892484,636.48,17,98.563916,92.157738,6.406178,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,1,2010,1.627832464,1.971087179,2.300034162,500.8702376,2165.565138,1525.397082,640.512,18.5,87.015194,84.124549,2.890645,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,1,2011,1.82453528,1.971087179,2.380884687,616.3674888,2664.929648,1877.143216,796.824,18.3,87.015194,84.124549,2.890645,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,1,2012,1.789351698,1.971087179,2.79745189,776.2306154,3356.114685,2364.005338,842.38,21.8,91.558976,84.124544,7.434432,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,1,2013,1.651014226,1.971087179,2.066932733,636.7088158,2752.877514,1939.092596,780.472,19.3,91.558985,84.124549,7.434436,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,1,2014,1.706729937,1.971087179,2.816596882,579.5597734,2505.78762,1765.045556,566.574,24.2,91.558985,84.124549,7.434436,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,1,2015,1.967008482,1.971087179,2.299629766,649.032176,2806.158858,1976.62331,834.492,18.4,91.558965,84.124534,7.434431,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,1,2016,2.043081621,1.971087179,2.465273397,669.4147242,2894.284948,2038.698229,713.372,22.2,83.090255,75.655824,7.434431,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,1,2017,2.046490738,1.971087179,2.550253655,665.6627895,2878.063064,2027.271737,692.224,22.75,82.236588,74.802157,7.434431,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,1,2018,2.017508863,1.971087179,2.387582343,571.2373147,2469.804595,1739.699561,686,19.7,82.236588,74.802157,7.434431,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,2,2010,1.981000945,1.90971,0.884700657,500.8702376,2165.565138,1525.397082,640.512,18.5,5.832469,2.694651,3.137818,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,2,2011,2.072922095,1.90971,0.814157045,616.3674888,2664.929648,1877.143216,796.824,18.3,7.986221,4.848403,3.137818,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,2,2012,2.11892684,1.90971,1.019150466,776.2306154,3356.114685,2364.005338,842.38,21.8,7.986222,4.848404,3.137818,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,2,2013,2.025341167,1.90971,0.717017726,636.7088158,2752.877514,1939.092596,780.472,19.3,10.37085,6.590538,3.780312,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,2,2014,2.152245011,1.90971,0.941051558,579.5597734,2505.78762,1765.045556,566.574,24.2,10.37085,6.590538,3.780312,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,2,2015,2.249914922,1.90971,1.062372685,649.032176,2806.158858,1976.62331,834.492,18.4,10.370848,6.590537,3.780311,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,2,2016,2.279146886,1.90971,0.912132566,669.4147242,2894.284948,2038.698229,713.372,22.2,25.283257,3.423296,21.859961,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,2,2017,2.226279542,1.90971,0.804501372,665.6627895,2878.063064,2027.271737,692.224,22.75,25.283257,3.423296,21.859961,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,2,2018,2.180819969,1.90971,0.98817098,571.2373147,2469.804595,1739.699561,686,19.7,25.283257,3.423296,21.859961,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,3,2008,1.99170557,1.989400727,1.356539862,414.6541255,1792.800712,1262.826468,531.696,18.45,194.198997,189.332955,4.866042,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,3,2009,2.113042197,1.989400727,1.373511159,457.3618226,1977.451931,1392.892484,636.48,17,196.217811,191.351769,4.866042,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,3,2010,1.734306821,1.989400727,1.286397203,500.8702376,2165.565138,1525.397082,640.512,18.5,133.091141,128.225099,4.866042,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,3,2011,2.045647599,1.989400727,1.424029957,616.3674888,2664.929648,1877.143216,796.824,18.3,107.805274,102.939232,4.866042,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,3,2012,1.93210725,1.989400727,1.803219448,776.2306154,3356.114685,2364.005338,842.38,21.8,107.805282,102.939239,4.866043,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,3,2013,1.908006254,1.989400727,1.321309357,636.7088158,2752.877514,1939.092596,780.472,19.3,92.3444,84.584152,7.760248,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
APPLE,3,2014,1.97186886,1.989400727,1.685970587,579.5597734,2505.78762,1765.045556,566.574,24.2,92.3444,84.584152,7.760248,APPLES,APPLES,Apples (Red Delicious),Apple,13711.0908,8860.69785
APPLE,3,2015,2.239634409,1.989400727,1.504110837,649.032176,2806.158858,1976.62331,834.492,18.4,92.344391,84.584145,7.760246,APPLES,APPLES,Apples (Red Delicious),Apple,15354.6528,9922.838456
APPLE,3,2016,2.053380416,1.989400727,1.488680374,669.4147242,2894.284948,2038.698229,713.372,22.2,82.413241,74.363683,8.049558,APPLES,APPLES,Apples (Red Delicious),Apple,15836.8584,10234.4605
APPLE,3,2017,2.20504838,1.989400727,1.318029362,665.6627895,2878.063064,2027.271737,692.224,22.75,82.413241,74.363683,8.049558,APPLES,APPLES,Apples (Red Delicious),Apple,15748.096,10177.09841
APPLE,3,2018,2.200424861,1.989400727,1.55499398,571.2373147,2469.804595,1739.699561,686,19.7,81.054563,71.884368,9.170195,APPLES,APPLES,Apples (Red Delicious),Apple,13514.2,8733.458529
APPLE,5,2008,2.11841388,2.274235467,2.711601385,414.6541255,1792.800712,1262.826468,531.696,18.45,1.461366,0,1.461366,APPLES,APPLES,Apples (Red Delicious),Apple,9809.7912,6339.509895
APPLE,5,2009,2.195945851,2.274235467,2.907991998,457.3618226,1977.451931,1392.892484,636.48,17,1.465784,0,1.465784,APPLES,APPLES,Apples (Red Delicious),Apple,10820.16,6992.453763
APPLE,5,2010,1.835937414,2.274235467,2.987662194,500.8702376,2165.565138,1525.397082,640.512,18.5,1.465784,0,1.465784,APPLES,APPLES,Apples (Red Delicious),Apple,11849.472,7657.639542
APPLE,5,2011,2.129723115,2.274235467,3.466533683,616.3674888,2664.929648,1877.143216,796.824,18.3,1.465784,0,1.465784,APPLES,APPLES,Apples (Red Delicious),Apple,14581.8792,9423.438847
APPLE,5,2012,2.020111581,2.274235467,3.998921237,776.2306154,3356.114685,2364.005338,842.38,21.8,1.465784,0,1.465784,APPLES,APPLES,Apples (Red Delicious),Apple,18363.884,11867.53336
APPLE,5,2013,1.90286507,2.274235467,2.795083007,636.7088158,2752.877514,1939.092596,780.472,19.3,2.888293,0,2.888293,APPLES,APPLES,Apples (Red Delicious),Apple,15063.1096,9734.430674
