i,g,year,xwater,ETc,Pe,omegaland,omegasupply,omegalabor,p,y,TotalAcres,xland,NonIrrigatedAcres,MarginalProfit,MarginalRevenue
APPLE,1,2008,1.726069967,1.97103108,2.048098192,5007.715533,17965.50499,7699.50214,2102.721739,15.18,110.990393,103.605265,7.385128,1246.593333,31919.316
APPLE,1,2009,1.880732648,1.97103108,2.103132035,5007.715533,17965.50499,7699.50214,2102.721739,15.18,98.563916,92.157738,6.406178,1246.593333,31919.316
APPLE,1,2010,1.628046436,1.97103108,2.293610517,5007.715533,17965.50499,7699.50214,2102.721739,15.18,87.015194,84.124549,2.890645,1246.593333,31919.316
APPLE,1,2011,1.82623478,1.97103108,2.376394882,5007.715533,17965.50499,7699.50214,2102.721739,15.18,87.015194,84.124549,2.890645,1246.593333,31919.316
APPLE,1,2012,1.789811723,1.97103108,2.792973367,5007.715533,17965.50499,7699.50214,2102.721739,15.18,91.558976,84.124544,7.434432,1246.593333,31919.316
APPLE,1,2013,1.651823541,1.97103108,2.061131743,5007.715533,17965.50499,7699.50214,2102.721739,15.18,91.558985,84.124549,7.434436,1246.593333,31919.316
APPLE,1,2014,1.708528733,1.97103108,2.813188999,5007.715533,17965.50499,7699.50214,2102.721739,15.18,91.558985,84.124549,7.434436,1246.593333,31919.316
APPLE,1,2015,1.966673712,1.97103108,2.296225556,5007.715533,17965.50499,7699.50214,2102.721739,15.18,91.558965,84.124534,7.434431,1246.593333,31919.316
APPLE,1,2016,2.043798338,1.97103108,2.461277604,5007.715533,17965.50499,7699.50214,2102.721739,15.18,83.090255,75.655824,7.434431,1246.593333,31919.316
APPLE,1,2017,2.047780193,1.97103108,2.54041503,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.236588,74.802157,7.434431,1246.593333,31919.316
APPLE,1,2018,2.017510822,1.97103108,2.380959419,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.236588,74.802157,7.434431,1246.593333,31919.316
APPLE,10,2008,1.952189256,1.939973116,2.06992206,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2.852284,0,2.852284,1246.593333,31919.316
APPLE,10,2009,1.905071103,1.939973116,2.181668242,5007.715533,17965.50499,7699.50214,2102.721739,15.18,6.533038,3.680754,2.852284,1246.593333,31919.316
APPLE,10,2010,1.361857218,1.939973116,2.439920287,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.791554,3.680754,2.1108,1246.593333,31919.316
APPLE,10,2011,1.788970735,1.939973116,2.546901761,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.791554,3.680754,2.1108,1246.593333,31919.316
APPLE,10,2012,1.695642812,1.939973116,2.840907737,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.28143,8.685798,6.595632,1246.593333,31919.316
APPLE,10,2013,1.659610627,1.939973116,2.005743779,5007.715533,17965.50499,7699.50214,2102.721739,15.18,14.958018,8.36239,6.595628,1246.593333,31919.316
APPLE,10,2014,1.793820399,1.939973116,2.783807564,5007.715533,17965.50499,7699.50214,2102.721739,15.18,14.958018,8.36239,6.595628,1246.593333,31919.316
APPLE,10,2015,2.163259628,1.939973116,2.320388821,5007.715533,17965.50499,7699.50214,2102.721739,15.18,14.95802,8.362388,6.595632,1246.593333,31919.316
APPLE,10,2016,1.930500701,1.939973116,2.451555171,5007.715533,17965.50499,7699.50214,2102.721739,15.18,14.95802,8.362388,6.595632,1246.593333,31919.316
APPLE,10,2017,1.980805848,1.939973116,2.709821095,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.800835,11.205203,6.595632,1246.593333,31919.316
APPLE,10,2018,2.172878872,1.939973116,2.12971703,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.800835,11.205203,6.595632,1246.593333,31919.316
APPLE,11,2010,1.534154136,1.919050929,1.956150528,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511597,0,0.511597,1246.593333,31919.316
APPLE,11,2011,1.952087201,1.919050929,1.838265789,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511597,0,0.511597,1246.593333,31919.316
APPLE,11,2012,1.844273887,1.919050929,2.279533762,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598,0,0.511598,1246.593333,31919.316
APPLE,11,2013,1.663265018,1.919050929,1.682848352,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511597,0,0.511597,1246.593333,31919.316
APPLE,11,2014,1.921484355,1.919050929,2.228128494,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511597,0,0.511597,1246.593333,31919.316
APPLE,11,2015,2.194890015,1.919050929,1.948719909,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598,0,0.511598,1246.593333,31919.316
APPLE,11,2016,2.087774577,1.919050929,2.085655341,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598,0,0.511598,1246.593333,31919.316
APPLE,11,2017,2.029158128,1.919050929,2.300510062,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598,0,0.511598,1246.593333,31919.316
APPLE,11,2018,2.190695184,1.919050929,1.709686857,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598,0,0.511598,1246.593333,31919.316
APPLE,12,2008,2.225097948,1.924682036,1.132179037,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.355684,4.355684,0,1246.593333,31919.316
APPLE,12,2009,1.998075633,1.924682036,1.542429214,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.355684,4.355684,0,1246.593333,31919.316
APPLE,12,2010,1.705205728,1.924682036,2.023202591,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979,0,4.32979,1246.593333,31919.316
APPLE,12,2011,2.024369491,1.924682036,1.70083448,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979,0,4.32979,1246.593333,31919.316
APPLE,12,2012,2.038153674,1.924682036,2.093381492,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.329791,0,4.329791,1246.593333,31919.316
APPLE,12,2013,1.793663089,1.924682036,1.141002869,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979,0,4.32979,1246.593333,31919.316
APPLE,12,2014,1.994546458,1.924682036,2.017406675,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979,0,4.32979,1246.593333,31919.316
APPLE,12,2015,2.237029959,1.924682036,1.786368409,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979,0,4.32979,1246.593333,31919.316
