,i,g,year,xwater,ETc,Pe,omegaland,omegasupply,omegalabor,p,y,TotalAcres,xland,NonIrrigatedAcres,MarginalProfit,MarginalRevenue,omegawater,sigma,theta,pc,pimarginal,price_yield_correction_factor,alphaland,alphawater,alphasupply,alphalabor,rho,lambdaland,lambdacrop,betaland,betawater,betasupply,betalabor,tau,gamma,delta
0,APPLE,1,2017.0,2.0363631176666668,1.9710310800000002,2.460884017666667,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.52114366666666,75.08671266666666,7.434431,1246.593333,31919.316000000003,15.0,0.17,0.11,2102.721739,1216.0478882549978,0.9619024452676106,1,2.0363631176666668,1,1,-4.88235294117647,31.1576792462502,1184.89020900875,0.18933025167168707,0.02992634113454923,0.5465203850052139,0.23422302218854962,15.088785551302774,0.12107214136895927,5.792648797133975
1,BLUEBERRY,1,2017.0,1.6959145146666668,1.635896301,2.4601560399999998,4254.082,12661.36348,5426.298636,4131.7,6.140473171,6086.927879666667,6086.927879666667,0.0,3028.84888,25370.593000000004,15.0,0.17,0.11,4131.7,3003.410166900698,0.8816184483024413,1,1.6959145146666668,1,1,-4.88235294117647,31.1576792462502,2972.25248765445,0.2826068358568426,0.013059374853876926,0.49303365245576836,0.2113001368335122,6.125221041496629,0.0014935135212094757,547.5777127184894
2,CANEBERRY,1,2017.0,1.9732859953333335,1.919387759,2.4607187476666668,2156.154667,2860.5833670000006,1225.9643,2384.88,4.583333333,9878.165175,9790.891067999999,87.274107,4687.997667,10930.700000000003,15.0,0.17,0.11,2384.88,4658.39837527504,0.5738243318713502,1,1.9732859953333335,1,1,-4.88235294117647,31.1576792462502,4627.24069602879,0.5815144903187512,0.06976319891537212,0.24410561754464716,0.1046166932212296,4.518455298297067,0.0009285068159548123,827.0287867303426
3,CORN,1,2017.0,1.2485891773333335,1.140178147,2.456681328666667,387.26500000000004,504.2933,216.12569999999997,180.37,7.0,17292.017649999998,12857.368286666666,4434.649360666666,154.906,1262.59,15.0,0.17,0.45,180.37,136.17716234000014,0.8921445898193395,1,1.2485891773333335,1,1,-4.88235294117647,31.1576792462502,105.01948309375,0.4028864589744986,0.04261663426043212,0.3881478347355484,0.16634907202952073,6.959105650125433,0.00017283647576049515,328196.88178776146
4,GRAIN,1,2017.0,1.0577043486666666,1.122467508,2.460049486666667,132.625,165.6221,70.9809,250.25891880000003,1.796407186,931.2671046666666,420.9342056666666,510.332899,80.33892,449.56692,15.0,0.17,0.38000000000000006,250.25891880000003,64.47335486291047,0.8565878582668272,1,1.0577043486666666,1,1,-4.88235294117647,31.1576792462502,33.3156756166603,0.433596800048504,0.04590010517309625,0.36435216634487977,0.15615092843351994,1.7923429916403963,0.00625175837919986,2268.8229100849526
5,GRAPE,1,2017.0,0.9576457939999999,0.9916365209999999,2.4579074160000003,1288.48148,1521.585296,652.107984,979.0,3.6199999999999997,18.361890666666664,9.528621,8.833269666666666,81.80524,3543.98,15.0,0.17,0.11,979.0,67.44055309000017,0.9809703911732007,1,0.9576457939999999,1,1,-4.88235294117647,31.1576792462502,36.2828738437497,0.38289426562057793,0.003283794903097098,0.42967535763342746,0.18414658184289748,3.620572665687118,0.954063456916703,0.16014957947960048
6,HAY,1,2017.0,2.165332416,2.099206759,2.4615019006666667,576.123,414.4266,177.6114,212.19999999999996,6.0,28976.66716333333,13041.872683333333,15934.794483333331,105.039,1273.2,15.0,0.17,0.51,212.19999999999996,72.55901375999974,0.943010513854854,1,2.165332416,1,1,-4.88235294117647,31.1576792462502,41.4013345137496,0.2445554857653887,0.5322440283103361,0.1562403401469925,0.0669601457772825,5.162540892265537,0.00015034530403223805,607273.2916685882
7,PASTURE,1,2017.0,1.274038995,1.372564451,2.4599386426666663,235.939,257.6728,110.4312,225.17,2.5,3718.549458666667,765.7510083333333,2952.798450333333,-41.118,562.925,15.0,0.17,0.51,261.72450566850006,31.15767924625008,0.9523809523809522,1,1.274038995,1,1,-4.88235294117647,31.1576792462502,0.0,0.38290832287713444,0.08937981757400328,0.36939830168420357,0.1583135578646587,2.467449240714068,0.0025606029798030065,14681.43255546751
8,POTATO,1,2017.0,1.4509267713333334,1.312641861,2.4572624816666666,1082.164,3084.3638000000005,1321.8702,176.76,30.5,3002.471265666667,2953.678905666667,48.79236,-97.218,5391.18,15.0,0.17,0.19000000000000003,189.6940982507705,275.50809507850016,0.9523809523809524,1,1.4509267713333334,1,1,-4.88235294117647,31.1576792462502,244.35041583225,0.23019750933502436,0.022711866924450798,0.5229634366183674,0.22412718712215746,30.380262431655506,0.0017818991375939382,3945.947866598528
9,VEGETABLE,1,2017.0,1.6908753473333331,1.570568944,2.4589224443333335,789.426,1844.7848999999999,790.6221,106.32,32.0,264.1545683333333,213.119064,51.035504333333336,-22.593,3402.24,15.0,0.17,0.3,113.20956052251563,172.50980651050017,0.9523809523809524,1,1.6908753473333331,1,1,-4.88235294117647,31.1576792462502,141.35212726425,0.2449609210788677,0.08392181541104547,0.4697820844570608,0.20133517905302611,31.475887556434454,0.015640709332945143,2194.02399414565
