g,i,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland
1,APPLE,2008,1.726473581,414.6541255,1654.345388,1262.826468,531.696,18.45,110.990393
1,APPLE,2009,1.879023876,457.3618226,1824.736268,1392.892484,636.48,17,98.563916
1,APPLE,2010,1.627832464,500.8702376,1998.321773,1525.397082,640.512,18.5,87.015194
1,APPLE,2011,1.82453528,616.3674888,2459.121107,1877.143216,796.824,18.3,87.015194
1,APPLE,2012,1.789351698,776.2306154,3096.926955,2364.005338,842.38,21.8,91.558976
1,APPLE,2013,1.651014226,636.7088158,2540.276891,1939.092596,780.472,19.3,91.558985
1,APPLE,2014,1.706729937,579.5597734,2312.269381,1765.045556,566.574,24.2,91.558985
1,APPLE,2015,1.967008482,649.032176,2589.443396,1976.62331,834.492,18.4,91.558965
1,APPLE,2016,2.043081621,669.4147242,2670.763639,2038.698229,713.372,22.2,83.090255
1,APPLE,2017,2.046490738,665.6627895,2655.794547,2027.271737,692.224,22.75,82.236588
1,APPLE,2018,2.017508863,571.2373147,2279.065271,1739.699561,686,19.7,82.236588
2,APPLE,2010,1.981000945,500.8702376,1998.321773,1525.397082,640.512,18.5,5.832469
2,APPLE,2011,2.072922095,616.3674888,2459.121107,1877.143216,796.824,18.3,7.986221
2,APPLE,2012,2.11892684,776.2306154,3096.926955,2364.005338,842.38,21.8,7.986222
2,APPLE,2013,2.025341167,636.7088158,2540.276891,1939.092596,780.472,19.3,10.37085
2,APPLE,2014,2.152245011,579.5597734,2312.269381,1765.045556,566.574,24.2,10.37085
2,APPLE,2015,2.249914922,649.032176,2589.443396,1976.62331,834.492,18.4,10.370848
2,APPLE,2016,2.279146886,669.4147242,2670.763639,2038.698229,713.372,22.2,25.283257
2,APPLE,2017,2.226279542,665.6627895,2655.794547,2027.271737,692.224,22.75,25.283257
2,APPLE,2018,2.180819969,571.2373147,2279.065271,1739.699561,686,19.7,25.283257
3,APPLE,2008,1.99170557,414.6541255,1654.345388,1262.826468,531.696,18.45,194.198997
3,APPLE,2009,2.113042197,457.3618226,1824.736268,1392.892484,636.48,17,196.217811
3,APPLE,2010,1.734306821,500.8702376,1998.321773,1525.397082,640.512,18.5,133.091141
3,APPLE,2011,2.045647599,616.3674888,2459.121107,1877.143216,796.824,18.3,107.805274
3,APPLE,2012,1.93210725,776.2306154,3096.926955,2364.005338,842.38,21.8,107.805282
3,APPLE,2013,1.908006254,636.7088158,2540.276891,1939.092596,780.472,19.3,92.3444
3,APPLE,2014,1.97186886,579.5597734,2312.269381,1765.045556,566.574,24.2,92.3444
3,APPLE,2015,2.239634409,649.032176,2589.443396,1976.62331,834.492,18.4,92.344391
3,APPLE,2016,2.053380416,669.4147242,2670.763639,2038.698229,713.372,22.2,82.413241
3,APPLE,2017,2.20504838,665.6627895,2655.794547,2027.271737,692.224,22.75,82.413241
3,APPLE,2018,2.200424861,571.2373147,2279.065271,1739.699561,686,19.7,81.054563
