i,g,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland
APPLE,1,2008,1.726069967,5007.715533,17965.50499,7699.50214,2102.721739,15.18,110.990393
APPLE,1,2009,1.880732648,5007.715533,17965.50499,7699.50214,2102.721739,15.18,98.563916
APPLE,1,2010,1.628046436,5007.715533,17965.50499,7699.50214,2102.721739,15.18,87.015194
APPLE,1,2011,1.82623478,5007.715533,17965.50499,7699.50214,2102.721739,15.18,87.015194
APPLE,1,2012,1.789811723,5007.715533,17965.50499,7699.50214,2102.721739,15.18,91.558976
APPLE,1,2013,1.651823541,5007.715533,17965.50499,7699.50214,2102.721739,15.18,91.558985
APPLE,1,2014,1.708528733,5007.715533,17965.50499,7699.50214,2102.721739,15.18,91.558985
APPLE,1,2015,1.966673712,5007.715533,17965.50499,7699.50214,2102.721739,15.18,91.558965
APPLE,1,2016,2.043798338,5007.715533,17965.50499,7699.50214,2102.721739,15.18,83.090255
APPLE,1,2017,2.047780193,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.236588
APPLE,1,2018,2.017510822,5007.715533,17965.50499,7699.50214,2102.721739,15.18,82.236588
APPLE,10,2008,1.952189256,5007.715533,17965.50499,7699.50214,2102.721739,15.18,2.852284
APPLE,10,2009,1.905071103,5007.715533,17965.50499,7699.50214,2102.721739,15.18,6.533038
APPLE,10,2010,1.361857218,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.791554
APPLE,10,2011,1.788970735,5007.715533,17965.50499,7699.50214,2102.721739,15.18,5.791554
APPLE,10,2012,1.695642812,5007.715533,17965.50499,7699.50214,2102.721739,15.18,15.28143
APPLE,10,2013,1.659610627,5007.715533,17965.50499,7699.50214,2102.721739,15.18,14.958018
APPLE,10,2014,1.793820399,5007.715533,17965.50499,7699.50214,2102.721739,15.18,14.958018
APPLE,10,2015,2.163259628,5007.715533,17965.50499,7699.50214,2102.721739,15.18,14.95802
APPLE,10,2016,1.930500701,5007.715533,17965.50499,7699.50214,2102.721739,15.18,14.95802
APPLE,10,2017,1.980805848,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.800835
APPLE,10,2018,2.172878872,5007.715533,17965.50499,7699.50214,2102.721739,15.18,17.800835
APPLE,11,2010,1.534154136,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511597
APPLE,11,2011,1.952087201,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511597
APPLE,11,2012,1.844273887,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598
APPLE,11,2013,1.663265018,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511597
APPLE,11,2014,1.921484355,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511597
APPLE,11,2015,2.194890015,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598
APPLE,11,2016,2.087774577,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598
APPLE,11,2017,2.029158128,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598
APPLE,11,2018,2.190695184,5007.715533,17965.50499,7699.50214,2102.721739,15.18,0.511598
APPLE,12,2008,2.225097948,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.355684
APPLE,12,2009,1.998075633,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.355684
APPLE,12,2010,1.705205728,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979
APPLE,12,2011,2.024369491,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979
APPLE,12,2012,2.038153674,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.329791
APPLE,12,2013,1.793663089,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979
APPLE,12,2014,1.994546458,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979
APPLE,12,2015,2.237029959,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979
APPLE,12,2016,2.313710031,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979
APPLE,12,2017,2.125206661,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979
APPLE,12,2018,2.235207392,5007.715533,17965.50499,7699.50214,2102.721739,15.18,4.32979
