NAME,WRIA_NR_New,AGENCYNAME
Lower Yakima (Kennewick ID),14,Proratable Yakima
Lower Yakima (Roza ID),37-RID,Proratable Yakima
Upper Yakima (Kittitas RD),39-KRD,Proratable Yakima
Lower(Wapato Irrigation Project),37-WIP,Proratable Yakima
Lower Yakima (Sunnyside Vallet ID),37-SVID,Non-proratable Yakima Basin
Naches (Yakima-Tieton ID),38-YTID,Non-proratable Yakima Basin
Upper Yakima (Ellensberg Area),39-EW,Non-proratable Yakima Basin
Kitsap,15,Western WA
Methow,48,Eastern WA
Chelan,47,Eastern WA
Entiat,46,Eastern WA
Wenatchee,45,Eastern WA
Klickitat,30,Eastern WA
Wind - White Salmon,29,Western WA
Lewis,27,Western WA
Cowlitz,26,Western WA
Puyallup - White,10,Western WA
Duwamish - Green,9,Western WA
Cedar - Sammamish,8,Western WA
Snohomish,7,Western WA
Upper Skagit,4,Western WA
Alkali - Squilchuck,40,Eastern WA,
Chambers - Clover,12,Western WA
Colville,59,Eastern WA
Deschutes,13,Western WA
Elwha - Dungeness,18,Western WA
Esquatzel Coulee,36,Eastern WA
Foster,50,Eastern WA
Grand Coulee,42,Eastern WA
Grays - Elochoman,25,Western WA
Hangman,56,Eastern WA
Island,6,Western WA
Kennedy - Goldsborough,14,Western WA
Kettle,60,Eastern WA
Lewis,27,Western WA
Little Spokane,55,Eastern WA
Lower Chehalis,22,Western WA
Lower Crab,41,Eastern WA
Lower Lake Roosevelt,53,Eastern WA
Lower Skagit - Samish,3,Western WA
Lower Snake,33,Eastern WA
Lower Spokane,54,Eastern WA
Lyre - Hoko,19,Western WA
Middle Lake Roosevelt,58,Eastern WA
Middle Snake,35,Eastern WA
Middle Spokane,57,Eastern WA
Moses Coulee,44,Eastern WA
Nespelem,51,Eastern WA
Nisqually,11,Western WA
Nooksack,1,Western WA
Okanogan,49,Eastern WA
Palouse,34,Eastern WA
Pend Oreille,62,Eastern WA
Queets - Quinault,21,Western WA
Quilcene - Snow,17,Western WA
Rock - Glade,31,Eastern WA
Salmon - Washougal,28,Western WA
San Juan,2,Western WA
Sanpoil,52,Eastern WA
Skokomish - Dosewallips,16,Western WA
Soleduc,20,Western WA
Stillaguamish,5,Western WA
Upper Chehalis,23,Western WA
Upper Crab-Wilson,43,Eastern WA
Upper Lake Roosevelt,61,Eastern WA
Walla Walla,32,Eastern WA
Willapa,24,Western WA
Wind - White Salmon,29,Western WA
